@relation jEdit:Metrics/4-2-final/:BugCount/4-2-final_4-3-pre12/-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute WMC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute LCOM numeric
@attribute NPM numeric
@attribute LOC numeric
@attribute Bug-count {true,false}

@data
0.017094,0.625,0,0.24,0.742459,0.63,0,0.057019,true
0.096866,0.25,0,0.048,0.059165,0.92,0.028037,0.299586,false
0.011396,0.75,0,0.208,0.757541,0.52,0.004673,0.052315,false
0.014245,0.125,0,0.04,0.019722,0.6,0.014019,0.01656,false
0.039886,0.125,0,0.08,0.030162,0.9,0.060748,0.086564,true
0.037037,0.125,0,0.08,0.029002,0.72,0.060748,0.024652,true
0.014245,0,0.052632,0.016,0.0058,0,0,0.000941,false
0.011396,0.375,0.078947,0.04,0.047564,0,0.014019,0.003764,true
0.005698,0.25,0,0.008,0.037123,0.5,0.004673,0.000565,true
0,0.125,0,0.008,0.013921,0,0,0.000565,true
0.005698,0.25,0,0.032,0.037123,0,0.004673,0.002635,true
0.065527,0.125,0,0.104,0.040603,0.88,0.084112,0.056078,true
0.005698,1,0,0.024,0.770302,0,0.009346,0.001505,false
0.011396,0.25,0,0.024,0.027842,0.5,0,0.00414,false
0.037037,0.125,0.131579,0.04,0.029002,0.53,0.060748,0.013173,true
0.207977,0.125,0.026316,0.264,0.098608,0.95,0.224299,0.143395,true
0.045584,0.125,0,0.064,0.032483,0.82,0.065421,0.033496,false
0.011396,0.25,0,0.112,0.039443,0,0.004673,0.007339,true
0.005698,0.375,0,0.008,0.045244,0,0.009346,0.000376,true
0.008547,0.125,0,0.112,0.017401,0.33,0.014019,0.018442,false
0.02849,0.125,0,0.12,0.025522,0.66,0.004673,0.064923,true
0.019943,0.75,0,0.168,0.794664,0.77,0.023364,0.036131,false
0.011396,0.75,0,0.12,0.904872,0.62,0.014019,0.025216,false
0.014245,0.25,0,0.088,0.037123,0.53,0.018692,0.00828,true
0.008547,0.375,0,0.024,0.080046,0,0.014019,0.002258,false
0.005698,0.125,0,0.08,0.016241,0,0.009346,0.021829,false
0.005698,0,0.026316,0.016,0.00232,0,0.009346,0.000941,true
0.005698,0.125,0.026316,0.016,0.00232,0,0,0.000376,false
0.094017,0.125,0,0.056,0.052204,0.56,0.149533,0.065676,false
0.014245,0.125,0,0.04,0.019722,0.62,0.014019,0.015055,false
0.05698,0.125,0,0.208,0.037123,0.77,0.088785,0.040271,false
0.014245,0.125,0,0.048,0.019722,0,0.023364,0.009974,true
0.014245,0.125,0,0.16,0.019722,0.5,0.023364,0.014866,false
0.014245,0.75,0,0.176,0.758701,0.6,0.004673,0.02484,false
0.019943,0.75,0,0.056,0.86891,0.42,0.023364,0.016184,false
0.031339,0.125,0.078947,0.104,0.026682,0.72,0.046729,0.01449,false
0.022792,0.625,0,0.096,0.74478,0.5,0.037383,0.030486,false
0.014245,0.25,0,0.072,0.040603,0.4,0.009346,0.01449,true
0.017094,0.625,0,0.232,0.742459,0.64,0.014019,0.079413,true
0.159544,0.125,0,0.36,0.078886,0.93,0.21028,0.115356,true
0.011396,0.25,0,0.088,0.055684,0,0.018692,0.008092,false
0.011396,0,0.026316,0.016,0.00464,0,0,0.000753,false
1,0.125,0,0.56,0.421114,0.91,0.411215,1,true
0.014245,0.125,0,0.064,0.019722,0.4,0.018692,0.011479,false
0.008547,0.25,0,0.024,0.026682,0,0,0.001505,false
0.008547,0.125,0,0.08,0.017401,0.66,0.014019,0.011855,true
0.039886,0.125,0,0.248,0.030162,0.76,0.046729,0.15939,true
0.014245,0.375,0,0.008,0.048724,0.6,0.023364,0.005081,false
0.005698,0.125,0,0.12,0.016241,0,0.009346,0.015243,false
0.005698,0.25,0,0.048,0.037123,0,0.009346,0.002258,true
0.005698,0.25,0.026316,0.024,0.026682,0.5,0.004673,0.002258,false
0.005698,0.125,0.052632,0.016,0.016241,0.5,0.009346,0.002446,true
0.022792,0.25,0,0.2,0.090487,0.7,0.018692,0.038201,true
0.014245,0.25,0,0.048,0.040603,0.65,0.014019,0.009974,true
0.019943,0.25,0,0.096,0.026682,0.5,0.009346,0.04554,false
0.002849,0.25,0,0.008,0.035963,1,0.004673,0.000753,true
0.011396,0.625,0,0.176,0.809745,0.5,0.009346,0.03726,true
0.008547,0.25,0,0.056,0.038283,0.66,0.009346,0.004516,true
0.159544,0.125,0,0.472,0.078886,0.97,0.242991,0.156756,true
0.014245,0.25,0,0.024,0.027842,0.8,0.023364,0.005834,false
0.051282,0.375,0,0.072,0.056845,0.83,0.084112,0.057207,false
0.022792,0.625,0,0.248,0.74478,0.7,0.023364,0.053444,true
0.014245,0.125,0,0.032,0.019722,0.7,0.023364,0.006022,true
0.014245,0.25,0,0.064,0.034803,0.53,0.018692,0.014114,false
0.005698,0.125,0,0.016,0.016241,1,0.009346,0.001129,false
0.125356,0.125,0,0.16,0.064965,0.87,0.135514,0.133421,true
0.005698,0.25,0,0.04,0.037123,0.5,0.004673,0.002258,true
0.042735,0.125,0,0.072,0.031323,0.66,0.009346,0.022582,false
0.054131,0.125,0,0.208,0.035963,0.81,0.037383,0.100489,true
