@relation wine-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute class {1,2,3}
@attribute Alcohol numeric
@attribute Malic_acid numeric
@attribute Ash numeric
@attribute Alcalinity_of_ash numeric
@attribute Magnesium numeric
@attribute Total_phenols numeric
@attribute Flavanoids numeric
@attribute Nonflavanoid_phenols numeric
@attribute Proanthocyanins numeric
@attribute Color_intensity numeric
@attribute Hue numeric
@attribute OD280/OD315_of_diluted_wines numeric
@attribute Proline numeric

@data
1,0.718421,0.156126,0.716578,0.458763,0.673913,0.67931,0.506329,0.698113,0.29653,0.351536,0.626016,0.6337,1235
2,0.331579,0.413043,0.459893,0.381443,0.195652,0.506897,0.402954,0.226415,0.498423,0.074232,0.544715,0.74359,290
1,0.884211,0.22332,0.582888,0.206186,0.282609,0.524138,0.459916,0.320755,0.495268,0.338737,0.439024,0.846154,1290
2,0,0.152174,0.449198,0.561856,0.163043,0.510345,0.386076,0.735849,0.504732,0.052901,1,0.586081,407
3,0.7,0.498024,0.631016,0.484536,0.402174,0.293103,0.046414,0.698113,0.123028,0.392491,0.390244,0.201465,680
3,0.35,0.610672,0.545455,0.536082,0.195652,0.455172,0.122363,0.698113,0.198738,0.543515,0.065041,0.113553,520
2,0.113158,0.592885,0.245989,0.458763,0.402174,0.758621,0.472574,0.207547,1,0.138225,0.219512,0.564103,562
3,0.723684,0.399209,0.502674,0.587629,0.217391,0.127586,0.07173,0.528302,0.195584,0.708191,0.178862,0.150183,615
1,0.531579,0.179842,0.636364,0.381443,0.304348,0.506897,0.440928,0.301887,0.324921,0.253413,0.520325,0.454212,1105
2,0.244737,0.06917,0.502674,0.536082,0.336957,0.827586,0.379747,0,0.391167,0.164676,0.414634,0.681319,886
1,0.592105,0.177866,0.791444,0.252577,0.434783,0.558621,0.493671,0.396226,0.299685,0.283276,0.495935,0.553114,880
1,0.478947,0.16996,0.620321,0.371134,0.271739,0.517241,0.42827,0.245283,0.33123,0.226109,0.495935,0.864469,1015
3,0.486842,0.444664,0.55615,0.484536,0.369565,0.110345,0.185654,0.207547,0.132492,0.351536,0.211382,0.054945,530
2,0.265789,0.703557,0.545455,0.587629,0.108696,0.386207,0.297468,0.54717,0.29653,0.112628,0.252033,0.47619,580
2,0.647368,0.181818,0.470588,0.690722,0.184783,0.310345,0.316456,0.264151,0.195584,0.209898,0.406504,0.553114,472
3,0.407895,0.108696,0.395722,0.484536,0.358696,0.172414,0.050633,0.754717,0.312303,0.539249,0.081301,0.102564,640
2,0.255263,0.035573,0.342246,0.43299,0.173913,0.496552,0.405063,0.320755,0.321767,0.104096,0.731707,0.677656,278
1,0.531579,0.195652,0.363636,0.092784,0.23913,0.6,0.618143,0.075472,0.788644,0.505119,0.520325,0.600733,1150
1,0.813158,0.146245,0.513369,0.319588,0.271739,0.42069,0.440928,0.245283,0.365931,0.317406,0.560976,0.567766,1280
2,0.457895,0.531621,0.331551,0.278351,0.108696,0.224138,0.191983,0.566038,0.132492,0.180887,0.178862,0.311355,372
1,0.786842,0.185771,0.454545,0.278351,0.282609,0.575862,0.419831,0.245283,0.495268,0.291809,0.455285,0.849817,1035
2,0.342105,0.049407,0.315508,0.216495,0.717391,0.317241,0.318565,0.415094,0.741325,0.180887,0.471545,0.380952,750
3,0.321053,0.620553,0.449198,0.407216,0.456522,0.137931,0.092827,0.301887,0.230284,0.591297,0.138211,0.267399,855
1,0.707895,0.136364,0.609626,0.314433,0.413043,0.834483,0.702532,0.113208,0.514196,0.47099,0.333333,0.586081,1285
2,0.276316,0.128458,0.609626,0.613402,0.152174,0.544828,0.411392,0.566038,0.198738,0.138225,0.365854,0.703297,385
1,0.581579,0.365613,0.807487,0.536082,0.521739,0.627586,0.495781,0.490566,0.444795,0.259386,0.455285,0.608059,735
3,0.539474,0.624506,0.534759,0.561856,0.467391,0.148276,0.221519,0.396226,0.230284,0.692833,0.073171,0.021978,550
1,0.652632,0.209486,0.68984,0.43299,0.434783,0.472414,0.462025,0.301887,0.356467,0.249147,0.504065,0.586081,1095
1,0.665789,0.195652,0.588235,0.510309,0.5,0.682759,0.514768,0.132075,0.643533,0.424061,0.406504,0.644689,1120
2,0.423684,0.12253,0.352941,0.319588,0.326087,0.358621,0.225738,0.754717,0.066246,0.381399,0.406504,0.117216,450
1,0.531579,0.258893,0.994652,0.742268,0.586957,0.568966,0.493671,0.641509,0.476341,0.196246,0.528455,0.70696,830
2,0.344737,0.337945,0.588235,0.536082,0.304348,0.544828,0.373418,0.396226,0.283912,0.129693,0.260163,0.772894,438
1,0.75,0.227273,0.657754,0.226804,0.336957,0.782759,0.679325,0.075472,0.40694,0.354096,0.325203,0.838828,1095
1,0.597368,0.193676,0.417112,0.329897,0.26087,0.489655,0.390295,0.264151,0.29653,0.227816,0.439024,0.549451,1285
3,0.471053,0.519763,0.502674,0.458763,0.195652,0.172414,0.067511,0.509434,0.176656,0.766212,0.195122,0.175824,685
3,0.389474,0.098814,0.475936,0.35567,0.163043,0.351724,0.050633,0.886792,0.264984,0.355802,0.219512,0.087912,650
1,0.881579,0.563241,0.491979,0.278351,0.347826,0.782759,0.597046,0.264151,0.561514,0.308874,0.455285,0.794872,1065
2,0.389474,0.195652,0.331551,0.510309,0.163043,0.42069,0.333333,0.358491,0.337539,0.141638,0.455285,0.842491,672
3,0.5,0.409091,0.716578,0.536082,0.282609,0.193103,0.033755,0.754717,0.107256,0.283276,0.235772,0.380952,600
2,0.531579,1,0.411765,0.561856,0.173913,0.565517,0.487342,0.320755,0.504732,0.112628,0.203252,0.67033,380
2,0.352632,0.08498,0.299465,0.463918,0.086957,0.389655,0.350211,0.264151,0.198738,0.290102,0.520325,0.809524,510
2,0.276316,0.215415,0.513369,0.407216,0.119565,0.213793,0.244726,0.735849,0.388013,0.095563,0.487805,0.3663,480
1,0.581579,0.640316,0.497326,0.35567,0.358696,0.572414,0.483122,0.358491,0.394322,0.262799,0.276423,0.6337,680
3,0.476316,0.438735,0.668449,0.690722,0.336957,0.462069,0.054852,0.754717,0.126183,0.31058,0.333333,0.322344,590
1,0.747368,0.229249,0.770053,0.453608,0.402174,0.67931,0.554852,0.45283,0.425868,0.274744,0.626016,0.78022,915
2,0.205263,0.272727,0.737968,0.561856,0.695652,0.213793,0.137131,0.018868,0.362776,0.104096,0.382114,0.362637,625
1,0.797368,0.175889,0.491979,0.278351,0.608696,0.696552,0.597046,0.207547,0.533123,0.372867,0.495935,0.893773,780
2,0.273684,0.280632,0.433155,0.536082,0.163043,0.558621,0.487342,0.45283,0.29653,0.12628,0.308943,0.736264,378
3,0.623684,0.762846,0.802139,0.742268,0.456522,0.344828,0.130802,0.264151,0.22082,0.616041,0.154472,0.238095,630
3,0.655263,0.480237,0.727273,0.664948,0.293478,0.196552,0.037975,0.698113,0.044164,0.261945,0.333333,0.289377,520
3,0.507895,0.535573,0.529412,0.407216,0.391304,0.141379,0.075949,0.509434,0.167192,0.341297,0.162602,0.175824,675
2,0.213158,0.424901,0.465241,0.381443,0.456522,0.255172,0.206751,0.566038,0.170347,0.116894,0.390244,0.457875,500
2,0.331579,0.132411,0.331551,0.278351,0.163043,0.541379,0.455696,0.301887,0.429022,0.138225,0.609756,0.538462,428
3,0.484211,0.764822,0.59893,0.561856,0.173913,0.248276,0.065401,0.641509,0.141956,0.543515,0.04878,0.216117,625
2,0.160526,0.26087,0.588235,0.56701,0.152174,0.334483,0.28481,0.660377,0.29653,0.129693,0.422764,0.542125,680
1,0.671053,0.181818,0.534759,0.438144,0.391304,0.648276,0.601266,0.169811,0.485804,0.479522,0.495935,0.589744,1515
2,0.439474,0.618577,0.55615,0.639175,0.336957,0.637931,0.466245,0.566038,0.485804,0.110068,0.577236,0.681319,463
1,0.705263,0.221344,0.534759,0.309278,0.336957,0.562069,0.535865,0.264151,0.403785,0.215017,0.512195,1,1035
1,0.626316,0.612648,0.406417,0.42268,0.217391,0.506897,0.493671,0.264151,0.337539,0.255973,0.349593,0.6337,1035
2,0.3,0.140316,0.625668,0.43299,0.369565,0.313793,0.297468,0.603774,0.195584,0.142491,0.788618,0.351648,355
3,0.815789,0.664032,0.737968,0.716495,0.282609,0.368966,0.088608,0.811321,0.29653,0.675768,0.105691,0.120879,560
2,0.607895,0.039526,0.534759,0.329897,0.434783,0.534483,0.202532,0.792453,0.003155,0.161263,0.439024,0.241758,750
