@relation anneal-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute family {'?',GB,GK,GS,TN,ZA,ZF,ZH,ZM,ZS}
@attribute product-type {C,H,G}
@attribute steel {'?',R,A,U,K,M,S,W,V}
@attribute carbon numeric
@attribute hardness numeric
@attribute temper_rolling {'?',T}
@attribute condition {'?',S,A,X}
@attribute formability {'?',1,2,3,4,5}
@attribute strength numeric
@attribute non-ageing {'?',N}
@attribute surface-finish {'?',P,M}
@attribute surface-quality {'?',D,E,F,G}
@attribute enamelability {'?',1,2,3,4,5}
@attribute bc {'?',Y}
@attribute bf {'?',Y}
@attribute bt {'?',Y}
@attribute bw/me {'?',B,M}
@attribute bl {'?',Y}
@attribute m {'?',Y}
@attribute chrom {'?',C}
@attribute phos {'?',P}
@attribute cbond {'?',Y}
@attribute marvi {'?',Y}
@attribute exptl {'?',Y}
@attribute ferro {'?',Y}
@attribute corr {'?',Y}
@attribute blue/bright/varn/clean {'?',B,R,V,C}
@attribute lustre {'?',Y}
@attribute jurofm {'?',Y}
@attribute s {'?',Y}
@attribute p {'?',Y}
@attribute shape {COIL,SHEET}
@attribute thick numeric
@attribute width numeric
@attribute len numeric
@attribute oil {'?',Y,N}
@attribute bore {0,500,600,760}
@attribute packing {'?',1,2,3}
@attribute class {1,2,3,4,5,U}

@data
'?',C,A,0,0,'?','?','?',0.714286,'?','?',G,'?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?',COIL,0.361702,0.865574,0,'?',0,'?',3
'?',C,A,0,0,'?',S,2,0,'?','?',E,'?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?',SHEET,0.12234,1,0.156148,'?',0,'?',3
'?',C,R,0,0,'?',S,2,0,'?','?',E,'?','?','?','?','?',Y,'?','?','?','?','?','?','?','?','?','?','?','?','?',SHEET,0.122074,0.865574,0.156148,Y,0,'?',3
ZS,C,R,0,0,'?',A,2,0,'?','?',G,'?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?',COIL,0.122074,0.399934,0,'?',0,'?',3
TN,C,A,0,0,'?','?',3,0,N,'?','?','?','?','?','?',B,'?','?','?','?','?','?','?','?','?','?','?','?','?','?',COIL,0.361702,0.8,0,'?',0,'?',5
'?',C,R,0.085714,0,T,'?','?',0,'?','?','?','?','?',Y,'?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?',COIL,0.255319,0.8,0,'?',0,'?',3
'?',C,A,0,0,'?',S,2,0,'?','?',E,'?','?','?',Y,'?','?','?','?','?','?','?','?','?','?','?','?','?','?','?',COIL,0.12234,0.865574,0,'?',0,'?',3
'?',C,R,0,0,'?',S,2,0,'?','?',E,'?','?','?','?',B,Y,'?','?','?',Y,'?','?','?','?','?','?','?','?','?',SHEET,0.12234,0.098361,0.12541,'?',0,'?',3
'?',C,K,0.928571,0,'?','?','?',0,'?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?',COIL,0.228723,0.4,0,'?',0,'?',3
'?',C,A,0,0,'?',S,2,0,'?','?',E,'?','?','?',Y,'?','?','?','?','?','?','?','?','?','?','?','?','?','?','?',COIL,0.015957,0.865574,0,'?',0,'?',3
'?',C,S,1,0,'?','?','?',0,'?','?','?','?','?','?','?',M,'?','?','?','?','?','?','?','?','?','?','?','?','?','?',SHEET,0.468085,0.655738,1,'?',0,'?',3
TN,C,'?',0,0,'?',A,1,0,'?','?','?','?','?','?','?','?','?','?','?','?','?','?','?',Y,'?','?','?','?','?','?',SHEET,0.361702,0.8,0.156148,'?',0,'?',5
'?',C,A,0,0,'?',S,3,0,N,'?',E,'?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?',SHEET,0.096011,0.865574,1,'?',0,'?',3
ZS,C,A,0,0.588235,T,'?','?',0,'?','?',E,'?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?',COIL,0.095745,0.4,0,'?',0,'?',3
'?',C,A,0,0,'?',S,2,0,'?','?',E,'?','?','?',Y,'?','?','?','?','?','?','?','?','?','?','?','?','?','?','?',COIL,0.122074,0.865574,0,'?',0,'?',3
'?',C,A,0,1,T,'?','?',0,'?','?',G,'?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?',COIL,0.202394,0.032787,0,'?',0,'?',U
'?',C,'?',0,0,'?',S,1,0,'?','?',G,'?','?','?','?',B,Y,'?','?','?','?','?','?','?','?','?','?','?','?','?',SHEET,0.015957,0.390164,0.156148,'?',0,'?',3
'?',C,A,0,0,'?',S,2,0,'?','?',F,'?','?',Y,'?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?',SHEET,0.122074,0.399934,0,'?',0,'?',3
'?',C,K,0.928571,0,'?','?','?',0,'?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?',Y,'?','?','?',COIL,0.095745,0.590164,0,'?',0,'?',3
'?',C,A,0,0,'?',S,2,0,'?','?',F,'?','?',Y,'?','?','?','?','?','?','?','?','?','?','?','?','?','?','?','?',SHEET,0.201862,0.4,0.156148,'?',0,'?',3
'?',C,A,0,0,'?',S,2,0,'?','?',F,'?','?',Y,'?',B,Y,'?','?','?','?','?','?','?','?','?','?','?','?','?',SHEET,0.095745,0.8,1,'?',0,'?',3
'?',C,A,0,1,T,'?','?',0,'?','?',G,'?','?','?','?',M,'?','?','?','?','?','?','?','?','?','?',Y,'?','?','?',COIL,1,0.655738,0,'?',600,'?',U
