@relation kc1-class-level-numericdefect-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute PERCENT_PUB_DATA numeric
@attribute ACCESS_TO_PUB_DATA numeric
@attribute COUPLING_BETWEEN_OBJECTS numeric
@attribute DEPTH numeric
@attribute LACK_OF_COHESION_OF_METHODS numeric
@attribute NUM_OF_CHILDREN numeric
@attribute DEP_ON_CHILD numeric
@attribute FAN_IN numeric
@attribute RESPONSE_FOR_CLASS numeric
@attribute WEIGHTED_METHODS_PER_CLASS numeric
@attribute minLOC_BLANK numeric
@attribute minBRANCH_COUNT numeric
@attribute minLOC_CODE_AND_COMMENT numeric
@attribute minLOC_COMMENTS numeric
@attribute minCYCLOMATIC_COMPLEXITY numeric
@attribute minDESIGN_COMPLEXITY numeric
@attribute minESSENTIAL_COMPLEXITY numeric
@attribute minLOC_EXECUTABLE numeric
@attribute minHALSTEAD_CONTENT numeric
@attribute minHALSTEAD_DIFFICULTY numeric
@attribute minHALSTEAD_EFFORT numeric
@attribute minHALSTEAD_ERROR_EST numeric
@attribute minHALSTEAD_LENGTH numeric
@attribute minHALSTEAD_LEVEL numeric
@attribute minHALSTEAD_PROG_TIME numeric
@attribute minHALSTEAD_VOLUME numeric
@attribute minNUM_OPERANDS numeric
@attribute minNUM_OPERATORS numeric
@attribute minNUM_UNIQUE_OPERANDS numeric
@attribute minNUM_UNIQUE_OPERATORS numeric
@attribute minLOC_TOTAL numeric
@attribute maxLOC_BLANK numeric
@attribute maxBRANCH_COUNT numeric
@attribute maxLOC_CODE_AND_COMMENT numeric
@attribute maxLOC_COMMENTS numeric
@attribute maxCYCLOMATIC_COMPLEXITY numeric
@attribute maxDESIGN_COMPLEXITY numeric
@attribute maxESSENTIAL_COMPLEXITY numeric
@attribute maxLOC_EXECUTABLE numeric
@attribute maxHALSTEAD_CONTENT numeric
@attribute maxHALSTEAD_DIFFICULTY numeric
@attribute maxHALSTEAD_EFFORT numeric
@attribute maxHALSTEAD_ERROR_EST numeric
@attribute maxHALSTEAD_LENGTH numeric
@attribute maxHALSTEAD_LEVEL numeric
@attribute maxHALSTEAD_PROG_TIME numeric
@attribute maxHALSTEAD_VOLUME numeric
@attribute maxNUM_OPERANDS numeric
@attribute maxNUM_OPERATORS numeric
@attribute maxNUM_UNIQUE_OPERANDS numeric
@attribute maxNUM_UNIQUE_OPERATORS numeric
@attribute maxLOC_TOTAL numeric
@attribute avgLOC_BLANK numeric
@attribute avgBRANCH_COUNT numeric
@attribute avgLOC_CODE_AND_COMMENT numeric
@attribute avgLOC_COMMENTS numeric
@attribute avgCYCLOMATIC_COMPLEXITY numeric
@attribute avgDESIGN_COMPLEXITY numeric
@attribute avgESSENTIAL_COMPLEXITY numeric
@attribute avgLOC_EXECUTABLE numeric
@attribute avgHALSTEAD_CONTENT numeric
@attribute avgHALSTEAD_DIFFICULTY numeric
@attribute avgHALSTEAD_EFFORT numeric
@attribute avgHALSTEAD_ERROR_EST numeric
@attribute avgHALSTEAD_LENGTH numeric
@attribute avgHALSTEAD_LEVEL numeric
@attribute avgHALSTEAD_PROG_TIME numeric
@attribute avgHALSTEAD_VOLUME numeric
@attribute avgNUM_OPERANDS numeric
@attribute avgNUM_OPERATORS numeric
@attribute avgNUM_UNIQUE_OPERANDS numeric
@attribute avgNUM_UNIQUE_OPERATORS numeric
@attribute avgLOC_TOTAL numeric
@attribute sumLOC_BLANK numeric
@attribute sumBRANCH_COUNT numeric
@attribute sumLOC_CODE_AND_COMMENT numeric
@attribute sumLOC_COMMENTS numeric
@attribute sumCYCLOMATIC_COMPLEXITY numeric
@attribute sumDESIGN_COMPLEXITY numeric
@attribute sumESSENTIAL_COMPLEXITY numeric
@attribute sumLOC_EXECUTABLE numeric
@attribute sumHALSTEAD_CONTENT numeric
@attribute sumHALSTEAD_DIFFICULTY numeric
@attribute sumHALSTEAD_EFFORT numeric
@attribute sumHALSTEAD_ERROR_EST numeric
@attribute sumHALSTEAD_LENGTH numeric
@attribute sumHALSTEAD_LEVEL numeric
@attribute sumHALSTEAD_PROG_TIME numeric
@attribute sumHALSTEAD_VOLUME numeric
@attribute sumNUM_OPERANDS numeric
@attribute sumNUM_OPERATORS numeric
@attribute sumNUM_UNIQUE_OPERANDS numeric
@attribute sumNUM_UNIQUE_OPERATORS numeric
@attribute sumLOC_TOTAL numeric
@attribute NUMDEFECTS numeric

@data
0,0,0.708333,0.666667,0.93,0,0,0.333333,0.243243,0.06,0,0,0,0,0,0,0,1,1,0.96,1,1,1,0.074627,1,1,1,0.666667,1,0.8,0.666667,0.12069,0.363636,0.083333,0.045455,0.363636,0.363636,0.36,0.301527,0.29395,0.360558,0.065651,0.140152,0.184448,0.21,0.065651,0.138913,0.147196,0.207965,0.216667,0.486486,0.313589,0.203481,0.595041,0.173913,0.086614,0.595041,0.791209,0.35443,0.584699,0.611431,0.579286,0.244604,0.437086,0.507542,0.16341,0.244604,0.435343,0.422989,0.560694,0.467869,0.715026,0.524414,0.031373,0.073684,0.035088,0.023622,0.071804,0.10049,0.055233,0.092521,0.072382,0.041923,0.02442,0.047098,0.051199,0.028299,0.02442,0.046593,0.041451,0.057627,0.050549,0.049892,0.087786,0
0,0,0.625,0.333333,0.94,0,0,0.333333,0.198198,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0.111111,0.12069,0.090909,0.083333,0.068182,0.090909,0.090909,0.08,0.125954,0.212784,0.274233,0.023307,0.064394,0.09132,0.5,0.023307,0.065286,0.095794,0.091445,0.175,0.405405,0.167247,0.144132,0.15978,0.057971,0.07699,0.165289,0.205128,0.101266,0.251366,0.371827,0.384047,0.087448,0.200148,0.256729,0.287744,0.087448,0.204401,0.249808,0.261079,0.298351,0.518135,0.253749,0.033333,0.035407,0.017544,0.031496,0.04028,0.053922,0.040698,0.059663,0.066027,0.041691,0.013095,0.03235,0.038847,0.074746,0.013095,0.032814,0.03672,0.04025,0.048352,0.05423,0.065232,0
0,0,0.375,0,0,0.8,0,0,0.031532,0.07,0,0,0,0,0,0,0,0.25,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0.222222,0.017241,0.147727,0,0.022727,0.159091,0.136364,0.08,0.217557,0.311043,0.288744,0.038478,0.102273,0.131103,0.05,0.038478,0.10171,0.116822,0.140118,0.241667,0.486486,0.216028,0.021801,0.290437,0,0.012373,0.325856,0.414443,0.0434,0.545667,0.667879,0.422576,0.150309,0.370861,0.434276,0.068511,0.150309,0.375437,0.388177,0.463254,0.505647,0.612879,0.47306,0.003922,0.044976,0,0.003937,0.050788,0.068627,0.023256,0.100735,0.092242,0.035679,0.017507,0.046622,0.05111,0.013842,0.017507,0.046879,0.044379,0.055547,0.063736,0.049892,0.092644,5
0,0,0.166667,0,0,0,0,0,0.072072,0.16,0,0,0,0,0,0,0,0.25,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0.222222,0,0,0,0,0,0,0,0.053435,0.342691,0.10493,0.006471,0.045455,0.068716,0.095,0.006471,0.047093,0.07243,0.066372,0.183333,0.216216,0.080139,0,0,0,0,0,0,0,0.173156,0.808539,0.252324,0.042946,0.225166,0.287156,0.169183,0.042947,0.225048,0.299138,0.279624,0.476768,0.443005,0.217272,0,0.014354,0,0,0.02627,0.036765,0.043605,0.073065,0.255244,0.048696,0.011433,0.0647,0.077247,0.07813,0.011434,0.064229,0.078171,0.076637,0.137363,0.08243,0.100278,17
0,0,0.291667,0,0.75,0,0,0,0.027027,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12069,0.113636,0,0,0.113636,0.113636,0,0.171756,0.239925,0.294512,0.035729,0.090909,0.119349,0.335,0.035729,0.092591,0.119159,0.119469,0.241667,0.486486,0.184669,0.15261,0.132231,0,0,0.132231,0.175824,0,0.196721,0.30374,0.308454,0.06791,0.154525,0.183673,0.222025,0.067911,0.152154,0.188506,0.180636,0.264448,0.466321,0.188197,0.023529,0.020096,0,0,0.022767,0.031863,0.014535,0.031128,0.035957,0.022323,0.00678,0.016651,0.018528,0.03845,0.00678,0.016285,0.018473,0.018565,0.028571,0.032538,0.032616,0
0,0,0.541667,0.166667,0.8,0,0,0.333333,0.202703,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0,0.051724,0.136364,0,0.113636,0.136364,0.090909,0.12,0.133588,0.241583,0.324651,0.028049,0.083333,0.112116,0.665,0.028049,0.082176,0.11215,0.112094,0.2,0.432432,0.149826,0.055109,0.093664,0,0.021654,0.093664,0.095238,0.059072,0.148907,0.324575,0.260477,0.029828,0.098601,0.134871,0.350207,0.029828,0.095171,0.138314,0.132707,0.213592,0.417962,0.152954,0.05098,0.098565,0,0.035433,0.120841,0.14951,0.142442,0.141375,0.230543,0.113106,0.017867,0.063749,0.081633,0.363888,0.017867,0.061115,0.081325,0.081836,0.138462,0.174982,0.162734,17
0,0,0,0.333333,0,0,0,0.666667,0.27027,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.708333,0.666667,0.93,0,0,0.333333,0.243243,0.06,0,0,0,0,0,0,0,1,1,0.96,1,1,1,0.089552,1,1,1,0.666667,1,0.8,0.666667,0.103448,0.227273,0.083333,0.045455,0.227273,0.227273,0.28,0.198473,0.224386,0.334884,0.04247,0.098485,0.130199,0.21,0.04247,0.096777,0.102804,0.147493,0.183333,0.486486,0.216028,0.190763,0.429752,0.086957,0.072178,0.429752,0.571429,0.303797,0.469945,0.532532,0.546355,0.176631,0.344371,0.410825,0.165187,0.176631,0.344535,0.351724,0.447977,0.427184,0.725389,0.429258,0.029412,0.054545,0.017544,0.019685,0.054291,0.07598,0.049419,0.074362,0.063042,0.03954,0.017634,0.037108,0.041443,0.028607,0.017634,0.036874,0.034467,0.046042,0.046154,0.050615,0.072172,0
0,0,0.416667,0.166667,0.75,0,0,0.333333,0.09009,0.16,0,0,0,0,0,0,0,0,0.359576,0.4,0.062434,0,0.3,0.074627,0.061466,0.149842,0.166667,0.333333,0.2,0.4,0.111111,0.103448,0.204545,0.083333,0.136364,0.204545,0.204545,0.16,0.217557,0.25619,0.349395,0.043994,0.102273,0.151899,0.5,0.043994,0.103063,0.126168,0.168142,0.191667,0.486486,0.268293,0.095382,0.165289,0.043478,0.086614,0.165289,0.21978,0.050633,0.217213,0.316609,0.326527,0.077981,0.156734,0.2063,0.367673,0.07798,0.1565,0.17931,0.223266,0.200878,0.430052,0.219915,0.029412,0.048804,0.017544,0.047244,0.054291,0.07598,0.043605,0.068742,0.074962,0.047262,0.01557,0.033777,0.041622,0.127345,0.01557,0.033499,0.035143,0.045893,0.043407,0.060014,0.075989,0
0,0,0.458333,0.333333,0,0,0,0.333333,0.184685,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0.111111,0.103448,0.318182,0,0.022727,0.318182,0.295455,0.32,0.29771,0.412618,0.437953,0.104845,0.181818,0.230561,1,0.104845,0.182662,0.240654,0.224189,0.291667,0.432432,0.303136,0.087206,0.439197,0,0.03712,0.439197,0.320251,0.347197,0.348946,0.657492,0.419076,0.226001,0.397351,0.450247,0.456737,0.226002,0.400358,0.427586,0.464492,0.462057,0.524056,0.333498,0.015686,0.065072,0,0.011811,0.064799,0.056373,0.063953,0.064419,0.090808,0.035384,0.026323,0.049952,0.05299,0.092279,0.026323,0.04999,0.048885,0.055696,0.058242,0.042661,0.065926,0
0,0,0.583333,0.166667,0.86,0,0,0.333333,0.166667,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0.111111,0.103448,0.090909,0,0.022727,0.090909,0.090909,0.08,0.122137,0.229721,0.301023,0.02535,0.064394,0.090416,0.5,0.02535,0.064246,0.095794,0.087021,0.158333,0.405405,0.163763,0.110219,0.110193,0,0.028871,0.110193,0.14652,0.06751,0.185792,0.309145,0.295015,0.055721,0.138336,0.183969,0.357609,0.055721,0.141838,0.176245,0.188825,0.230544,0.442142,0.191721,0.02549,0.026794,0,0.011811,0.031524,0.044118,0.034884,0.044099,0.054896,0.032026,0.008344,0.02236,0.027837,0.092894,0.008344,0.022771,0.025907,0.02911,0.037363,0.046276,0.049965,0
0,0,0.208333,0.166667,0,0,0,0.333333,0.108108,0.05,0,0,0,0,0,0,0,0.25,0,0,0,0,0.1,0,0,0,0,0.166667,0,0.2,0.222222,0,0.022727,0,0,0.022727,0.022727,0,0.026718,0.042992,0.124093,0.001136,0.007576,0.014467,1,0.001136,0.00699,0.011682,0.016224,0.025,0.216216,0.027875,0,0.019835,0,0,0.019835,0.026374,0,0.04918,0.05767,0.079972,0.002259,0.010596,0.023425,0.884547,0.00226,0.010522,0.01931,0.026012,0.030513,0.149223,0.045675,0,0.005742,0,0,0.008757,0.012255,0.011628,0.006485,0.005689,0.004823,0.000188,0.000951,0.001969,0.127653,0.000188,0.000938,0.001577,0.002228,0.002747,0.008677,0.007634,0
0,0,0.041667,0.333333,1,0,0,0.333333,0.148649,0.14,0,0,0,0,0,0,0,0,0.359576,0.4,0.062434,0,0.3,1,0.061466,0.149842,0.166667,0.333333,0.2,0.4,0,0,0,0,0,0,0,0,0,0.027608,0.027907,0.000037,0,0.003617,0.5,0.000037,0.00101,0.002336,0.004425,0.008333,0.081081,0.003484,0,0,0,0,0,0,0,0,0.090868,0.069511,0.000292,0,0.019521,0.831261,0.000292,0.006131,0.013793,0.023121,0.030513,0.165803,0.008458,0,0.001914,0,0,0.003503,0.004902,0.005814,0,0.005379,0.002515,0.000015,0,0.000985,0.071978,0.000015,0.000328,0.000676,0.001188,0.001648,0.005785,0.001388,0
0,0,0,0,1,0,0,0,0.031532,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.791667,0.333333,0.94,0,0,1,0.238739,0.17,0,0,0,0,0,0,0,0,0.336109,0.6,0.157729,0,0.4,0.044776,0.158392,0.252366,0.166667,0.5,0.2,0.6,0,0.086207,0.295455,0,0.068182,0.295455,0.295455,0.24,0.335878,0.276184,0.560372,0.148918,0.204545,0.246835,0.335,0.148918,0.202803,0.254673,0.241888,0.316667,0.567568,0.334495,0.105653,0.251748,0,0.046638,0.259377,0.304311,0.116845,0.300126,0.39098,0.443412,0.162082,0.246562,0.299365,0.281186,0.162082,0.248723,0.299204,0.299466,0.319215,0.530889,0.273268,0.035294,0.074641,0,0.027559,0.08056,0.102941,0.063953,0.102897,0.100284,0.069529,0.03506,0.057564,0.065431,0.105506,0.03506,0.057677,0.063528,0.066686,0.074725,0.08026,0.101319,3
