@relation sonar-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute attribute_1 numeric
@attribute attribute_2 numeric
@attribute attribute_3 numeric
@attribute attribute_4 numeric
@attribute attribute_5 numeric
@attribute attribute_6 numeric
@attribute attribute_7 numeric
@attribute attribute_8 numeric
@attribute attribute_9 numeric
@attribute attribute_10 numeric
@attribute attribute_11 numeric
@attribute attribute_12 numeric
@attribute attribute_13 numeric
@attribute attribute_14 numeric
@attribute attribute_15 numeric
@attribute attribute_16 numeric
@attribute attribute_17 numeric
@attribute attribute_18 numeric
@attribute attribute_19 numeric
@attribute attribute_20 numeric
@attribute attribute_21 numeric
@attribute attribute_22 numeric
@attribute attribute_23 numeric
@attribute attribute_24 numeric
@attribute attribute_25 numeric
@attribute attribute_26 numeric
@attribute attribute_27 numeric
@attribute attribute_28 numeric
@attribute attribute_29 numeric
@attribute attribute_30 numeric
@attribute attribute_31 numeric
@attribute attribute_32 numeric
@attribute attribute_33 numeric
@attribute attribute_34 numeric
@attribute attribute_35 numeric
@attribute attribute_36 numeric
@attribute attribute_37 numeric
@attribute attribute_38 numeric
@attribute attribute_39 numeric
@attribute attribute_40 numeric
@attribute attribute_41 numeric
@attribute attribute_42 numeric
@attribute attribute_43 numeric
@attribute attribute_44 numeric
@attribute attribute_45 numeric
@attribute attribute_46 numeric
@attribute attribute_47 numeric
@attribute attribute_48 numeric
@attribute attribute_49 numeric
@attribute attribute_50 numeric
@attribute attribute_51 numeric
@attribute attribute_52 numeric
@attribute attribute_53 numeric
@attribute attribute_54 numeric
@attribute attribute_55 numeric
@attribute attribute_56 numeric
@attribute attribute_57 numeric
@attribute attribute_58 numeric
@attribute attribute_59 numeric
@attribute attribute_60 numeric
@attribute Class {Rock,Mine}

@data
0.05826,0.068581,0.125821,0.071564,0.155719,0.162322,0.267045,0.184785,0.045313,0.173745,0.143769,0.005422,0.066216,0.045272,0.117665,0.056483,0.090664,0.205091,0.335578,0.349101,0.465114,0.876597,0.958249,0.875627,0.682889,0.662628,0.54554,0.643886,0.776989,0.741664,0.583542,0.66412,0.801323,0.935559,0.861614,0.666835,0.401924,0.206613,0.243938,0.386166,0.336653,0.261783,0.38743,0.284076,0.16534,0.087082,0.084209,0.126385,0.087834,0.208485,0.133466,0.189729,0.483117,0.394737,0.133787,0.320513,0.607955,0.19222,0.209366,0.267898,Rock
0.148968,0.06258,0.108739,0.068474,0.105757,0.113948,0.200216,0.177949,0.203761,0.285571,0.291224,0.271249,0.210307,0.146025,0.162403,0.183696,0.267848,0.34639,0.401325,0.375107,0.485245,0.642266,0.75808,0.845405,0.908197,0.880163,0.809749,0.668485,0.530032,0.4894,0.563379,0.600427,0.501208,0.428511,0.317787,0.226915,0.120271,0.131538,0.244887,0.393573,0.475622,0.497802,0.484029,0.389204,0.294143,0.245474,0.305867,0.401617,0.388188,0.269091,0.204183,0.164051,0.161039,0.002924,0.045351,0.115385,0.073864,0.043478,0.057851,0.060046,Mine
0.091445,0.092585,0.02431,0.011888,0.037535,0.009137,0.169372,0.198236,0.105287,0.128986,0.137814,0.086753,0.04448,0.059297,0.148761,0.125585,0.074293,0.160831,0.262676,0.27729,0.346227,0.556078,0.733284,0.872656,0.902459,0.725851,0.669923,0.695657,0.580357,0.336636,0.187902,0.249831,0.230495,0.285639,0.179912,0.222581,0.309972,0.258709,0.268817,0.292919,0.268906,0.251038,0.195655,0.230482,0.263008,0.235464,0.162622,0.196466,0.224634,0.133333,0.023904,0.077033,0.174026,0.30117,0.013605,0.046154,0.0625,0.128146,0.104683,0.096998,Rock
0.165929,0.09087,0.101511,0.121493,0.0667,0.110454,0.233766,0.145094,0.073153,0.039468,0.233234,0.322098,0.391824,0.24059,0.379175,0.492062,0.276241,0.340779,0.662424,0.711794,0.478605,0.431653,0.680725,0.808729,0.772643,0.883577,0.887488,0.888123,0.858969,0.793651,0.551281,0.229387,0.313137,0.148702,0.229518,0.552823,0.473431,0.061974,0.127662,0.069063,0.342907,0.450427,0.344756,0.138882,0.201592,0.231349,0.133647,0.189877,0.072691,0.273939,0.060757,0.219686,0.366234,0.24269,0.240363,0.230769,0.144886,0.036613,0.179063,0.039261,Rock
0.213864,0.153022,0.065375,0.040181,0.098656,0.151303,0.24513,0.202205,0.364283,0.431002,0.269814,0.349502,0.321722,0.196556,0.113151,0.109404,0.055642,0.143377,0.132969,0.094606,0,0.162151,0.368337,0.559164,0.649283,0.721776,0.846938,0.905825,0.864854,0.881964,0.935477,0.91193,0.706395,0.634658,0.616754,0.682258,0.763831,0.613289,0.564411,0.653813,0.606485,0.599389,0.650071,0.743623,0.839778,0.658667,0.702101,0.832285,0.720343,0.513939,0.26992,0.273894,0.168831,0.175439,0.181406,0.217949,0.201705,0.089245,0.14876,0.034642,Mine
0.351032,0.117017,0.189553,0.28816,0.432412,0.485353,0.590909,0.157222,0.173404,0.273845,0.093294,0.331331,0.291493,0.30133,0.331929,0.321698,0.251891,0.27013,0.258153,0.114833,0.290051,0.369594,0.313659,0.529761,0.511066,0.391453,0.510453,0.518629,0.381798,0.302866,0.393351,0.475736,0.535861,0.584526,0.627186,0.754335,0.716379,0.602371,0.527936,0.599673,0.711986,0.578877,0.483124,0.361247,0.281774,0.334339,0.323977,0.510931,0.384654,0.288485,0.266932,0.104137,0.322078,0.44152,0.129252,0.294872,0.542614,0.313501,0.911846,1,Mine
0.05826,0.259323,0.368265,0.27223,0.085214,0.302338,0.666126,0.994708,0.964312,0.710139,0.434,0.087632,0.405931,0.379911,0.374962,0.373092,0.093047,0.102649,0.22975,0.913099,0.976707,0.308455,0.146339,0.167503,0.066086,0.277784,0.259691,0.578839,0.448458,0.71599,0.162071,0.26803,0.602226,0.897615,0.858955,0.9375,0.872075,0.945929,0.669408,0.470479,0.556225,0.458242,0.201345,0.186679,0.378448,0.247669,0.307678,0.766397,0.569914,0.243636,0.478088,0.322397,0.441558,1,0.344671,0.825641,0.5625,0.377574,0.672176,0.341801,Mine
0.327434,0.184741,0.109067,0.094627,0,0.211771,0.477543,0.371775,0.225529,0.185185,0.340848,0.442995,0.627753,0.568423,0.445381,0.210564,0.188063,0.29361,0.254681,0.383027,0.416105,0.220939,0.620112,0.894068,0.889139,0.727833,0.667822,0.834294,1,0.825503,0.538965,0.468771,0.797018,0.716587,0.377621,0.148992,0.136344,0.184881,0.506747,0.50817,0.229763,0.432601,0.360145,0.232801,0.050043,0.064866,0.058312,0.122192,0.082282,0.106667,0.120518,0.084165,0.07013,0.289474,0.358277,0.376923,0.190341,0.187643,0.319559,0.115473,Rock
0.457227,0.301329,0.14389,0.065383,0.029926,0.311207,0.265693,0.410805,0.486747,0.541542,0.621721,0.790739,0.766086,0.419717,0.303039,0.338897,0.375712,0.363636,0.503471,0.700128,0.757799,0.85298,0.860973,0.921729,1,0.962771,0.981301,0.728283,0.407265,0.245552,0.304959,0.369131,0.312192,0.280975,0.065562,0.367339,0.469932,0.322866,0.152435,0.111656,0.099595,0.313187,0.576878,0.608864,0.46389,0.195145,0.070627,0.121593,0.156991,0.104242,0.153386,0.057061,0.051948,0.225146,0.14966,0.233333,0.235795,0.187643,0.107438,0.103926,Mine
0.337758,0.215602,0.264126,0.28388,0.435202,0.797635,0.804924,0.50871,0.556049,0.521379,0.387353,0.391706,0.304736,0.117356,0.155582,0.230816,0.427417,0.580675,0.657479,0.782641,0.822829,0.776403,0.854403,0.730458,0.397746,0.184492,0.305809,0.360642,0.440747,0.603814,0.759346,0.777803,0.7589,0.811659,0.595786,0.582661,0.659742,0.717064,0.62355,0.56634,0.429531,0.211844,0.210138,0.32556,0.270543,0.225315,0.109381,0.062594,0.220091,0.212121,0.106574,0.263909,0.293506,0.157895,0.081633,0.128205,0.130682,0.180778,0.07438,0.048499,Rock
0.108407,0.015002,0.073587,0.09106,0.142785,0.220102,0.361201,0.225579,0.218718,0.238238,0.265844,0.341735,0.418166,0.366711,0.437556,0.52646,0.585121,0.660052,0.716916,0.795805,0.888385,0.966057,1,0.989038,0.936066,0.888864,0.914277,0.910251,0.777902,0.575796,0.35782,0.32532,0.189331,0,0.091439,0.172177,0.22108,0.255797,0.197133,0.283007,0.347771,0.304029,0.241433,0.278279,0.181689,0.105321,0.19377,0.283318,0.32105,0.275152,0.12749,0.235378,0.337662,0.304094,0.126984,0.392308,0.241477,0.075515,0.143251,0.055427,Mine
0.138643,0.049293,0.119908,0.016643,0.119199,0.207471,0.267316,0.175744,0.157115,0.233662,0.270665,0.364156,0.276522,0.149943,0.201525,0.165276,0.100404,0.195844,0.196087,0.262307,0.357715,0.34884,0.449931,0.644606,0.77582,0.823218,0.913856,0.976225,0.892147,0.682753,0.655913,0.52404,0.359761,0.296449,0.137261,0.09123,0.202165,0.193408,0.249315,0.221678,0.240649,0.378266,0.273115,0.127673,0.084447,0.266045,0.350779,0.324049,0.169611,0.214545,0.208167,0.179743,0.231169,0.108187,0.088435,0.097436,0.071023,0.075515,0.033058,0.023095,Mine
0.121681,0.187741,0.151445,0.152164,0.392594,0.210965,0.152327,0.224035,0.459055,0.401115,0.423082,0.41017,0.410105,0.238631,0.165613,0.116629,0.254274,0.430545,0.646644,0.752033,0.679595,0.426746,0.19805,0.271181,0.485041,0.798656,1,0.921573,0.849736,0.757324,0.576567,0.537632,0.666492,0.636778,0.494119,0.352621,0.378089,0.35666,0.314991,0.289107,0.380776,0.461294,0.446528,0.270033,0.146574,0.109435,0.126947,0.157532,0.121656,0.141818,0.121514,0.162625,0.283117,0.25731,0.047619,0.053846,0.065341,0.107551,0.198347,0.036952,Mine
0.036873,0.049721,0.017411,0.011888,0.038042,0.048912,0.133658,0.114664,0.144973,0.142428,0.091876,0.086606,0.105945,0.065794,0.146053,0.153063,0.095223,0.103792,0.063223,0.067423,0.172218,0.272978,0.389425,0.607417,0.812193,0.958365,0.819309,0.56937,0.458908,0.311708,0.244687,0.113008,0.145542,0.208161,0.218574,0.165827,0.026022,0.024748,0.155598,0.254357,0.30388,0.364469,0.294194,0.190673,0.156668,0.161547,0.110105,0.09973,0.139324,0.121212,0.022908,0.087019,0.051948,0.049708,0.104308,0.082051,0.065341,0.075515,0.013774,0.066975,Rock
0.264749,0.248607,0.20138,0.113172,0.047679,0.354743,0.551677,0.590739,0.443507,0.355212,0.452857,0.551436,0.631927,0.585439,0.791754,0.825361,0.801782,0.893714,0.981906,0.891053,0.88301,0.935283,0.906962,0.788546,0.66373,0.594449,0.460553,0.319473,0.475649,0.341856,0.282616,0.096945,0.027932,0.137573,0.172139,0.175101,0.14848,0.058542,0.259119,0.314706,0.143833,0.174237,0.371783,0.263721,0.151265,0.191306,0.192865,0.157832,0.199394,0.221818,0.351594,0.156919,0.150649,0.663743,0.058957,0.212821,0.34375,0.251716,0.267218,0.277136,Mine
0.20944,0.292327,0.320959,0.228959,0.185899,0.141629,0.026245,0.167144,0.249667,0.126555,0.033177,0.09789,0.355693,0.29143,0.349985,0.379605,0.374365,0.215481,0.195771,0.255672,0.27403,0.457929,0.526756,0.439811,0.432787,0.412931,0.43492,0.689996,0.759131,0.683072,0.752044,0.791058,0.782316,0.531532,0.38294,0.298589,0.104745,0.210565,0.148535,0.161329,0.613434,0.779853,0.548429,0.588379,0.81888,0.725864,0.595255,0.384247,0.352347,0.404848,0.340637,0.643367,0.706494,0.473684,0.183673,0.107692,0.568182,0.290618,0.31405,0.020785,Mine
0.323009,0.221603,0.272011,0.150024,0.283033,0.666756,0.574405,0.755458,0.483045,0.394537,0.656316,0.925557,0.969483,0.77591,0.745611,0.944637,1,0.883013,0.792131,0.766481,0.495363,0.391882,0.359648,0.376498,0.308402,0.251019,0.293098,0.255558,0.434152,0.15074,0.360327,0.285666,0.158248,0.225649,0.11077,0.413508,0.380932,0.070084,0.15486,0.201852,0.152171,0.064347,0.181172,0.20974,0.088285,0.027839,0.09598,0.222222,0.206461,0.073939,0.124502,0.108417,0.218182,0.111111,0.199546,0.479487,0.389205,0.105263,0.140496,0.08776,Rock
0.100295,0.134591,0.191853,0.235854,0.277961,0.438592,0.445346,0.23462,0.120539,0.156156,0.079115,0.187866,0.305312,0.259874,0.338349,0.44423,0.683971,0.876052,0.911004,0.736943,0.655987,0.70821,0.823567,0.764471,0.691906,0.619231,0.478937,0.477769,0.491883,0.37797,0.125232,0,0.016801,0.291468,0.346323,0.18004,0.013667,0.115837,0.214421,0.202941,0.325999,0.283639,0.221906,0.20085,0.221211,0.057872,0.089279,0.142558,0.11055,0.071515,0.085657,0.075606,0.025974,0.216374,0.276644,0.128205,0.022727,0.036613,0.060606,0.12933,Rock
0.05531,0.024003,0.078187,0.102473,0.286584,0.399624,0.367695,0.205513,0.130312,0.254826,0.227846,0.338658,0.55981,0.279984,0.287892,0.525544,0.380582,0.12426,0.266148,0.347924,0.319351,0.431346,0.620006,0.44688,0.591086,0.855711,0.826137,0.760086,0.500913,0.426867,0.533842,0.558414,0.353565,0.359194,0.734274,0.774294,0.383446,0.029531,0.349252,0.653268,0.364794,0.275458,0.283848,0.393069,0.275377,0.215304,0.086744,0.161126,0.0737,0.082424,0.186255,0.072753,0.233766,0.538012,0.1678,0.379487,0.440341,0.114416,0.517906,0.221709,Rock
0.217552,0.092156,0.137319,0.031621,0.227492,0.463585,0.290314,0.363175,0.404117,0.617618,0.699419,0.787661,0.747805,0.389296,0.222088,0.165072,0.201844,0.243636,0.496003,0.668022,0.810497,0.875268,0.745682,0.755763,0.708197,0.701289,0.86196,0.949465,0.832386,0.545116,0.422997,0.436419,0.395149,0.31203,0.108827,0.140827,0.187076,0.209733,0.50622,0.550218,0.130979,0.287057,0.441614,0.578974,0.657378,0.27441,0.140348,0.368973,0.395255,0.107879,0.248008,0.279601,0.14026,0.125731,0.165533,0.084615,0.034091,0.121281,0.181818,0.110855,Mine
0.304572,0.235319,0.227661,0.133143,0.291149,0.382155,0.40855,0.07409,0.079224,0,0.136963,0.327814,0.406938,0.358255,0.450296,0.532261,0.646462,0.700052,0.747738,0.857877,0.833052,0.792864,0.828865,0.930028,0.851947,0.577266,0.384284,0.307225,0.300731,0.206775,0.314441,0.45619,0.474955,0.519237,0.508438,0.45756,0.424557,0.414786,0.411765,0.470153,0.386798,0.399023,0.331566,0.32556,0.30381,0.245337,0.182905,0.158131,0.228672,0.14303,0.008964,0.191155,0.451948,0.201754,0.122449,0.325641,0.244318,0.185355,0.30854,0.099307,Mine
0.550885,0.282898,0.153088,0.079886,0.13264,0.147003,0.318182,0.531863,0.516659,0.621479,0.54771,0.544549,0.586152,0.398268,0.451098,0.525544,0.720858,0.604468,0.161793,0.425942,0.383221,0.41642,0.547526,0.528634,0.299283,0.150237,0.684316,1,0.7222,0.437946,0.503651,0.56785,0.252441,0.081505,0.176741,0.413407,0.465012,0.294686,0.259013,0.251961,0.187493,0.291575,0.238847,0.108348,0.098379,0.072408,0.06465,0.025457,0.116103,0.055758,0.155378,0.03281,0.127273,0.277778,0.235828,0.028205,0.196023,0.102975,0.292011,0.203233,Rock
0.520649,0.672096,0.360381,0.244175,0.151915,0.456329,0.290855,0.603969,0.197394,0.097526,0.318304,0.539859,0.459335,0.137878,0.186378,0.320171,0.20029,0.187221,0.142962,0.48277,0.509064,0.621511,0.834375,0.667657,0.572234,0.574953,0.874882,0.83275,0.377942,0.472782,0.542016,0.431027,0.110994,0.502173,0.691419,0.708569,0.579051,0.46657,0.542273,0.470153,0.5663,0.734921,0.679038,0.175084,0.606767,0.609161,0.397139,0.269542,0.605755,0.761212,0.233068,0.429387,0.316883,0.210526,0.623583,0.289744,0.252841,0.329519,0.429752,0.284065,Mine
0.29056,0.177883,0.183311,0.017118,0.029419,0.246439,0.276245,0.223815,0.329779,0.306878,0.295477,0.452374,0.524399,0.47097,0.680209,0.752392,0.950471,0.981922,0.881233,0.81464,0.742938,0.817708,0.678605,0.635693,0.687295,0.781253,0.585356,0.596953,0.886059,0.846277,0.553787,0.280049,0.331933,0.484791,0.274624,0.08256,0.184999,0.137673,0.003795,0.127342,0.141401,0.260684,0.219966,0.125097,0.315183,0.374657,0.33937,0.318059,0.335689,0.490909,0.11255,0.028531,0.080519,0.277778,0.258503,0.212821,0.164773,0.132723,0.07989,0.166282,Rock
0.787611,0.456065,0.079501,0.185212,0.172711,0.274926,0.889881,1,0.807197,0.83698,0.711045,0.295281,0.319275,0.249149,0.663557,0.658457,0.137291,0.048,0.40364,0.8628,0.788364,0.357121,0.120801,0.140559,0.189139,0.212138,0.181742,0.6021,0.574574,0.672419,0.36436,0.437991,0.768035,0.899947,1,0.920565,0.987864,0.927524,0.731921,0.50915,0.2,0.239316,0.215828,0.370008,0.621837,0.424712,0.285766,0.165618,0.168602,0.253333,0.171315,0.245364,0.272727,0.654971,0.612245,0.071795,0.230114,0.272311,0.22314,0.316397,Mine
