@relation pendigits-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute input1 numeric
@attribute input2 numeric
@attribute input3 numeric
@attribute input4 numeric
@attribute input5 numeric
@attribute input6 numeric
@attribute input7 numeric
@attribute input8 numeric
@attribute input9 numeric
@attribute input10 numeric
@attribute input11 numeric
@attribute input12 numeric
@attribute input13 numeric
@attribute input14 numeric
@attribute input15 numeric
@attribute input16 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0.62,0.76,0,1,0.22,0.68,0.9,0.37,1,0,0.13,0.08,0.13,0.47,0.68,0.81,8
0.74,1,0.51,0.87,0.25,0.54,0.18,0.19,0.62,0,1,0.21,0.49,0.37,0,0.26,6
0.59,0.49,0.48,0.85,1,1,0.95,0.58,0.55,0.23,0,0.02,0.21,0.13,0.82,0,2
0.4,1,0,0.7,0.05,0.36,0.74,0.41,1,0.75,0.79,0.65,0.48,0.32,0.15,0,4
0.26,0.85,0.59,1,0.81,0.78,0.72,0.54,1,0.34,0.82,0.09,0.42,0,0,0.01,3
0.08,0.91,0.12,0.53,0.59,0.36,0.26,0,0.05,0.32,0,0.79,0.42,0.98,1,1,5
0,0.84,0.51,1,0.9,0.74,0.77,0.36,0.57,0,0.37,0.25,0.32,0.41,1,0.49,7
0.88,0.88,0.53,0.78,1,0.4,0.91,0,0,0.01,0.05,0.39,0.57,0.76,0.18,1,8
0,0.54,0.31,0.65,0.69,0.87,1,1,0.83,0.75,0.79,0.5,0.81,0.24,1,0,1
0.57,0.82,0.65,1,1,0.88,0.89,0.64,0.79,0.39,0.75,0.13,0.39,0.02,0,0,3
0,0.55,0.58,0.77,1,1,0.89,0.97,0.63,0.73,0.37,0.49,0.11,0.24,0,0,1
0.39,0.92,0.89,1,0.95,0.77,0.53,0.57,0.91,0.45,1,0.17,0.55,0,0,0.02,3
0.64,0.65,1,1,0.41,0.85,0.67,0.42,0.64,0,0,0.16,0.2,0.59,0.81,0.74,8
0.67,0.86,1,1,0.79,0.83,0.58,0.67,0.38,0.5,0.21,0.33,0.04,0.17,0,0,1
0.52,1,0.21,0.75,0.05,0.49,0,0.22,0.34,0.01,1,0,0.95,0.22,0.35,0.16,6
0.27,0.7,0.6,1,0.94,0.88,0.73,0.52,0.39,0.2,0,0,0.45,0.18,1,0.04,2
1,1,0.56,0.93,0.23,0.65,0,0.31,0.18,0,0.65,0.04,0.61,0.22,0.17,0.09,6
0.18,0.86,0,0.62,0.22,0.09,0.71,0,1,0.49,0.78,1,0.29,0.94,0.17,0.41,0
0.51,0.81,0.86,1,0.81,0.85,0.81,0.58,0.88,0.31,0.56,0.06,0,0,1,0.02,1
0.46,1,0.28,0.68,0,0.35,0.63,0.4,0.96,0.58,0.93,0.63,0.93,0.27,1,0,4
0,0.77,0.33,1,0.55,0.77,0.38,0.42,0.11,0.12,0.02,0,0.51,0.08,1,0.08,2
0.21,0.94,0.44,0.73,1,1,0.13,1,0.16,0.8,0.61,0.66,0.23,0.33,0,0,9
0.35,0.73,0.77,0.55,1,0.2,0.39,0,0.37,0.35,0.79,0.68,0.86,1,0,0.84,8
1,0.88,0.62,1,0.23,0.85,0,0.54,0.04,0.18,0.39,0,0.58,0.26,0.18,0.32,6
0.42,0.75,0.7,1,0.75,0.66,0.51,0.29,0.14,0,0,0.06,0.49,0.13,1,0.15,2
0,0.99,0.39,1,0.65,0.72,0.49,0.3,0.23,0,0.08,0.36,0.53,0.43,1,0.47,7
1,1,1,0.96,0.79,0.8,0.5,0.64,0.36,0.48,0.14,0.31,0,0.16,0.07,0,1
0.63,1,0.33,0.9,0.05,0.56,0.1,0.18,0.61,0,1,0.22,0.46,0.36,0,0.16,6
0,0.85,0.2,1,0.47,0.85,0.33,0.53,0.12,0.23,0.27,0,0.64,0.02,1,0.09,2
0.05,0.7,0.56,0.44,0.6,0.03,0,0,0.3,0.39,0.84,0.72,1,1,0.32,0.74,8
0.59,0.99,0.08,1,0.24,0.58,0.81,0.28,0.57,0,0,0.25,0.39,0.64,1,0.93,8
0.21,0.61,0.65,0.78,1,1,0.85,0.83,0.79,0.57,0.77,0.3,0.6,0.06,0,0,1
0.95,0.63,0.55,0.48,0.31,0.74,0.72,1,1,0.72,0.84,0.33,0.5,0,0,0.01,9
0,0.69,0.22,0.93,0.55,1,0.65,0.73,0.46,0.41,0.33,0.08,0.65,0,1,0.04,2
1,1,0.62,0.83,0.34,0.64,0.14,0.43,0,0.22,0.04,0,0.44,0.12,0.36,0.3,6
0,0.53,0.4,0.72,0.82,0.95,1,1,0.68,0.75,0.38,0.51,0.18,0.25,0.1,0,1
0.97,1,0.56,0.94,0.2,0.65,0,0.32,0.2,0,0.93,0.01,1,0.28,0.3,0.34,6
0,0.69,0.29,1,0.49,0.75,0.33,0.36,0.03,0.04,0.09,0.14,0.54,0.06,1,0,2
0,0.83,0.32,1,0.67,0.93,0.52,0.59,0.26,0.29,0.18,0.05,0.6,0,1,0.03,2
0.6,1,0.28,0.88,0.07,0.59,0,0.28,0.33,0.02,1,0,0.87,0.15,0.22,0.04,6
0.22,1,0.03,0.94,0,0.51,0.49,0.44,1,0.61,0.64,0.86,0.64,0.43,0.6,0,4
0.9,0.79,0.7,1,0,0.74,0.51,0.37,1,0,0.22,0.1,0.56,0.5,0.79,0.87,8
0.06,0.95,0.88,1,0.34,0.98,0.06,0.74,0.43,0.62,1,0.38,0.75,0,0,0.13,5
0.09,0.96,0.01,0.5,0.12,0,0.69,0.03,1,0.48,0.82,0.97,0.28,1,0,0.54,0
0.54,0.84,1,1,0.8,0.88,0.29,0.72,0.59,0.49,0.94,0.23,0.51,0,0,0.01,5
0.03,0.9,0.69,1,0.58,0.98,0,0.77,0.36,0.58,1,0.44,0.73,0.09,0.07,0,5
1,0.95,0.4,1,0.31,0.63,0.73,0.29,0.45,0,0,0.17,0.45,0.49,0.94,0.81,8
1,1,0.91,0.86,0.71,0.72,0.53,0.58,0.38,0.44,0.24,0.29,0.11,0.15,0,0,1
0.3,0.84,0.61,1,0.85,0.79,0.67,0.54,0.95,0.39,1,0.14,0.54,0,0,0.1,3
0.4,1,0.15,0.69,0,0.44,0.6,0.52,1,0.66,0.87,0.66,0.91,0.3,0.82,0,4
0,0.67,0.43,0.74,0.78,0.91,1,1,0.95,0.74,0.87,0.49,0.84,0.23,0.96,0,1
0,0.82,0.24,1,0.53,0.84,0.46,0.51,0.25,0.23,0.32,0,0.66,0.01,1,0.04,2
0.26,0.94,0,0.8,0.47,0.41,0.68,0,0.05,0.09,0.52,0.46,1,0.84,0.36,1,8
0,0.27,0.23,0.44,0.63,0.72,1,1,0.86,0.88,0.5,0.6,0.22,0.3,0.09,0,1
0,0.52,0.33,0.67,0.68,0.82,1,1,0.94,0.77,0.82,0.5,0.69,0.23,0.72,0,1
0.14,0.91,0.09,0.52,0.28,0.1,0.74,0,1,0.38,0.86,0.81,0.43,1,0,0.8,0
0.64,1,0.21,0.74,0,0.38,0.17,0.03,0.72,0,1,0.31,0.59,0.51,0.06,0.39,6
0.92,0.78,0.42,1,0,0.7,0.41,0.36,0.86,0.02,0.19,0,0.28,0.34,1,0.63,8
0.81,1,0.59,0.98,0.21,0.65,0,0.29,0.33,0,1,0.1,0.86,0.37,0.2,0.25,6
0.16,0.69,0.59,0.84,1,1,0.9,0.82,0.68,0.61,0.44,0.4,0.19,0.2,0,0,1
0.32,0.78,0.59,1,0.91,0.88,0.68,0.58,1,0.41,0.94,0.12,0.43,0,0,0.1,3
0.18,0.75,0.49,1,0.96,0.93,0.72,0.62,1,0.49,0.95,0.15,0.46,0,0,0.15,3
0.11,0.95,0.08,0.55,0.56,0.35,0.33,0,0,0.25,0.01,0.65,0.43,0.92,1,1,5
0,0.93,0.5,1,0.9,0.82,0.73,0.41,0.56,0,0.29,0.2,0.47,0.34,1,0.32,7
0.09,1,0,0.77,0.11,0.51,0.74,0.53,1,0.72,0.59,0.5,0.33,0.25,0.09,0,4
0.38,0.77,0.86,0.97,1,1,0.41,0.92,0.23,0.56,0.8,0.44,0.56,0.12,0,0,5
0.86,0.86,0.1,1,0.12,0.67,0.84,0.4,0.71,0,0,0.18,0.35,0.58,1,0.89,8
0,0.96,0.27,1,0.73,0.99,1,0.83,0.85,0.6,0.6,0.4,0.33,0.2,0.08,0,7
0,0.91,0.19,0.97,0.69,1,1,0.85,0.84,0.62,0.59,0.41,0.33,0.21,0.07,0,7
0.18,0.8,0.62,0.65,0.61,1,0.36,0.92,0.84,0.69,1,0.28,0.53,0.07,0,0,9
