@relation PC1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute loc numeric
@attribute v(g) numeric
@attribute ev(g) numeric
@attribute iv(G) numeric
@attribute N numeric
@attribute V numeric
@attribute L numeric
@attribute D numeric
@attribute I numeric
@attribute E numeric
@attribute B numeric
@attribute T numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute locCodeAndComment numeric
@attribute lOBlank numeric
@attribute uniq_Op numeric
@attribute uniq_Opnd numeric
@attribute total_Op numeric
@attribute total_Opnd numeric
@attribute branchCount numeric
@attribute defects {false,true}

@data
0.036545,0.02963,0.032787,0.02459,0.03556,0.020785,0.035,0.051504,0.064647,0.001756,0.020809,0.001756,0.036667,0,0,0.053333,0.163265,0.046468,0.035366,0.035839,0.034043,false
0.074751,0.081481,0.04918,0.065574,0.091236,0.059196,0.015,0.124437,0.076212,0.012084,0.05896,0.012084,0.071667,0.006289,0.041667,0.004444,0.27551,0.068773,0.10061,0.077797,0.080851,false
0.011628,0.014815,0,0.016393,0.014368,0.006942,0.04,0.04925,0.02258,0.000561,0.006936,0.000561,0.011667,0,0,0,0.112245,0.016729,0.012195,0.017483,0.017021,false
0.137874,0.140741,0.114754,0.04918,0.116379,0.081527,0.01,0.149265,0.08751,0.019964,0.082081,0.019964,0.133333,0.138365,0.0625,0.142222,0.326531,0.107807,0.110976,0.124126,0.161702,false
0.016611,0.014815,0.016393,0,0.011135,0.005144,0.04,0.048031,0.017148,0.000405,0.004624,0.000405,0.016667,0,0,0.004444,0.112245,0.011152,0.010976,0.011364,0.017021,false
0.019934,0.066667,0,0.065574,0.042026,0.021866,0.015,0.121481,0.02883,0.004359,0.021965,0.004359,0.02,0,0,0.017778,0.142857,0.024164,0.036585,0.049825,0.076596,false
0.026578,0.059259,0.065574,0.008197,0.025862,0.012729,0.015,0.120372,0.01693,0.002514,0.012717,0.002514,0.026667,0,0,0.008889,0.163265,0.011152,0.029878,0.020105,0.068085,false
0.016611,0,0,0,0.012931,0.006452,0.07,0.026195,0.039443,0.000277,0.006936,0.000277,0.016667,0.119497,0,0.048889,0.112245,0.020446,0.014024,0.011364,0,false
0.084718,0.051852,0.032787,0.02459,0.048491,0.029884,0.035,0.052797,0.090652,0.002589,0.030058,0.002589,0.085,0.050314,0,0.04,0.173469,0.063197,0.04939,0.047203,0.059574,false
0.026578,0.022222,0,0.016393,0.020833,0.010933,0.035,0.049878,0.035114,0.000895,0.010405,0.000895,0.026667,0.018868,0,0,0.132653,0.026022,0.018902,0.023601,0.025532,false
0.008306,0,0,0,0.00467,0.001793,0.135,0.013855,0.020724,0.000041,0.002312,0.000041,0.006667,0.018868,0.020833,0,0.05102,0.007435,0.004878,0.004371,0,false
0.038206,0.066667,0,0.065574,0.042385,0.023336,0.015,0.114313,0.032708,0.004376,0.023121,0.004377,0.038333,0,0,0.004444,0.173469,0.02974,0.038415,0.048077,0.06383,false
0.023256,0,0,0,0.063218,0.035543,0.035,0.049952,0.114001,0.002913,0.035838,0.002913,0.023333,0.044025,0,0.04,0.091837,0.050186,0.062805,0.063811,0,false
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0.000359,0.000077,0,0,0,0,0,0,0,0,0,0,0.010204,0,0.00061,0,0,false
0,0,0,0,0.000359,0.000077,0,0,0,0,0,0,0,0,0,0,0.010204,0,0.00061,0,0,false
0.004983,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,false
0.013289,0,0,0,0.008621,0.003765,0.09,0.021097,0.028563,0.00013,0.003468,0.00013,0.013333,0,0,0.008889,0.071429,0.013011,0.008537,0.008741,0,false
0.079734,0.014815,0,0.008197,0.088721,0.056695,0.015,0.124104,0.07317,0.011545,0.056647,0.011545,0.061667,0.169811,0.229167,0.102222,0.22449,0.070632,0.082927,0.097028,0.017021,true
0.024917,0.014815,0,0.008197,0.01796,0.009013,0.045,0.03909,0.036953,0.000578,0.009249,0.000578,0.021667,0.018868,0.041667,0.026667,0.102041,0.024164,0.015244,0.021853,0.017021,false
0.013289,0.022222,0,0.02459,0.014009,0.006664,0.06,0.031405,0.033995,0.000343,0.006936,0.000343,0.011667,0,0.020833,0,0.091837,0.018587,0.013415,0.01486,0.025532,false
0.008306,0.007407,0,0.008197,0.006825,0.003012,0.09,0.021097,0.022847,0.000104,0.003468,0.000104,0.008333,0,0,0.004444,0.071429,0.013011,0.005488,0.008741,0.008511,false
0.031561,0.014815,0.016393,0.008197,0.027299,0.0151,0.04,0.04526,0.053449,0.001121,0.015029,0.001121,0.025,0.08805,0.083333,0.124444,0.132653,0.037175,0.025,0.030594,0.017021,true
0.013289,0,0,0,0.017241,0.009176,0.07,0.025974,0.056608,0.000391,0.009249,0.000391,0.013333,0.025157,0,0.026667,0.102041,0.033457,0.015244,0.020105,0,true
0.0299,0.014815,0.016393,0.008197,0.020833,0.012264,0.045,0.039681,0.049504,0.000798,0.012717,0.000798,0.026667,0,0.041667,0.013333,0.183673,0.042751,0.019512,0.022727,0.017021,false
0.04485,0.059259,0.065574,0.032787,0.034842,0.019055,0.04,0.046848,0.065181,0.001464,0.018497,0.001464,0.045,0.018868,0,0.048889,0.122449,0.037175,0.035366,0.034091,0.068085,false
0.011628,0.022222,0.02459,0,0.011135,0.00524,0.05,0.03558,0.023599,0.000306,0.00578,0.000306,0.011667,0,0,0.004444,0.102041,0.01487,0.010366,0.012238,0.025532,false
0.04485,0.02963,0,0.016393,0.050647,0.028076,0.02,0.082502,0.054502,0.003801,0.027746,0.003801,0.045,0.018868,0,0.053333,0.132653,0.039033,0.045122,0.058566,0.034043,false
0.016611,0,0,0,0.008621,0.003765,0.135,0.013559,0.044524,0.000084,0.003468,0.000084,0.013333,0.012579,0.041667,0.026667,0.05102,0.016729,0.007927,0.009615,0,false
0.096346,0.037037,0,0.016393,0.112428,0.075622,0.025,0.073893,0.16394,0.009168,0.075145,0.009168,0.096667,0.106918,0,0.08,0.153061,0.111524,0.09939,0.131119,0.042553,true
0.048173,0.074074,0.032787,0.016393,0.057471,0.035377,0.015,0.128279,0.044173,0.007446,0.035838,0.007446,0.048333,0.006289,0,0.017778,0.244898,0.050186,0.051829,0.065559,0.085106,false
0.018272,0.051852,0.04918,0.008197,0.024784,0.01253,0.025,0.077588,0.025872,0.001595,0.012717,0.001595,0.018333,0,0,0.004444,0.142857,0.018587,0.025,0.024476,0.059574,false
0.018272,0,0,0,0.011853,0.005357,0.05,0.036947,0.023231,0.000325,0.00578,0.000325,0.018333,0.018868,0,0.008889,0.091837,0.013011,0.011585,0.012238,0,false
0.043189,0.125926,0.098361,0.040984,0.081537,0.051483,0.015,0.132306,0.062323,0.011177,0.052023,0.011177,0.043333,0,0,0.004444,0.22449,0.065056,0.071951,0.09528,0.144681,false
0.034884,0.051852,0.02459,0.008197,0.029454,0.01585,0.02,0.096542,0.026307,0.00251,0.016185,0.00251,0.033333,0.006289,0.020833,0.017778,0.183673,0.022305,0.029878,0.028846,0.059574,false
0.0299,0.007407,0,0,0.029813,0.01522,0.04,0.047513,0.051326,0.001186,0.015029,0.001186,0.03,0,0,0.008889,0.112245,0.026022,0.032317,0.026224,0.008511,false
0.018272,0.02963,0.032787,0,0.014368,0.006322,0.025,0.06909,0.014657,0.000717,0.00578,0.000717,0.018333,0,0,0.004444,0.102041,0.009294,0.014024,0.01486,0.034043,false
0.023256,0.007407,0,0.008197,0.02227,0.010495,0.035,0.05542,0.030334,0.000954,0.010405,0.000954,0.023333,0,0,0.008889,0.091837,0.018587,0.019512,0.026224,0.008511,false
0.066445,0.037037,0.016393,0.040984,0.097701,0.066902,0.015,0.114941,0.093243,0.012617,0.067052,0.012617,0.066667,0.044025,0,0.08,0.27551,0.100372,0.092683,0.104895,0.042553,false
0.0299,0,0,0,0.043822,0.022544,0.095,0.019582,0.18428,0.000725,0.021965,0.000725,0.03,0.031447,0,0.022222,0.030612,0.042751,0.037195,0.053322,0,false
0.008306,0,0,0,0.007902,0.003624,0.1,0.018695,0.031036,0.000111,0.003468,0.000111,0.008333,0.006289,0,0.017778,0.081633,0.01487,0.007927,0.007867,0,false
0.019934,0.014815,0.016393,0,0.015086,0.00728,0.03,0.066504,0.017532,0.000794,0.006936,0.000794,0.02,0,0,0.004444,0.132653,0.013011,0.014634,0.015734,0.017021,false
0.089701,0.074074,0,0.04918,0.076509,0.049494,0.02,0.101973,0.07775,0.008281,0.049711,0.008281,0.09,0.044025,0,0.075556,0.234694,0.074349,0.07378,0.08042,0.059574,false
0.054817,0.059259,0,0.040984,0.034124,0.018667,0.05,0.036947,0.080942,0.001132,0.018497,0.001132,0.055,0.031447,0,0.057778,0.102041,0.040892,0.033537,0.034965,0.068085,false
0.126246,0.111111,0.016393,0.02459,0.167026,0.115433,0.01,0.164893,0.112129,0.031232,0.115607,0.031232,0.121667,0.138365,0.0625,0.182222,0.255102,0.111524,0.157927,0.18007,0.12766,false
0.018272,0.007407,0,0.008197,0.014009,0.006975,0.075,0.025382,0.043989,0.000291,0.006936,0.000291,0.018333,0.08805,0,0.031111,0.102041,0.022305,0.014634,0.013112,0.008511,false
0.252492,0.148148,0.02459,0.032787,0.154095,0.109881,0.015,0.123033,0.143065,0.022182,0.109827,0.022182,0.25,0.389937,0.041667,0.173333,0.255102,0.135688,0.147561,0.163462,0.170213,true
0.004983,0,0,0,0.002155,0.000757,0.25,0.007389,0.016429,0.000009,0.001156,0.000009,0.005,0,0,0.004444,0.030612,0.005576,0.001829,0.002622,0,false
0.019934,0,0,0,0.020115,0.010328,0.04,0.047403,0.034897,0.000803,0.010405,0.000803,0.02,0,0,0,0.132653,0.022305,0.020732,0.019231,0,false
0.008306,0,0,0,0.003951,0.001466,0.16,0.011527,0.02034,0.000028,0.001156,0.000028,0.008333,0.006289,0,0.008889,0.040816,0.007435,0.003659,0.004371,0,false
0.0299,0.02963,0,0.008197,0.027299,0.013951,0.02,0.085643,0.026089,0.001961,0.013873,0.001961,0.03,0,0,0.004444,0.142857,0.020446,0.02561,0.02972,0.034043,false
0.016611,0,0,0,0.013649,0.006269,0.085,0.02117,0.047465,0.000218,0.00578,0.000218,0.016667,0.056604,0,0.031111,0.061224,0.020446,0.012195,0.015734,0,false
0.009967,0,0,0,0.00467,0.001935,0.165,0.011084,0.027961,0.000035,0.002312,0.000035,0.01,0,0,0,0.05102,0.011152,0.004268,0.005245,0,false
0.013289,0,0,0,0.008621,0.003765,0.09,0.021097,0.028563,0.00013,0.003468,0.00013,0.013333,0.056604,0,0.022222,0.071429,0.013011,0.008537,0.008741,0,false
0.016611,0.022222,0,0,0.012931,0.005947,0.025,0.081652,0.011666,0.000797,0.00578,0.000797,0.016667,0,0,0.022222,0.122449,0.009294,0.011585,0.01486,0.025532,false
1,1,1,1,1,1,0.005,0.388901,0.41193,0.638054,1,0.638054,1,0.251572,0.041667,1,1,1,1,1,1,true
0.031561,0.037037,0.016393,0.008197,0.030891,0.015763,0.02,0.086197,0.029298,0.00223,0.016185,0.00223,0.031667,0,0,0.017778,0.132653,0.022305,0.028049,0.034965,0.042553,false
0.061462,0.037037,0,0.008197,0.034483,0.020882,0.035,0.051467,0.064998,0.001763,0.020809,0.001763,0.061667,0,0,0.017778,0.193878,0.052045,0.034756,0.034091,0.042553,false
0.016611,0.02963,0.032787,0.032787,0.017241,0.008878,0.03,0.059115,0.024067,0.000861,0.009249,0.000861,0.016667,0.012579,0,0.004444,0.153061,0.018587,0.017073,0.017483,0.034043,false
0.011628,0,0,0,0.011494,0.005403,0.08,0.023276,0.037187,0.000206,0.00578,0.000206,0.011667,0,0,0.004444,0.081633,0.018587,0.010976,0.012238,0,false
0.061462,0.096296,0.032787,0,0.062141,0.031526,0.015,0.109732,0.046028,0.005676,0.031214,0.005676,0.06,0.125786,0.020833,0.071111,0.102041,0.027881,0.056098,0.070804,0.110638,false
0.033223,0.044444,0.02459,0.016393,0.045259,0.026564,0.025,0.075815,0.056123,0.003304,0.02659,0.003304,0.033333,0,0,0.004444,0.173469,0.046468,0.042073,0.049825,0.051064,false
0.023256,0,0,0,0.024066,0.013222,0.065,0.027451,0.077181,0.000595,0.012717,0.000595,0.023333,0.119497,0,0.08,0.112245,0.039033,0.025,0.022727,0,false
0.004983,0,0,0,0.003233,0.001222,0.145,0.012931,0.015142,0.000026,0.001156,0.000026,0.005,0,0,0,0.061224,0.003717,0.004268,0.001748,0,false
0.009967,0,0,0,0.003592,0.001344,0.25,0.007389,0.029131,0.000016,0.001156,0.000016,0.01,0,0,0,0.030612,0.009294,0.003049,0.004371,0,true
0.009967,0.007407,0,0.008197,0.009339,0.003963,0.06,0.032033,0.019822,0.000208,0.003468,0.000208,0.01,0,0,0,0.071429,0.011152,0.007927,0.011364,0.008511,false
0.036545,0.014815,0.016393,0.008197,0.038075,0.022782,0.035,0.054644,0.066803,0.002042,0.023121,0.002042,0.036667,0.08805,0,0.053333,0.173469,0.052045,0.036585,0.04021,0.017021,false
0.004983,0.007407,0,0.008197,0.012931,0.006058,0.035,0.051725,0.018769,0.000514,0.00578,0.000514,0.005,0,0,0.004444,0.132653,0.009294,0.015854,0.008741,0.008511,false
0.021595,0.022222,0,0,0.024784,0.01283,0.02,0.085975,0.0239,0.00181,0.012717,0.00181,0.021667,0.006289,0,0.004444,0.153061,0.020446,0.022561,0.027972,0.025532,false
0.008306,0,0,0,0.003592,0.001344,0.25,0.007389,0.029131,0.000016,0.001156,0.000016,0.008333,0,0,0,0.030612,0.009294,0.003049,0.004371,0,true
0.006645,0,0,0,0.005388,0.002282,0.12,0.015074,0.024234,0.000056,0.002312,0.000056,0.006667,0,0,0.004444,0.061224,0.011152,0.004878,0.006119,0,false
