@relation pc2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute c {FALSE,TRUE}

@data
0.020979,0.040541,0.023297,0.009009,0.021053,0.020979,0.130653,0.021127,0.285714,0.017544,0.731183,0.026798,0,0,0.019048,0.076923,0.014163,0.148367,0.005474,0.018116,0.031847,0.02,0.005474,0.018882,0.234694,0.020979,0.021053,0.028269,0.073333,0.029656,0.033389,0.036735,0.215909,0.021935,0.883125,0.022624,FALSE
0,0.013514,0,0,0,0,0.497487,0,0,0,1,0.00141,0,0,0,0.153846,0.011376,0.002811,0.000002,0,0.00147,1,0.000002,0.000287,1,0,0,0.001767,0.333333,0.002372,0.000835,0.008163,0.011364,0,0,0,FALSE
0,0,0.001792,0.009009,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0,0.010825,0.011244,0.000024,0.001812,0.00343,0.25,0.000024,0.001093,1,0,0,0,0.066667,0.002372,0.004174,0.008163,0.045455,0.005161,0.672891,0.003017,FALSE
0,0,0,0,0,0,0.497487,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333333,0,0,0,0,0,0,0,FALSE
0,0.013514,0.005376,0,0,0,0.120603,0,0,0,1,0.00141,0,0,0.009524,0.076923,0.010766,0.018722,0.000066,0.001812,0.0049,0.15,0.000066,0.001813,1,0,0,0.001767,0.056667,0.004745,0.005008,0.012245,0.056818,0.006452,0.756964,0.006033,FALSE
0,0.013514,0.005376,0,0,0,0.095477,0,0,0,1,0.00141,0,0,0.019048,0.153846,0.017943,0.003767,0.000004,0,0.00245,0.75,0.000004,0.000604,1,0,0,0.001767,0.046667,0.004745,0.000835,0.012245,0.011364,0.007742,0.605571,0.007541,FALSE
0.013986,0,0.008961,0,0.014035,0.013986,0.211055,0.014085,0.285714,0,0.27957,0.011283,0,0,0.019048,0.307692,0.011806,0.050599,0.000531,0.005435,0.011759,0.055,0.000531,0.005366,0.316327,0.013986,0.014035,0.010601,0.1,0.00949,0.013356,0.016327,0.102273,0.011613,0.720933,0.010558,FALSE
0,0.013514,0.005376,0,0,0,0.120603,0,0,0,1,0.00141,0,0,0.009524,0.538462,0.026711,0.019677,0.000182,0.005435,0.009799,0.145,0.000182,0.004722,1,0,0,0.001767,0.066667,0.00949,0.010017,0.032653,0.079545,0.005161,0.756964,0.006033,FALSE
0.006993,0.027027,0.010753,0.036036,0.007018,0.006993,0.120603,0.007042,0.285714,0.008772,1,0.008463,0,0,0.019048,0.153846,0.023684,0.034351,0.000491,0.007246,0.013719,0.08,0.000491,0.007312,0.489796,0.006993,0.007018,0.008834,0.046667,0.011862,0.015025,0.036735,0.125,0.016774,0.841038,0.012066,FALSE
0.020979,0.054054,0.016129,0,0.021053,0.020979,0.175879,0.021127,0.285714,0.026316,1,0.029619,0.02439,1,0.019048,0.153846,0.017165,0.082645,0.002058,0.012681,0.022538,0.035,0.002058,0.012744,1,0.020979,0.021053,0.031802,0.096667,0.024911,0.020868,0.040816,0.159091,0.016774,0.825797,0.016591,FALSE
0.006993,0,0.001792,0,0.010526,0.006993,0.497487,0.007042,0.428571,0,0.462366,0.005642,0,0,0.009524,0.153846,0.008373,0.033733,0.000167,0.001812,0.006859,0.085,0.000167,0.002538,0.489796,0.013986,0.010526,0.0053,0.166667,0.004745,0.008347,0.008163,0.068182,0.003871,0.504643,0.003017,FALSE
0,0.013514,0,0,0,0,0.497487,0,0,0,1,0.00141,0,0,0.009524,0.153846,0.023924,0.002811,0.000003,0,0.00245,1,0.000003,0.000604,1,0,0,0.001767,0.11,0.003559,0.001669,0.012245,0.011364,0.002581,0,0.001508,FALSE
0,0.027027,0.001792,0,0,0,0.246231,0,0,0,1,0.002821,0,0,0.009524,0,0.00866,0.014055,0.00003,0.001812,0.00343,0.2,0.00003,0.001093,1,0,0,0.003534,0.11,0.001186,0.005008,0.004082,0.056818,0.002581,0.504643,0.003017,FALSE
0,0,0.001792,0,0.007018,0,0.246231,0.007042,0.285714,0,1,0,0,0,0.009524,0.153846,0.009569,0.016866,0.000048,0.001812,0.00392,0.165,0.000048,0.00145,1,0.006993,0.007018,0,0.083333,0.002372,0.005008,0.008163,0.068182,0.003871,0.504643,0.003017,FALSE
0,0,0,0,0,0,0.497487,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00049,0,0,0,1,0,0,0,0.333333,0,0.000835,0,0.011364,0,0,0,FALSE
0,0,0,0,0,0,0.497487,0,0,0,1,0,0,0,0,0,0.006376,0.008433,0.000008,0,0.00196,0.335,0.000008,0.000483,1,0,0,0,0.333333,0.001186,0.002504,0.004082,0.034091,0,0,0,FALSE
0,0.013514,0.001792,0,0,0,0.246231,0,0,0,1,0.00141,0,0,0.009524,0.153846,0.011376,0.016866,0.000057,0.001812,0.00441,0.165,0.000057,0.001724,1,0,0,0.001767,0.083333,0.003559,0.005008,0.012245,0.068182,0.003871,0.504643,0.003017,FALSE
0.013986,0.040541,0.010753,0,0.014035,0.013986,0.211055,0.014085,0.285714,0.017544,1,0.019746,0,0,0.009524,0.076923,0.016448,0.089953,0.002338,0.012681,0.023518,0.03,0.002338,0.013298,0.316327,0.013986,0.014035,0.021201,0.11,0.01898,0.026711,0.032653,0.181818,0.010323,0.865059,0.010558,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0.076923,0.004163,0.022488,0.000037,0,0.00294,0.125,0.000037,0.000842,1,0,0,0,0.083333,0.002372,0.003339,0.004082,0.045455,0.003871,0.504643,0.003017,FALSE
0,0,0,0,0,0,0.497487,0,0,0,1,0,0,0,0,0,0.006376,0.008433,0.000008,0,0.00196,0.335,0.000008,0.000483,1,0,0,0,0.333333,0.001186,0.002504,0.004082,0.034091,0,0,0,FALSE
0,0.013514,0.001792,0,0,0,0.246231,0,0,0,1,0.00141,0,0,0.009524,0.153846,0.011376,0.016866,0.000057,0.001812,0.00441,0.165,0.000057,0.001724,1,0,0,0.001767,0.066667,0.003559,0.005008,0.012245,0.068182,0.005161,0.504643,0.003017,FALSE
0,0.013514,0.003584,0,0,0,0.120603,0,0,0,1,0.00141,0,0,0.019048,0,0.008613,0.014055,0.00003,0.001812,0.00441,0.2,0.00003,0.001088,1,0,0,0.001767,0.056667,0.005931,0.003339,0.008163,0.022727,0.006452,0.504643,0.006033,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0.076923,0.009258,0.008433,0.000012,0,0.00245,0.335,0.000012,0.000702,1,0,0,0,0.083333,0.002372,0.002504,0.008163,0.034091,0.003871,0.504643,0.003017,FALSE
0,0,0,0,0,0,0.497487,0,0,0,1,0,0,0,0,0.076923,0.006938,0.011244,0.000015,0,0.00245,0.25,0.000015,0.000702,1,0,0,0,0.333333,0.001186,0.003339,0.004082,0.045455,0,0,0,FALSE
0,0.040541,0.003584,0.036036,0,0,0.160804,0,0,0,1,0.004231,0,0,0.009524,0.230769,0.022345,0.018722,0.000138,0.003623,0.008819,0.15,0.000138,0.003763,1,0,0,0.0053,0.036667,0.00949,0.008347,0.02449,0.056818,0.010323,0.865059,0.004525,FALSE
0,0.027027,0.001792,0,0,0,0.246231,0,0,0,1,0.002821,0,0,0.009524,0.153846,0.01457,0.016866,0.000073,0.001812,0.00539,0.165,0.000073,0.002208,1,0,0,0.003534,0.083333,0.004745,0.005843,0.016327,0.068182,0.003871,0.504643,0.003017,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0.076923,0.009258,0.008433,0.000012,0,0.00245,0.335,0.000012,0.000702,1,0,0,0,0.083333,0.002372,0.002504,0.008163,0.034091,0.003871,0.504643,0.003017,FALSE
0,0.013514,0,0,0,0,0.497487,0,0,0,1,0.00141,0,0,0,0.153846,0.011483,0.014055,0.00004,0.001812,0.00392,0.2,0.00004,0.00145,1,0,0,0.001767,0.333333,0.003559,0.004174,0.012245,0.056818,0,0,0,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0.230769,0.009258,0.008433,0.000012,0,0.00245,0.335,0.000012,0.000702,1,0,0,0,0.066667,0.002372,0.002504,0.008163,0.034091,0.005161,0.504643,0.003017,FALSE
0,0.013514,0.001792,0,0,0,0.246231,0,0,0,1,0.00141,0,0,0.009524,0.230769,0.017488,0.014055,0.000061,0.001812,0.00539,0.2,0.000061,0.002208,1,0,0,0.001767,0.066667,0.005931,0.005008,0.020408,0.056818,0.005161,0.504643,0.003017,FALSE
0.020979,0.027027,0.021505,0,0.021053,0.020979,0.130653,0.021127,0.285714,0.017544,0.731183,0.019746,0,0,0.028571,0.153846,0.012536,0.152864,0.005144,0.016304,0.030867,0.02,0.005144,0.01722,0.234694,0.020979,0.021053,0.019435,0.08,0.034401,0.028381,0.032653,0.170455,0.020645,0.807428,0.022624,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0.076923,0.009258,0.008433,0.000012,0,0.00245,0.335,0.000012,0.000702,1,0,0,0,0.083333,0.002372,0.002504,0.008163,0.034091,0.003871,0.504643,0.003017,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0,0.006376,0.008433,0.000008,0,0.00196,0.335,0.000008,0.000483,1,0,0,0,0.083333,0.001186,0.002504,0.004082,0.034091,0.003871,0.504643,0.003017,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0.076923,0.006376,0.008433,0.000008,0,0.00196,0.335,0.000008,0.000483,1,0,0,0,0.083333,0.001186,0.002504,0.004082,0.034091,0.003871,0.504643,0.003017,FALSE
0.041958,0.094595,0.043011,0,0.042105,0.041958,0.115578,0.042254,0.285714,0.035088,0.688172,0.053597,0,0,0.047619,0.076923,0.029462,0.10755,0.005985,0.028986,0.047526,0.025,0.005985,0.028473,0.122449,0.041958,0.042105,0.056537,0.076667,0.048636,0.046745,0.061224,0.159091,0.03871,0.835285,0.043741,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0,0.006938,0.011244,0.000015,0,0.00245,0.25,0.000015,0.000702,1,0,0,0,0.083333,0.001186,0.003339,0.004082,0.045455,0.003871,0.504643,0.003017,FALSE
0.020979,0.040541,0.032258,0.36036,0.007018,0.027972,0.115578,0.007042,0.285714,0.035088,1,0.019746,0,0,0.028571,0,0.028936,0.069601,0.002463,0.018116,0.030867,0.04,0.002463,0.018101,0.183673,0.006993,0.007018,0.017668,0.026667,0.027284,0.033389,0.053061,0.159091,0.08,0.959629,0.031674,FALSE
0,0.013514,0,0,0,0,0.497487,0,0,0,1,0.00141,0,0,0,0.153846,0.011376,0.002811,0.000002,0,0.00147,1,0.000002,0.000287,1,0,0,0.001767,0.333333,0.002372,0.000835,0.008163,0.011364,0,0,0,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0.076923,0.006376,0.008433,0.000008,0,0.00196,0.335,0.000008,0.000483,1,0,0,0,0.083333,0.001186,0.002504,0.004082,0.034091,0.003871,0.504643,0.003017,FALSE
0.006993,0.027027,0.003584,0,0.007018,0.006993,0.331658,0.007042,0.285714,0.008772,1,0.007052,0,0,0.009524,0.230769,0.013146,0.035981,0.000299,0.003623,0.009309,0.08,0.000299,0.004248,0.489796,0.006993,0.007018,0.007067,0.11,0.00949,0.009182,0.020408,0.090909,0.006452,0.672891,0.004525,FALSE
0.066434,0.108108,0.078853,0.81982,0.042105,0.076923,0.115578,0.042254,0.285714,0.070175,0.731183,0.060649,0,0,0.057143,0,0.042225,0.133581,0.01323,0.050725,0.073983,0.02,0.01323,0.050681,0.061224,0.041958,0.042105,0.056537,0.026667,0.064057,0.080968,0.102041,0.25,0.183226,0.96629,0.075415,FALSE
0.020979,0.054054,0.010753,0,0.021053,0.020979,0.281407,0.021127,0.285714,0.026316,1,0.029619,0,0,0.009524,0.076923,0.014809,0.112442,0.003287,0.014493,0.026458,0.025,0.003287,0.014961,0.234694,0.020979,0.021053,0.031802,0.146667,0.02847,0.025042,0.036735,0.170455,0.010323,0.865059,0.010558,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0.076923,0.006376,0.008433,0.000008,0,0.00196,0.335,0.000008,0.000483,1,0,0,0,0.083333,0.001186,0.002504,0.004082,0.034091,0.003871,0.504643,0.003017,FALSE
0,0.013514,0,0,0,0,0.497487,0,0,0,1,0.00141,0,0,0.009524,0.153846,0.007943,0.033733,0.000159,0.001812,0.005879,0.085,0.000159,0.002409,1,0,0,0.001767,0.166667,0.003559,0.007513,0.008163,0.090909,0.00129,0,0.001508,FALSE
0,0.027027,0.001792,0,0,0,0.246231,0,0,0,1,0.002821,0,0,0.009524,0.153846,0.015168,0.014055,0.000053,0.001812,0.0049,0.2,0.000053,0.001915,1,0,0,0.003534,0.066667,0.004745,0.005008,0.016327,0.056818,0.005161,0.504643,0.003017,FALSE
0,0,0,0,0,0,0.497487,0,0,0,1,0,0,0,0.009524,0,0,0,0,0,0.00049,0,0,0,1,0,0,0,0.11,0,0.000835,0,0.011364,0.002581,0,0.001508,FALSE
0,0.013514,0,0,0,0,0.497487,0,0,0,1,0.00141,0,0,0,0.153846,0.011483,0.014055,0.00004,0.001812,0.00392,0.2,0.00004,0.00145,1,0,0,0.001767,0.333333,0.003559,0.004174,0.012245,0.056818,0,0,0,FALSE
0.020979,0,0.008961,0,0.021053,0.020979,0.331658,0.021127,0.285714,0,0.193548,0.015515,0,0,0.009524,0.153846,0.006101,0.113397,0.001376,0.005435,0.013229,0.025,0.001376,0.006212,0.234694,0.020979,0.021053,0.014134,0.166667,0.013049,0.013356,0.012245,0.125,0.009032,0.841038,0.00905,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0.076923,0.007416,0.014055,0.000026,0.001812,0.00294,0.2,0.000026,0.000937,1,0,0,0,0.083333,0.001186,0.004174,0.004082,0.056818,0.003871,0.504643,0.003017,FALSE
0.013986,0.067568,0.014337,0.009009,0.014035,0.013986,0.130653,0.014085,0.285714,0.017544,1,0.019746,0,0,0.028571,0.230769,0.017249,0.096587,0.002826,0.014493,0.024988,0.03,0.002826,0.014971,0.316327,0.013986,0.014035,0.021201,0.066667,0.024911,0.025042,0.044898,0.204545,0.018065,0.756964,0.016591,FALSE
0,0,0.001792,0,0,0,0.246231,0,0,0,1,0,0,0,0.009524,0.076923,0.006376,0.008433,0.000008,0,0.00196,0.335,0.000008,0.000483,1,0,0,0,0.083333,0.001186,0.002504,0.004082,0.034091,0.003871,0.504643,0.003017,FALSE
0,0.013514,0.001792,0,0,0,0.246231,0,0,0,1,0.00141,0,0,0.009524,0.153846,0.011483,0.014055,0.00004,0.001812,0.00392,0.2,0.00004,0.00145,1,0,0,0.001767,0.056667,0.003559,0.004174,0.012245,0.056818,0.006452,0.504643,0.003017,FALSE
0,0.013514,0,0,0,0,0.497487,0,0,0,1,0.00141,0,0,0,0.153846,0.011376,0.002811,0.000002,0,0.00147,1,0.000002,0.000287,1,0,0,0.001767,0.333333,0.002372,0.000835,0.008163,0.011364,0,0,0,FALSE
