@relation KC1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute loc numeric
@attribute v(g) numeric
@attribute ev(g) numeric
@attribute iv(g) numeric
@attribute n numeric
@attribute v numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute e numeric
@attribute b numeric
@attribute t numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute uniq_Op numeric
@attribute uniq_Opnd numeric
@attribute total_Op numeric
@attribute total_Opnd numeric
@attribute branchCount numeric
@attribute defects {false,true}

@data
0.135889,0.090909,0,0.090909,0.11302,0.085119,0.025,0.36986,0.175645,0.041245,0.083333,0.041245,0.10687,0,0.172414,0,0.486486,0.2,0.106195,0.123832,0.090909,true
0.114983,0.068182,0,0.068182,0.062387,0.037658,0.03,0.295628,0.097224,0.014588,0.037879,0.014588,0.072519,0,0.224138,0,0.297297,0.075,0.063422,0.060748,0.068182,true
0.006969,0,0,0,0.000904,0,0,0,0,0,0,0,0.003817,0,0,0,0.027027,0,0.001475,0,0,false
0.254355,0.181818,0.24,0.113636,0.160036,0.130935,0.025,0.349023,0.286336,0.059876,0.132576,0.059875,0.221374,0.113636,0.103448,0,0.513514,0.325,0.147493,0.179907,0.181818,false
0.132404,0.045455,0,0.045455,0.064195,0.043102,0.035,0.24986,0.131617,0.014117,0.041667,0.014117,0.099237,0.090909,0.086207,0,0.351351,0.125,0.058997,0.07243,0.045455,false
0.163763,0.113636,0,0.113636,0.13472,0.094914,0.03,0.28707,0.252357,0.035703,0.094697,0.035703,0.156489,0.045455,0.034483,0,0.324324,0.175,0.140118,0.126168,0.113636,true
0.003484,0,0,0,0.003617,0.00101,0.335,0.027907,0.027608,0.000037,0,0.000037,0,0,0,0,0.081081,0.008333,0.004425,0.002336,0,false
0,0,0,0,0.003617,0.00101,0.335,0.027907,0.027608,0.000037,0,0.000037,0,0,0,0,0.081081,0.008333,0.004425,0.002336,0,false
0.055749,0.022727,0,0.022727,0.03255,0.018185,0.06,0.154977,0.089506,0.003695,0.018939,0.003695,0.053435,0,0.017241,0,0.27027,0.05,0.038348,0.023364,0.022727,false
0.003484,0,0,0,0.009042,0.004003,0.2,0.046512,0.065679,0.000244,0.003788,0.000244,0,0,0,0,0.135135,0.033333,0.00885,0.009346,0,false
0,0,0,0,0.001808,0,0,0,0,0,0,0,0,0,0,0,0,0.008333,0,0.004673,0,false
0.087108,0.068182,0.08,0.045455,0.056962,0.037829,0.05,0.181395,0.159122,0.008992,0.037879,0.008992,0.076336,0.022727,0,0,0.351351,0.116667,0.061947,0.049065,0.068182,false
0.045296,0,0,0,0.026221,0.014969,0.09,0.104744,0.109137,0.002053,0.015152,0.002053,0.026718,0.045455,0.034483,0,0.243243,0.066667,0.028024,0.023364,0,true
0.313589,0.363636,0.36,0.363636,0.184448,0.138913,0.025,0.360558,0.29395,0.065651,0.140152,0.065651,0.301527,0.045455,0.12069,0.083333,0.432432,0.216667,0.207965,0.147196,0.363636,false
0.003484,0,0,0,0.004521,0.001466,0.335,0.027907,0.040091,0.000054,0,0.000054,0,0,0,0,0.081081,0.016667,0.004425,0.004673,0,false
0.041812,0.022727,0,0.022727,0.028933,0.016518,0.08,0.115721,0.108878,0.002506,0.015152,0.002505,0.026718,0,0,0,0.216216,0.075,0.026549,0.03271,0.022727,false
0.003484,0,0,0,0.002712,0.0006,0.5,0.018605,0.024604,0.000015,0,0.000014,0,0,0,0,0.054054,0.008333,0.00295,0.002336,0,false
0.163763,0.136364,0.2,0.113636,0.107595,0.078284,0.035,0.277395,0.215322,0.028463,0.079545,0.028463,0.148855,0.022727,0.051724,0,0.378378,0.191667,0.103245,0.114486,0.136364,false
0.045296,0.045455,0.08,0.045455,0.036166,0.021458,0.055,0.166326,0.098467,0.004676,0.022727,0.004676,0.038168,0,0.017241,0,0.297297,0.066667,0.039823,0.030374,0.045455,true
0,0,0,0,0.003617,0.00101,0.335,0.027907,0.027608,0.000037,0,0.000037,0,0,0,0,0.081081,0.008333,0.004425,0.002336,0,false
0.006969,0,0,0,0.000904,0,0,0,0,0,0,0,0.003817,0,0,0,0.027027,0,0.001475,0,0,false
0.149826,0.090909,0.12,0.090909,0.079566,0.053423,0.04,0.23386,0.17435,0.016368,0.05303,0.016368,0.129771,0.045455,0.103448,0,0.351351,0.125,0.087021,0.067757,0.090909,false
0.003484,0,0,0,0.003617,0.00101,0.335,0.027907,0.027608,0.000037,0,0.000037,0,0,0,0,0.081081,0.008333,0.004425,0.002336,0,false
0.034843,0,0,0,0.011754,0.005679,0.17,0.054326,0.079872,0.000404,0.003788,0.000404,0.022901,0,0,0,0.135135,0.05,0.00885,0.016355,0,false
0.006969,0,0,0,0.004521,0.001263,0.335,0.027907,0.034549,0.000046,0,0.000046,0.007634,0,0,0,0.054054,0.016667,0.00295,0.007009,0,false
0.003484,0,0,0,0.009042,0.004003,0.2,0.046512,0.065679,0.000244,0.003788,0.000244,0,0,0,0,0.135135,0.033333,0.00885,0.009346,0,false
0.020906,0,0,0,0.018083,0.009868,0.125,0.074419,0.10116,0.000962,0.011364,0.000962,0.019084,0,0,0,0.216216,0.058333,0.019174,0.016355,0,true
0.038328,0.022727,0,0.022727,0.028933,0.016518,0.08,0.115721,0.108878,0.002506,0.015152,0.002505,0.022901,0,0,0,0.216216,0.075,0.026549,0.03271,0.022727,false
0.045296,0,0,0,0.023508,0.01342,0.1,0.090977,0.112607,0.0016,0.015152,0.001599,0.030534,0,0,0,0.216216,0.075,0.022124,0.025701,0,false
0.003484,0,0,0,0.004521,0.001466,0.335,0.027907,0.040091,0.000054,0,0.000054,0,0,0,0,0.081081,0.016667,0.004425,0.004673,0,false
0.003484,0,0,0,0.003617,0.00101,0.335,0.027907,0.027608,0.000037,0,0.000037,0,0,0,0,0.081081,0.008333,0.004425,0.002336,0,false
0.038328,0,0,0,0.024412,0.013936,0.155,0.060837,0.174661,0.001112,0.015152,0.001112,0.022901,0,0.034483,0,0.162162,0.091667,0.022124,0.028037,0,false
0.017422,0,0,0,0.005425,0.001959,0.25,0.037209,0.040143,0.000096,0.003788,0.000095,0.007634,0.045455,0,0,0.108108,0.016667,0.0059,0.004673,0,false
0.02439,0,0,0,0.008137,0.003191,0.335,0.027907,0.087227,0.000117,0.003788,0.000117,0.01145,0,0,0,0.081081,0.033333,0.007375,0.009346,0,false
0.038328,0.068182,0,0.022727,0.039783,0.025135,0.05,0.182698,0.104993,0.006016,0.026515,0.006017,0.038168,0,0,0,0.324324,0.091667,0.038348,0.042056,0.068182,true
0.003484,0,0,0,0.007233,0.003031,0.2,0.046512,0.049725,0.000185,0.003788,0.000185,0,0,0,0,0.135135,0.025,0.007375,0.007009,0,false
0.003484,0,0,0,0.003617,0.00101,0.335,0.027907,0.027608,0.000037,0,0.000037,0,0,0,0,0.081081,0.008333,0.004425,0.002336,0,false
0.080139,0.068182,0,0.045455,0.049729,0.033024,0.03,0.324651,0.077592,0.014054,0.034091,0.014053,0.072519,0,0.051724,0,0.432432,0.091667,0.045723,0.056075,0.068182,true
0.149826,0.068182,0,0.068182,0.093128,0.067759,0.05,0.18307,0.282451,0.016256,0.068182,0.016256,0.145038,0,0.017241,0,0.324324,0.208333,0.091445,0.095794,0.068182,false
0.167247,0.090909,0.08,0.068182,0.090416,0.065286,0.035,0.272372,0.182897,0.023307,0.064394,0.023307,0.122137,0.022727,0.12069,0,0.405405,0.175,0.087021,0.095794,0.090909,false
0.013937,0.045455,0.08,0,0.0217,0.012638,0.05,0.193488,0.049829,0.003204,0.011364,0.003204,0.01145,0,0,0,0.351351,0.041667,0.023599,0.018692,0.045455,false
0.041812,0.045455,0.08,0.022727,0.018987,0.009813,0.105,0.089302,0.08386,0.001148,0.011364,0.001148,0.038168,0,0.017241,0,0.216216,0.041667,0.022124,0.014019,0.045455,false
0.055749,0,0,0,0.045208,0.027734,0.1,0.093023,0.227494,0.003381,0.026515,0.003381,0.034351,0,0.017241,0,0.189189,0.116667,0.044248,0.046729,0,true
0.02439,0,0,0,0.018083,0.009616,0.105,0.086884,0.084533,0.001094,0.011364,0.001094,0.022901,0,0,0,0.216216,0.05,0.019174,0.016355,0,true
0.135889,0.068182,0,0.045455,0.099458,0.068818,0.035,0.282233,0.186108,0.025447,0.068182,0.025447,0.118321,0.022727,0.034483,0,0.351351,0.15,0.100295,0.098131,0.068182,true
0.073171,0.022727,0,0.022727,0.050633,0.03199,0.07,0.131535,0.185538,0.005515,0.030303,0.005515,0.061069,0.022727,0.034483,0,0.243243,0.116667,0.050147,0.051402,0.022727,false
0,0,0,0,0.003617,0.00101,0.335,0.027907,0.027608,0.000037,0,0.000037,0,0,0,0,0.081081,0.008333,0.004425,0.002336,0,false
0.013937,0,0,0,0.006329,0.002481,0.2,0.046512,0.040713,0.000151,0.003788,0.000151,0,0,0,0,0.135135,0.016667,0.007375,0.004673,0,false
0.027875,0.022727,0,0.022727,0.037975,0.023296,0.065,0.143814,0.12364,0.004389,0.022727,0.004389,0.022901,0,0.017241,0,0.27027,0.091667,0.036873,0.03972,0.022727,true
0.219512,0.25,0.16,0.25,0.154611,0.112494,0.025,0.355163,0.241687,0.052359,0.113636,0.05236,0.20229,0.090909,0.086207,0,0.405405,0.183333,0.169617,0.130841,0.25,false
0.055749,0,0,0,0.040687,0.02456,0.09,0.102326,0.183155,0.003293,0.022727,0.003293,0.049618,0,0.034483,0,0.27027,0.083333,0.050147,0.025701,0,false
0.003484,0,0,0,0.004521,0.001466,0.335,0.027907,0.040091,0.000054,0,0.000054,0,0,0,0,0.081081,0.016667,0.004425,0.004673,0,false
0.041812,0,0,0,0.011754,0.005885,0.145,0.065116,0.068994,0.000502,0.007576,0.000502,0.030534,0,0.017241,0,0.189189,0.041667,0.011799,0.011682,0,false
0.003484,0,0,0,0.01085,0.005034,0.2,0.046512,0.082617,0.000307,0.003788,0.000307,0,0,0,0,0.135135,0.041667,0.010324,0.011682,0,false
0.094077,0.068182,0,0,0.05425,0.035186,0.04,0.231814,0.115819,0.01069,0.034091,0.01069,0.083969,0,0.017241,0,0.324324,0.108333,0.048673,0.063084,0.068182,false
0.010453,0,0,0,0.003617,0.00101,0.335,0.027907,0.027608,0.000037,0,0.000037,0.007634,0,0,0,0.081081,0.008333,0.004425,0.002336,0,false
0.003484,0,0,0,0.003617,0.00101,0.335,0.027907,0.027608,0.000037,0,0.000037,0,0,0,0,0.081081,0.008333,0.004425,0.002336,0,false
0.038328,0.045455,0,0.045455,0.034358,0.020011,0.045,0.204651,0.07464,0.005366,0.018939,0.005366,0.034351,0,0,0.083333,0.297297,0.058333,0.035398,0.03271,0.045455,false
0.536585,0.522727,0.72,0.386364,0.367993,0.32014,0.015,0.586047,0.416865,0.245861,0.32197,0.245861,0.51145,0.045455,0.293103,0,0.567568,0.45,0.361357,0.378505,0.522727,false
0.041812,0.022727,0,0.022727,0.028933,0.015788,0.09,0.10586,0.113851,0.002189,0.015152,0.002189,0.034351,0.022727,0.034483,0,0.189189,0.066667,0.028024,0.030374,0.022727,false
0.059233,0.068182,0.12,0.045455,0.030741,0.017904,0.06,0.160744,0.084948,0.003773,0.018939,0.003773,0.045802,0,0.051724,0,0.297297,0.058333,0.033923,0.025701,0.068182,false
0.027875,0,0,0,0.012658,0.005873,0.135,0.069767,0.064229,0.000537,0.007576,0.000537,0.019084,0,0,0.083333,0.162162,0.033333,0.013274,0.011682,0,false
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0.020906,0.045455,0,0.045455,0.019892,0.00996,0.09,0.104186,0.072931,0.00136,0.011364,0.00136,0.015267,0,0.017241,0,0.189189,0.041667,0.020649,0.018692,0.045455,false
0.135889,0.045455,0,0.045455,0.079566,0.057001,0.05,0.186977,0.232726,0.01396,0.056818,0.01396,0.110687,0.045455,0.051724,0.083333,0.351351,0.183333,0.079646,0.079439,0.045455,true
0.04878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0.052265,0,0,0,0.036166,0.022186,0.085,0.111628,0.151663,0.003246,0.022727,0.003245,0.034351,0.022727,0.034483,0,0.243243,0.1,0.035398,0.037383,0,false
0.094077,0.090909,0,0.068182,0.084087,0.06292,0.035,0.276651,0.173573,0.02281,0.064394,0.02281,0.091603,0,0.034483,0,0.486486,0.191667,0.081121,0.088785,0.090909,false
0.020906,0.022727,0,0.022727,0.01085,0.005034,0.165,0.055814,0.068839,0.000368,0.003788,0.000368,0.019084,0,0,0,0.162162,0.033333,0.011799,0.009346,0.022727,false
0.006969,0,0,0,0.000904,0,0,0,0,0,0,0,0.003817,0,0,0,0.027027,0,0.001475,0,0,false
0.062718,0.090909,0.16,0.068182,0.075949,0.053509,0.035,0.263628,0.154926,0.018481,0.05303,0.018481,0.053435,0,0.051724,0,0.405405,0.15,0.073746,0.079439,0.090909,true
0.027875,0,0,0,0.024412,0.012982,0.085,0.111628,0.088729,0.001899,0.011364,0.001899,0.022901,0,0,0,0.216216,0.05,0.026549,0.021028,0,false
0.090592,0.022727,0,0.022727,0.045208,0.027289,0.065,0.144558,0.143997,0.005171,0.026515,0.005171,0.061069,0.113636,0.068966,0,0.243243,0.091667,0.045723,0.044393,0.022727,false
0.414634,0.409091,0.2,0.227273,0.287523,0.252406,0.02,0.41693,0.461929,0.137929,0.253788,0.137928,0.324427,0.454545,0.172414,0.25,0.540541,0.483333,0.277286,0.303738,0.409091,false
0.114983,0.090909,0.12,0.068182,0.059675,0.04049,0.045,0.199628,0.154719,0.010595,0.041667,0.010595,0.114504,0,0.034483,0,0.378378,0.125,0.063422,0.053738,0.090909,false
0.02439,0.022727,0,0.022727,0.012658,0.006116,0.115,0.081488,0.05734,0.000652,0.007576,0.000652,0.022901,0,0,0,0.189189,0.033333,0.013274,0.011682,0.022727,false
0.083624,0.068182,0,0.068182,0.06962,0.045705,0.045,0.218233,0.159795,0.013075,0.045455,0.013075,0.076336,0,0,0,0.297297,0.125,0.066372,0.074766,0.068182,false
0.027875,0.022727,0,0.022727,0.014467,0.007477,0.105,0.089302,0.063866,0.000875,0.007576,0.000875,0.026718,0,0,0,0.216216,0.041667,0.014749,0.014019,0.022727,false
0.184669,0.181818,0,0.181818,0.086799,0.060615,0.04,0.224372,0.206257,0.017816,0.060606,0.017816,0.145038,0.181818,0.086207,0.083333,0.378378,0.15,0.09587,0.07243,0.181818,false
0.181185,0.090909,0.16,0.045455,0.126582,0.095332,0.03,0.294512,0.24697,0.036801,0.094697,0.0368,0.152672,0.090909,0.12069,0,0.405405,0.225,0.122419,0.133178,0.090909,false
0.010453,0,0,0,0.005425,0.001959,0.25,0.037209,0.040143,0.000096,0.003788,0.000095,0.007634,0,0,0,0.108108,0.016667,0.0059,0.004673,0,false
0,0,0,0,0.005425,0.001959,0,0,0,0,0.003788,0,0,0,0,0,0.162162,0,0.00885,0,0,false
0.003484,0,0,0,0.003617,0.00101,0.335,0.027907,0.027608,0.000037,0,0.000037,0,0,0,0,0.081081,0.008333,0.004425,0.002336,0,false
0.055749,0.022727,0,0.022727,0.022604,0.011682,0.08,0.11907,0.074847,0.001823,0.011364,0.001823,0.045802,0,0.051724,0,0.216216,0.041667,0.025074,0.018692,0.022727,false
0.522648,0.386364,0.12,0.340909,0.396926,0.352448,0.015,0.717023,0.375168,0.331129,0.352273,0.331129,0.458015,0.068182,0.413793,0.166667,0.702703,0.466667,0.402655,0.38785,0.375,true
0.062718,0.045455,0,0.045455,0.028029,0.014905,0.065,0.148837,0.076401,0.002907,0.015152,0.002907,0.061069,0,0.017241,0,0.216216,0.05,0.028024,0.028037,0.045455,true
0.052265,0,0,0,0.038879,0.022195,0.08,0.116651,0.145136,0.003394,0.022727,0.003394,0.053435,0,0.017241,0,0.162162,0.091667,0.029499,0.053738,0,true
0.020906,0,0,0,0.004521,0.001466,0.335,0.027907,0.040091,0.000054,0,0.000054,0,0,0,0,0.081081,0.016667,0.004425,0.004673,0,false
0.055749,0,0,0,0.036166,0.022186,0.085,0.111628,0.151663,0.003246,0.022727,0.003245,0.034351,0.022727,0.051724,0,0.243243,0.1,0.035398,0.037383,0,false
0.12892,0.068182,0.08,0.068182,0.072333,0.048567,0.035,0.269767,0.137367,0.017169,0.049242,0.017169,0.110687,0.022727,0.103448,0,0.378378,0.116667,0.075221,0.067757,0.068182,false
