@relation vehicle-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute COMPACTNESS numeric
@attribute CIRCULARITY numeric
@attribute 'DISTANCE CIRCULARITY' numeric
@attribute 'RADIUS RATIO' numeric
@attribute 'PR.AXIS ASPECT RATIO' numeric
@attribute 'MAX.LENGTH ASPECT RATIO' numeric
@attribute 'SCATTER RATIO' numeric
@attribute ELONGATEDNESS numeric
@attribute 'PR.AXIS RECTANGULARITY' numeric
@attribute 'MAX.LENGTH RECTANGULARITY' numeric
@attribute 'SCALED VARIANCE_MAJOR' numeric
@attribute 'SCALED VARIANCE_MINOR' numeric
@attribute 'SCALED RADIUS OF GYRATION' numeric
@attribute 'SKEWNESS ABOUT_MAJOR' numeric
@attribute 'SKEWNESS ABOUT_MINOR' numeric
@attribute 'KURTOSIS ABOUT_MAJOR' numeric
@attribute 'KURTOSIS ABOUT_MINOR' numeric
@attribute 'HOLLOWS RATIO' numeric
@attribute Class {opel,saab,bus,van}

@data
0.782609,0.576923,0.930556,0.484716,0.164835,0.150943,0.607843,0.171429,0.5,0.571429,0.484211,0.527578,0.371069,0.078947,0.409091,0.780488,0.633333,0.833333,opel
0.26087,0.269231,0.361111,0.074236,0.054945,0.037736,0.261438,0.514286,0.166667,0.214286,0.210526,0.18705,0.339623,0.368421,0.590909,0.073171,0.133333,0.066667,opel
0.543478,0.192308,0.444444,0.384279,0.241758,0.056604,0.352941,0.342857,0.25,0.185714,0.310526,0.291367,0.18239,0.144737,0.045455,0.073171,0.8,0.7,bus
0.217391,0.346154,0.430556,0.209607,0.186813,0.09434,0.24183,0.542857,0.166667,0.342857,0.221053,0.176259,0.308176,0.197368,0.090909,0.04878,0.266667,0.3,bus
0.434783,0.346154,0.333333,0.235808,0.230769,0.132075,0.143791,0.657143,0.083333,0.342857,0.173684,0.100719,0.383648,0.157895,0.318182,0.317073,0.533333,0.666667,van
0.478261,0.576923,0.888889,0.480349,0.21978,0.132075,0.607843,0.171429,0.5,0.471429,0.510526,0.532374,0.584906,0.197368,0.227273,0.219512,0.333333,0.4,opel
0.326087,0.346154,0.361111,0.126638,0.10989,0.075472,0.071895,0.8,0,0.371429,0.089474,0.051559,0.320755,0.092105,0.363636,0.097561,0.566667,0.566667,van
0.5,0.384615,0.583333,0.248908,0.087912,0.056604,0.48366,0.228571,0.416667,0.328571,0.447368,0.419664,0.333333,0.210526,0,0.146341,0.633333,0.5,bus
0.5,0.461538,0.555556,0.253275,0.175824,0.132075,0.222222,0.571429,0.166667,0.428571,0.163158,0.158273,0.327044,0.065789,0.227273,0.243902,0.766667,0.866667,van
0.347826,0.192308,0.583333,0.227074,0.131868,0.113208,0.267974,0.485714,0.166667,0.157143,0.257895,0.20024,0.176101,0.144737,0.045455,0.02439,0.366667,0.366667,saab
0.608696,0.846154,0.930556,0.419214,0.153846,0.169811,0.738562,0.114286,0.666667,0.857143,0.515789,0.654676,0.597484,0.197368,0.363636,0.853659,0.366667,0.666667,opel
0.434783,0.346154,0.666667,0.366812,0.164835,0.150943,0.464052,0.285714,0.333333,0.328571,0.410526,0.383693,0.371069,0.144737,0.136364,0.292683,0.433333,0.533333,opel
0.521739,0.538462,0.666667,0.344978,0.142857,0.09434,0.555556,0.2,0.5,0.428571,0.442105,0.494005,0.578616,0.197368,0.363636,0,0.533333,0.333333,bus
0.586957,0.653846,0.805556,0.436681,0.175824,0.075472,0.69281,0.114286,0.583333,0.542857,0.536842,0.641487,0.654088,0.236842,0.363636,0.170732,0.433333,0.266667,bus
0.347826,0.269231,0.5,0.366812,0.318681,0.09434,0.248366,0.514286,0.166667,0.257143,0.231579,0.189448,0.245283,0.171053,0.136364,0.195122,0.566667,0.533333,bus
0.5,0.538462,0.513889,0.436681,0.274725,0.075472,0.359477,0.342857,0.25,0.457143,0.305263,0.293765,0.459119,0.131579,0.272727,0.390244,0.766667,0.733333,bus
0.26087,0.423077,0.416667,0.441048,0.615385,0.943396,0.24183,0.542857,0.166667,0.371429,0.584211,0.169065,0.496855,0.894737,0.409091,0.268293,0.133333,0.066667,bus
0.434783,0.461538,0.597222,0.165939,0.098901,0.150943,0.294118,0.485714,0.25,0.528571,0.263158,0.215827,0.496855,0.210526,0.045455,0.512195,0.266667,0.533333,van
0.391304,0.307692,0.361111,0.117904,0.098901,0.132075,0.091503,0.771429,0.083333,0.371429,0.152632,0.063549,0.289308,0.171053,0.136364,0.243902,0.5,0.433333,van
0.630435,0.769231,0.847222,0.585153,0.274725,0.037736,0.823529,0.057143,0.75,0.642857,0.721053,0.791367,0.836478,0.342105,0.318182,0.536585,0.266667,0.1,bus
0.456522,0.153846,0.458333,0.358079,0.263736,0.09434,0.27451,0.457143,0.166667,0.128571,0.215789,0.213429,0.144654,0.105263,0.090909,0.195122,0.7,0.833333,bus
0.347826,0.269231,0.444444,0.222707,0.175824,0.09434,0.222222,0.542857,0.166667,0.242857,0.236842,0.164269,0.226415,0.171053,0.181818,0.243902,0.533333,0.5,bus
0.608696,0.807692,0.916667,0.366812,0.10989,0.09434,0.810458,0.057143,0.75,0.657143,0.663158,0.778177,0.90566,0.289474,0.272727,0.341463,0.3,0.133333,bus
0.76087,0.692308,0.875,0.406114,0.142857,0.169811,0.647059,0.142857,0.583333,0.6,0.484211,0.571942,0.490566,0.105263,0.318182,0.073171,0.466667,0.633333,opel
0.543478,0.807692,0.888889,0.358079,0.131868,0.150943,0.660131,0.171429,0.583333,0.771429,0.489474,0.576739,0.679245,0.184211,0.045455,0.634146,0.333333,0.466667,opel
0.195652,0.115385,0.152778,0.043668,0.065934,0.037736,0.150327,0.685714,0.083333,0.114286,0.105263,0.100719,0.220126,0.355263,0.681818,0.097561,0.166667,0.033333,saab
0.326087,0.576923,0.694444,0.323144,0.142857,0.113208,0.411765,0.342857,0.333333,0.485714,0.368421,0.330935,0.559748,0.118421,0.590909,0.390244,0.533333,0.6,saab
0.130435,0.384615,0.444444,0.161572,0.164835,0.113208,0.267974,0.514286,0.166667,0.371429,0.236842,0.191847,0.408805,0.25,0,0.195122,0.2,0.233333,bus
0.782609,0.615385,0.875,0.358079,0.10989,0.169811,0.614379,0.171429,0.5,0.542857,0.431579,0.534772,0.484277,0.078947,0.545455,0.512195,0.533333,0.666667,opel
0.326087,0.269231,0.527778,0.358079,0.285714,0.075472,0.300654,0.428571,0.25,0.228571,0.289474,0.233813,0.245283,0.184211,0.045455,0.268293,0.566667,0.533333,bus
0.413043,0.153846,0.638889,0.275109,0.142857,0.09434,0.300654,0.457143,0.25,0.185714,0.268421,0.226619,0.220126,0.118421,0.409091,0.512195,0.466667,0.5,saab
0.652174,0.884615,0.902778,0.344978,0.131868,0.150943,0.640523,0.171429,0.583333,0.785714,0.457895,0.556355,0.685535,0.171053,0.590909,0.536585,0.4,0.5,opel
0.434783,0.384615,0.5,0.196507,0.10989,0.09434,0.24183,0.514286,0.166667,0.357143,0.221053,0.181055,0.421384,0.131579,0.636364,0,0.433333,0.433333,saab
0.521739,0.576923,0.902778,0.471616,0.186813,0.169811,0.581699,0.2,0.5,0.528571,0.431579,0.501199,0.333333,0.065789,0.090909,0.170732,0.566667,0.7,opel
0.282609,0.153846,0.277778,0.048035,0.076923,0.056604,0.045752,0.857143,0,0.2,0.057895,0.029976,0.125786,0.171053,0.090909,0.195122,0.333333,0.3,van
0.521739,0.307692,0.722222,0.406114,0.175824,0.150943,0.437908,0.314286,0.333333,0.314286,0.352632,0.356115,0.169811,0.052632,0.181818,0.073171,0.7,0.766667,opel
0.782609,0.807692,0.958333,0.528384,0.230769,0.169811,0.666667,0.142857,0.583333,0.728571,0.505263,0.588729,0.647799,0.118421,0.5,0.780488,0.433333,0.7,saab
0.586957,0.5,0.569444,0.362445,0.153846,0.132075,0.352941,0.4,0.25,0.514286,0.310526,0.276978,0.415094,0.052632,0.590909,0.219512,0.733333,0.866667,saab
0.347826,0.538462,0.625,0.187773,0.120879,0.150943,0.267974,0.514286,0.166667,0.471429,0.236842,0.197842,0.484277,0.197368,0.590909,0.170732,0.333333,0.533333,van
0.586957,0.692308,0.888889,0.257642,0.054945,0.150943,0.614379,0.171429,0.5,0.657143,0.457895,0.535971,0.528302,0.131579,0.227273,0.512195,0.4,0.5,opel
0.456522,0.461538,0.569444,0.270742,0.21978,0.132075,0.215686,0.571429,0.166667,0.414286,0.178947,0.154676,0.440252,0.092105,0.5,0.341463,0.6,0.7,van
0.347826,0.192308,0.555556,0.283843,0.131868,0.09434,0.320261,0.428571,0.25,0.185714,0.294737,0.245803,0.176101,0.118421,0.227273,0.365854,0.533333,0.533333,saab
0.695652,0.5,0.833333,0.39738,0.153846,0.132075,0.529412,0.228571,0.416667,0.457143,0.405263,0.447242,0.327044,0.078947,0.227273,0.219512,0.6,0.7,opel
0.586957,0.692308,0.958333,0.554585,0.252747,0.169811,0.705882,0.114286,0.666667,0.642857,0.568421,0.645084,0.610063,0.184211,0.5,0.463415,0.433333,0.566667,opel
0.347826,0.5,0.611111,0.257642,0.208791,0.169811,0.30719,0.485714,0.25,0.585714,0.226316,0.220624,0.421384,0.171053,0.045455,0.487805,0.333333,0.533333,van
0.478261,0.384615,0.777778,0.427948,0.197802,0.150943,0.503268,0.257143,0.416667,0.357143,0.457895,0.419664,0.358491,0.157895,0.272727,0.658537,0.466667,0.533333,opel
0.5,0.846154,0.805556,0.248908,0.076923,0.150943,0.673203,0.142857,0.583333,0.814286,0.505263,0.598321,0.704403,0.223684,0.136364,0.146341,0.3,0.4,opel
0.608696,0.615385,0.875,0.471616,0.21978,0.150943,0.581699,0.2,0.5,0.542857,0.447368,0.5,0.408805,0.131579,0.181818,0.268293,0.433333,0.5,opel
0.369565,0.230769,0.625,0.244541,0.131868,0.09434,0.333333,0.428571,0.25,0.185714,0.310526,0.254197,0.308176,0.157895,0.318182,0.317073,0.333333,0.366667,saab
0.23913,0.192308,0.597222,0.161572,0.076923,0.09434,0.24183,0.542857,0.166667,0.2,0.247368,0.171463,0.251572,0.197368,0.272727,0.707317,0.3,0.333333,saab
0.586957,0.961538,0.958333,0.550218,0.252747,0.169811,0.745098,0.114286,0.666667,0.914286,0.547368,0.681055,0.616352,0.171053,0,0.317073,0.366667,0.566667,opel
0.304348,0.461538,0.583333,0.262009,0.142857,0.113208,0.287582,0.457143,0.166667,0.371429,0.268421,0.218225,0.408805,0.144737,0.090909,0.04878,0.466667,0.5,opel
0.673913,0.923077,0.875,0.515284,0.274725,0.188679,0.712418,0.114286,0.666667,0.842857,0.489474,0.640288,0.685535,0.171053,0.5,0.292683,0.333333,0.466667,opel
0.586957,0.615385,0.555556,0.445415,0.252747,0.075472,0.464052,0.257143,0.333333,0.542857,0.4,0.399281,0.559748,0.184211,0.136364,0.317073,0.733333,0.6,bus
0.478261,0.769231,0.763889,0.427948,0.197802,0.150943,0.529412,0.228571,0.416667,0.6,0.473684,0.44964,0.805031,0.157895,0.136364,0.04878,0.4,0.5,saab
0.326087,0.192308,0.513889,0.227074,0.098901,0.09434,0.333333,0.428571,0.25,0.157143,0.284211,0.252998,0.194969,0.105263,0.045455,0.219512,0.533333,0.566667,opel
0.369565,0.538462,0.458333,0.139738,0.120879,0.169811,0.320261,0.457143,0.25,0.5,0.221053,0.230216,0.477987,0.236842,0.5,0.195122,0.233333,0.333333,van
0.369565,0.346154,0.319444,0.174672,0.131868,0.09434,0.124183,0.685714,0.083333,0.342857,0.126316,0.089928,0.333333,0.078947,0.681818,0.073171,0.7,0.766667,van
0.673913,0.807692,0.847222,0.406114,0.186813,0.169811,0.660131,0.142857,0.583333,0.771429,0.463158,0.581535,0.710692,0.197368,0.636364,0.097561,0.366667,0.5,saab
0.521739,0.153846,0.527778,0.336245,0.164835,0.113208,0.320261,0.428571,0.25,0.185714,0.273684,0.245803,0.050314,0.039474,0.090909,0.682927,0.9,1,opel
0.304348,0.423077,0.805556,0.467249,0.252747,0.150943,0.503268,0.257143,0.416667,0.328571,0.442105,0.420863,0.433962,0.157895,0.090909,0.512195,0.366667,0.433333,opel
0.26087,0.384615,0.333333,0.104803,0.098901,0.113208,0.248366,0.571429,0.166667,0.371429,0.2,0.167866,0.402516,0.302632,0.409091,0.341463,0.133333,0.1,bus
0.608696,0.846154,0.902778,0.340611,0.131868,0.150943,0.673203,0.142857,0.583333,0.842857,0.478947,0.592326,0.716981,0.197368,0.545455,0.634146,0.333333,0.466667,opel
0.630435,0.730769,0.805556,0.528384,0.263736,0.150943,0.666667,0.142857,0.583333,0.657143,0.515789,0.597122,0.566038,0.157895,0,0.390244,0.366667,0.5,opel
0.608696,0.5,0.902778,0.39738,0.153846,0.150943,0.562092,0.228571,0.5,0.457143,0.436842,0.472422,0.540881,0.092105,0.318182,0.926829,0.533333,0.8,saab
0.586957,0.538462,0.416667,0.353712,0.252747,0.09434,0.326797,0.4,0.25,0.5,0.257895,0.266187,0.396226,0.118421,0.409091,0.146341,0.8,0.8,bus
0.565217,0.807692,0.833333,0.414847,0.164835,0.132075,0.575163,0.2,0.5,0.685714,0.484211,0.498801,0.830189,0.144737,0.090909,0.170732,0.433333,0.566667,opel
0.456522,0.461538,0.444444,0.327511,0.241758,0.075472,0.287582,0.428571,0.166667,0.371429,0.268421,0.226619,0.515723,0.131579,0.227273,0.121951,0.566667,0.566667,bus
0.304348,0.269231,0.569444,0.253275,0.230769,0.150943,0.222222,0.571429,0.166667,0.3,0.194737,0.159472,0.301887,0.144737,0,0.317073,0.433333,0.6,van
0.673913,0.730769,0.833333,0.379913,0.131868,0.132075,0.555556,0.2,0.5,0.571429,0.463158,0.478417,0.786164,0.144737,0.454545,0.243902,0.5,0.566667,saab
0.282609,0.038462,0.305556,0.157205,0.153846,0.09434,0.065359,0.8,0,0.128571,0.057895,0.046763,0.018868,0.065789,0.090909,0.341463,0.8,0.9,van
0.782609,0.615385,0.958333,0.388646,0.131868,0.150943,0.620915,0.171429,0.583333,0.542857,0.5,0.540767,0.654088,0.144737,0.590909,0.756098,0.5,0.7,saab
0.521739,0.307692,0.666667,0.349345,0.131868,0.132075,0.411765,0.342857,0.333333,0.314286,0.326316,0.329736,0.238994,0.052632,0.045455,0.121951,0.666667,0.8,saab
0.282609,0.461538,0.430556,0.222707,0.208791,0.09434,0.222222,0.542857,0.166667,0.371429,0.194737,0.165468,0.421384,0.171053,0.227273,0.146341,0.433333,0.5,bus
0.282609,0.192308,0.5,0.170306,0.131868,0.113208,0.196078,0.6,0.083333,0.185714,0.194737,0.140288,0.18239,0.157895,0.227273,0.243902,0.433333,0.5,van
0.73913,0.807692,0.805556,0.462882,0.208791,0.169811,0.69281,0.142857,0.583333,0.728571,0.478947,0.623501,0.672956,0.157895,0.636364,0,0.4,0.533333,saab
0.782609,0.730769,0.763889,0.371179,0.120879,0.037736,0.751634,0.085714,0.666667,0.571429,0.694737,0.709832,0.679245,0.302632,0,0.463415,0.366667,0.166667,bus
0.630435,0.692308,0.722222,0.393013,0.142857,0.075472,0.705882,0.114286,0.666667,0.628571,0.615789,0.655875,0.628931,0.276316,0.318182,0.170732,0.4,0.166667,bus
0.326087,0.153846,0.319444,0.113537,0.120879,0.056604,0.084967,0.8,0.083333,0.171429,0.057895,0.055156,0.226415,0.197368,0.636364,0.487805,0.266667,0.233333,saab
0.369565,0.192308,0.486111,0.262009,0.186813,0.09434,0.254902,0.485714,0.166667,0.185714,0.2,0.193046,0.188679,0.092105,0,0,0.633333,0.766667,bus
0.391304,0.307692,0.736111,0.406114,0.197802,0.132075,0.464052,0.285714,0.333333,0.271429,0.378947,0.383693,0.27673,0.092105,0.5,0.585366,0.566667,0.633333,opel
0.543478,0.230769,0.388889,0.139738,0.098901,0.113208,0.124183,0.742857,0.083333,0.371429,0.152632,0.080336,0.157233,0.171053,0.181818,0.243902,0.333333,0.2,van
0.347826,0.269231,0.680556,0.305677,0.120879,0.113208,0.424837,0.314286,0.333333,0.214286,0.378947,0.344125,0.289308,0.144737,0.318182,0.439024,0.433333,0.5,saab
0.521739,0.846154,0.777778,0.28821,0.076923,0.150943,0.679739,0.142857,0.583333,0.785714,0.468421,0.600719,0.685535,0.210526,0,0.097561,0.266667,0.4,opel
0.717391,0.730769,0.944444,0.449782,0.186813,0.188679,0.712418,0.142857,0.666667,0.714286,0.521053,0.629496,0.572327,0.184211,1,0.926829,0.466667,0.8,saab
0.391304,0.5,0.527778,0.19214,0.153846,0.132075,0.228758,0.542857,0.166667,0.485714,0.2,0.166667,0.566038,0.144737,0.590909,0.268293,0.433333,0.633333,van
0.586957,0.538462,0.666667,0.375546,0.142857,0.150943,0.385621,0.342857,0.333333,0.528571,0.294737,0.306954,0.377358,0,0.681818,0.439024,0.833333,0.966667,saab
