@relation mc1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute GLOBAL_DATA_COMPLEXITY numeric
@attribute GLOBAL_DATA_DENSITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute c {FALSE,TRUE}

@data
0,0.005714,0,0.010204,0,0.006349,0.005236,0.67,0.00641,0,0,0.00431,0,0,0.00346,0,0.010417,1,0.013739,0.004797,0.000002,0,0.001148,0.125,0.000002,0.000373,0,0.006289,0.006349,0.004071,0.2,0.000878,0.001357,0.005076,0.04,0.00551,0.348058,0.004695,FALSE
0.045977,0.011429,0.097222,0,0.017094,0.012698,0.010471,0.13,0.012821,0.005405,0,0.016164,0,0,0.039792,0,0.010417,0,0.209238,0.01167,0.000161,0.013644,0.01894,0.05,0.000161,0.0138,0,0.012579,0.012698,0.017639,0.05,0.020184,0.017978,0.13198,0.11,0.041322,0.083542,0.035994,FALSE
0.057471,0.028571,0.041667,0,0.042735,0.031746,0,0.04,0.032051,0,1,0.028017,0,0,0.043253,0,0.005208,1,0.127596,0.01552,0.000174,0.011236,0.016644,0.04,0.000174,0.011191,1,0.031447,0.031746,0.028494,0.015,0.017552,0.015943,0.086294,0.11,0.049587,0.174081,0.039124,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.021042,0.001799,0,0,0.000765,0.335,0,0.000214,1,0,0,0,0.5,0.000439,0.001018,0.005076,0.03,0,0,0,FALSE
0.08046,0.005714,0.013889,0,0.017094,0.006349,0.005236,0.2,0.00641,0.005405,1,0.007543,0,0,0.017301,0,0.010417,1,0.046111,0.014392,0.000054,0.004013,0.006313,0.04,0.000054,0.003751,0,0.006289,0.006349,0.008141,0.045,0.006143,0.006445,0.035533,0.12,0.028926,0.174081,0.015649,FALSE
0,0,0,0,0.008547,0,0,1,0,0,1,0,0,0,0.00173,0,0,0,0,0,0,0,0.000191,0,0,0,1,0,0,0,0.125,0,0.000339,0,0.01,0.004132,0.522139,0.001565,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005208,1,0.030596,0.002399,0.000001,0.000803,0.001148,0.25,0.000001,0.000415,1,0,0,0,0.5,0.000878,0.001357,0.010152,0.04,0,0,0,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000574,0,0,0.000127,1,0,0,0,0.5,0,0.001018,0,0.03,0,0,0,FALSE
0.022989,0,0,0,0.025641,0,0,0.14,0,0,1,0.00431,0,0,0.012111,0,0,0,0.079274,0.006596,0.000019,0.00321,0.005548,0.09,0.000019,0.002954,1,0,0,0.005427,0.035,0.004827,0.006106,0.035533,0.07,0.017906,0.313283,0.010955,FALSE
0.034483,0.011429,0.027778,0,0.025641,0.012698,0.010471,0.16,0.012821,0.010811,1,0.012931,0,0,0.032872,0,0,0,0.072009,0.027477,0.000307,0.011236,0.017218,0.02,0.000307,0.011184,0,0.012579,0.012698,0.013569,0.055,0.015796,0.018318,0.055838,0.14,0.035813,0.142439,0.029734,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005208,1,0.030557,0.001799,0.000001,0,0.000957,0.335,0.000001,0.000311,1,0,0,0,0.5,0.000878,0.001018,0.010152,0.03,0,0,0,FALSE
0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0.00346,0,0.005208,1,0.035452,0.002998,0.000002,0.000803,0.001531,0.2,0.000002,0.000601,1,0,0,0,0.1,0.000878,0.002035,0.010152,0.05,0.00551,0,0.00313,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005208,1,0.030557,0.001799,0.000001,0,0.000957,0.335,0.000001,0.000311,1,0,0,0,0.5,0.000878,0.001018,0.010152,0.03,0,0,0,FALSE
0.068966,0.028571,0.041667,0.040816,0.059829,0.028571,0.026178,0.29,0.025641,0.016216,0,0.020474,0.095238,0,0.029412,0,0,0,0.088354,0.039651,0.000785,0.020064,0.026784,0.015,0.000785,0.0198,0,0.031447,0.028571,0.018996,0.08,0.020184,0.031886,0.081218,0.23,0.049587,0.410297,0.032864,FALSE
0.011494,0,0,0,0,0,0,0.14,0,0,1,0.00431,0,0,0.012111,0,0,0,0.079274,0.006596,0.000019,0.00321,0.005548,0.09,0.000019,0.002954,1,0,0,0.005427,0.05,0.004827,0.006106,0.035533,0.07,0.012397,0,0.010955,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.021042,0.001799,0,0,0.000765,0.335,0,0.000214,1,0,0,0,0.5,0.000439,0.001018,0.005076,0.03,0,0,0,FALSE
0,0.005714,0.013889,0,0,0.006349,0.005236,1,0.00641,0.005405,1,0.00431,0,0,0,0,0.010417,1,0.036794,0.005997,0.000007,0.001605,0.002487,0.1,0.000007,0.001247,0,0.006289,0.006349,0.004071,0.5,0.002194,0.002714,0.020305,0.08,0.001377,0,0,FALSE
0.229885,0.062857,0.041667,0.030612,0.410256,0.060317,0.057592,0.23,0.057692,0.021622,0,0.048491,0.238095,0,0.086505,0,0,0,0.080537,0.052424,0.001251,0.024077,0.034437,0.01,0.001251,0.023862,0,0.062893,0.060317,0.046133,0.05,0.031593,0.036635,0.071066,0.17,0.168044,0.52736,0.082942,FALSE
0.149425,0.011429,0.069444,0.020408,0.034188,0.012698,0.010471,0.07,0.012821,0.005405,0,0.032328,0.095238,1,0.067474,0,0.005208,0,0.219029,0.023387,0.000677,0.028892,0.037689,0.025,0.000677,0.02895,1,0.012579,0.012698,0.037992,0.025,0.042124,0.034261,0.162437,0.13,0.081267,0.139202,0.064163,TRUE
0.034483,0.011429,0.055556,0.081633,0,0.012698,0.010471,0.14,0.012821,0.010811,1,0.012931,0,0,0.024221,0.1,0.010417,0,0.080537,0.021744,0.000215,0.009631,0.014157,0.03,0.000215,0.009901,0,0.012579,0.012698,0.013569,0.055,0.014041,0.014247,0.076142,0.17,0.035813,0.379699,0.034429,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005208,1,0.030557,0.001799,0.000001,0,0.000957,0.335,0.000001,0.000311,1,0,0,0,0.25,0.000878,0.001018,0.010152,0.03,0.001377,0,0,FALSE
0,0.005714,0,0,0,0.006349,0.005236,1,0.00641,0,0,0.005388,0,0,0,0,0,0,0.048085,0.003598,0.000004,0.000803,0.002104,0.165,0.000004,0.000978,0,0.006289,0.006349,0.005427,1,0.001755,0.002374,0.020305,0.06,0,0,0,FALSE
0.022989,0.017143,0.013889,0,0,0.019048,0.015707,0.36,0.019231,0.005405,0,0.014009,0.095238,0,0.019031,0,0.020833,1,0.048756,0.01919,0.000101,0.005618,0.008609,0.03,0.000101,0.005289,0,0.018868,0.019048,0.013569,0.145,0.007021,0.009837,0.035533,0.14,0.017906,0,0.017214,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.021042,0.001799,0,0,0.000765,0.335,0,0.000214,1,0,0,0,0.165,0.000439,0.001018,0.005076,0.03,0.002755,0,0,FALSE
0.011494,0,0.027778,0,0,0,0,0.11,0,0,1,0.006466,0,0,0.015571,0,0,0,0.135807,0.005997,0.000028,0.004815,0.008227,0.1,0.000028,0.004602,1,0,0,0.008141,0.045,0.009653,0.007123,0.055838,0.05,0.013774,0,0.014085,FALSE
0.034483,0.011429,0.027778,0,0.025641,0.012698,0.010471,0.16,0.012821,0.010811,1,0.012931,0,0,0.032872,0,0.015625,1,0.077497,0.027285,0.000326,0.012039,0.018175,0.02,0.000326,0.011949,0,0.012579,0.012698,0.013569,0.055,0.017113,0.018996,0.060914,0.14,0.035813,0.142439,0.029734,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005208,1,0.030596,0.002399,0.000001,0.000803,0.001148,0.25,0.000001,0.000415,1,0,0,0,0.5,0.000878,0.001357,0.010152,0.04,0,0,0,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.021042,0.001799,0,0,0.000765,0.335,0,0.000214,1,0,0,0,0.5,0.000439,0.001018,0.005076,0.03,0,0,0,FALSE
0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0.00346,0,0,0,0.021042,0.001799,0,0,0.000765,0.335,0,0.000214,1,0,0,0,0.125,0.000439,0.001018,0.005076,0.03,0.004132,0,0.00313,FALSE
0,0,0.013889,0,0,0,0,1,0,0,1,0.001078,0,0,0,0,0.005208,1,0.030596,0.002399,0.000001,0.000803,0.001148,0.25,0.000001,0.000415,1,0,0,0.001357,0.5,0.000878,0.001357,0.010152,0.04,0,0,0,FALSE
0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0.00346,0,0,0,0.021042,0.001799,0,0,0.000765,0.335,0,0.000214,1,0,0,0,0.125,0.000439,0.001018,0.005076,0.03,0.004132,0,0.00313,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.021042,0.001799,0,0,0.000765,0.335,0,0.000214,1,0,0,0,0.5,0.000439,0.001018,0.005076,0.03,0,0,0,FALSE
0,0.005714,0.027778,0,0,0.006349,0.005236,0.5,0.00641,0.005405,1,0.005388,0,0,0.00692,0,0.005208,0,0.053968,0.007196,0.000016,0.002408,0.004018,0.085,0.000016,0.002195,0,0.006289,0.006349,0.005427,0.165,0.002633,0.005088,0.025381,0.1,0.006887,0,0.00626,FALSE
0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0.00346,0,0,0,0.037465,0.004198,0.000004,0.000803,0.001913,0.145,0.000004,0.000889,1,0,0,0,0.125,0.001316,0.002374,0.015228,0.07,0.004132,0,0.00313,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005208,1,0.030557,0.001799,0.000001,0,0.000957,0.335,0.000001,0.000311,1,0,0,0,0.5,0.000878,0.001018,0.010152,0.03,0,0,0,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005208,1,0.030596,0.002399,0.000001,0.000803,0.001148,0.25,0.000001,0.000415,1,0,0,0,0.25,0.000878,0.001357,0.010152,0.04,0.001377,0,0,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.021042,0.001799,0,0,0.000765,0.335,0,0.000214,1,0,0,0,0.5,0.000439,0.001018,0.005076,0.03,0,0,0,FALSE
0,0,0.013889,0,0,0,0,0.5,0,0,1,0.001078,0,0,0.00346,0,0.005208,1,0.053296,0.002399,0.000002,0.000803,0.001722,0.25,0.000002,0.000722,1,0,0,0.001357,0.165,0.001755,0.001696,0.020305,0.04,0.002755,0,0.00313,FALSE
0,0,0.041667,0,0,0,0,1,0,0,1,0.003233,0,0,0,0,0.005208,1,0.032767,0.007196,0.00001,0.001605,0.00287,0.085,0.00001,0.001333,1,0,0,0.004071,0.25,0.001316,0.004071,0.010152,0.08,0.001377,0,0,FALSE
0.045977,0.022857,0.027778,0.020408,0.042735,0.025397,0.020942,0.21,0.025641,0.005405,0,0.018319,0,0,0.038062,0,0,0,0.050178,0.052772,0.00079,0.015249,0.02334,0.01,0.00079,0.014968,0,0.025157,0.025397,0.017639,0.065,0.019307,0.026459,0.040609,0.16,0.052342,0.252089,0.037559,FALSE
0,0,0,0.010204,0,0,0,0.5,0,0,1,0,0,0,0.00173,0,0.005208,1,0.030557,0.001799,0.000001,0,0.000957,0.335,0.000001,0.000311,1,0,0,0,0.125,0.000878,0.001018,0.010152,0.03,0.004132,0.522139,0.00313,FALSE
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.005208,1,0.030596,0.002399,0.000001,0.000803,0.001148,0.25,0.000001,0.000415,1,0,0,0,0.25,0.000878,0.001357,0.010152,0.04,0.001377,0,0,FALSE
