@relation KC2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute loc numeric
@attribute v(g) numeric
@attribute ev(g) numeric
@attribute iv(g) numeric
@attribute n numeric
@attribute v numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute e numeric
@attribute b numeric
@attribute t numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute lOCodeAndComment numeric
@attribute uniq_Op numeric
@attribute uniq_Opnd numeric
@attribute total_Op numeric
@attribute total_Opnd numeric
@attribute branchCount numeric
@attribute problems {no,yes}

@data
0.043171,0.03352,0.016129,0.035211,0.035167,0.023412,0.02,0.216459,0.08512,0.008261,0.02307,0.006439,0.044264,0.022727,0.033058,0,0.456522,0.083077,0.034441,0.036352,0.033333,no
0.00157,0,0,0,0,0,0,0,0,0,0,0,0.000903,0,0,0,0,0,0,0,0,no
0.037677,0.01676,0,0.021127,0.031399,0.018284,0.03,0.161016,0.089385,0.004798,0.018634,0.00374,0.03523,0.045455,0.041322,0,0.23913,0.055385,0.030389,0.033047,0.016667,yes
0.069074,0.067039,0.040323,0.042254,0.059784,0.041918,0.025,0.196078,0.168217,0.013401,0.041704,0.010446,0.061427,0.136364,0.099174,0.090909,0.369565,0.132308,0.057131,0.064111,0.066667,yes
0.016484,0.005587,0,0.007042,0.008289,0.004193,0.085,0.057954,0.056932,0.000396,0.004437,0.000309,0.007227,0.022727,0.033058,0,0.195652,0.043077,0.013371,0.015863,0,no
0.00471,0.011173,0,0,0.009294,0.004774,0.05,0.099585,0.037705,0.000775,0.004437,0.000604,0.012647,0,0.008264,0,0.152174,0.015385,0.004052,0.004627,0.011111,no
0.010989,0.005587,0,0,0.009294,0.005011,0.065,0.07534,0.052354,0.000616,0.005324,0.00048,0.009033,0,0.008264,0,0.23913,0.030769,0.009724,0.008592,0.005556,no
0.00157,0,0,0,0,0,0,0,0,0,0,0,0.000903,0,0,0,0,0,0,0,0,no
0.064364,0.03352,0,0.035211,0.055765,0.034355,0.02,0.258669,0.104515,0.014488,0.034605,0.011294,0.059621,0.022727,0.099174,0,0.282609,0.070769,0.054295,0.058163,0.033333,no
0.009419,0,0,0,0.003266,0.001375,0.335,0.014489,0.074688,0.000032,0.001775,0.000025,0.003613,0,0.016529,0.181818,0.043478,0.021538,0.002431,0.004627,0,no
0.002355,0,0,0,0.000754,0.000237,0.335,0.014489,0.012842,0.000006,0,0.000004,0.001807,0,0,0,0.043478,0.003077,0.00081,0.000661,0,no
0.002355,0,0,0,0.001256,0.000459,0.25,0.019318,0.018672,0.000014,0.000887,0.000011,0.001807,0,0,0,0.065217,0.006154,0.001216,0.001322,0,no
0.011774,0,0,0,0.002261,0.000887,0.165,0.028977,0.024093,0.000042,0.000887,0.000033,0.004517,0,0,0,0.065217,0.015385,0.001216,0.004627,0,no
0.005495,0,0,0,0.002261,0.000887,0.15,0.032165,0.021684,0.000047,0.000887,0.000036,0.003613,0,0.008264,0,0.086957,0.009231,0.002026,0.002644,0,no
0.002355,0,0,0,0.001256,0.000459,0.25,0.019318,0.018672,0.000014,0.000887,0.000011,0.001807,0,0,0,0.065217,0.006154,0.001216,0.001322,0,no
0.047096,0.039106,0.048387,0.042254,0.028134,0.017904,0.025,0.182556,0.07717,0.005328,0.017746,0.004153,0.034327,0.045455,0.033058,0,0.478261,0.083077,0.04295,0.038334,0.033333,yes
0.014129,0.01676,0,0,0.010801,0.005205,0.045,0.111755,0.036645,0.000948,0.005324,0.000739,0.01355,0,0.008264,0,0.173913,0.021538,0.01013,0.011897,0.016667,no
0.00471,0.01676,0,0,0.008038,0.003813,0.095,0.051483,0.058233,0.00032,0.003549,0.00025,0.004517,0,0,0,0.108696,0.027692,0.006483,0.010575,0.016667,no
0.002355,0,0,0,0.000754,0.000237,0.335,0.014489,0.012842,0.000006,0,0.000004,0.001807,0,0,0,0.043478,0.003077,0.00081,0.000661,0,yes
0.00471,0,0,0,0.003014,0.001079,0.1,0.048295,0.017588,0.000085,0.000887,0.000066,0.003613,0,0,0.090909,0.086957,0.006154,0.003241,0.002644,0,no
0.151491,0.122905,0,0.070423,0.12635,0.094758,0.01,0.419299,0.17783,0.064772,0.094942,0.050492,0.123758,0.522727,0.239669,0.090909,0.543478,0.172308,0.128039,0.123596,0.122222,yes
0.00471,0,0,0,0.00201,0.000747,0.135,0.036221,0.016239,0.000044,0.000887,0.000034,0.003613,0,0.008264,0,0.086957,0.006154,0.002026,0.001983,0,no
0.087127,0.100559,0.080645,0.098592,0.087164,0.065246,0.02,0.239061,0.21474,0.025432,0.065661,0.019825,0.084011,0.045455,0.082645,0.454545,0.413043,0.187692,0.079417,0.099802,0.1,yes
0.014914,0.005587,0,0.007042,0.008038,0.00407,0.085,0.057954,0.055245,0.000384,0.004437,0.0003,0.014453,0,0.008264,0,0.173913,0.027692,0.008104,0.007931,0.005556,no
0.091837,0.011173,0,0.007042,0.08842,0.060625,0.015,0.301362,0.158314,0.029784,0.060337,0.023217,0.078591,0.022727,0.190083,0,0.326087,0.123077,0.079417,0.103106,0.011111,yes
0.079278,0.050279,0.056452,0.056338,0.06104,0.042964,0.02,0.239061,0.141425,0.016744,0.042591,0.013052,0.065041,0.272727,0.132231,0,0.456522,0.123077,0.061994,0.059484,0.05,yes
0.002355,0,0,0,0.00201,0.000747,0,0,0,0,0.000887,0,0.001807,0,0,0,0.130435,0,0.003241,0,0,no
0.00471,0,0,0,0.001005,0.000343,0,0,0,0,0,0,0.001807,0.045455,0.008264,0,0.086957,0,0.001621,0,0,no
0.045526,0.022346,0,0.021127,0.036423,0.023983,0.025,0.18613,0.101407,0.007276,0.023957,0.005672,0.04607,0.022727,0.041322,0,0.347826,0.092308,0.031199,0.044944,0.022222,no
0.015699,0.022346,0,0.014085,0.01683,0.00922,0.045,0.102193,0.071026,0.001536,0.008873,0.001197,0.01626,0,0.008264,0,0.217391,0.04,0.017018,0.016523,0.022222,no
0.003925,0.005587,0,0.007042,0.003014,0.001219,0.165,0.028977,0.033104,0.000058,0.000887,0.000045,0.003613,0,0,0,0.108696,0.009231,0.003647,0.001983,0.005556,no
0.049451,0.01676,0,0.014085,0.022859,0.013724,0.07,0.068869,0.156893,0.00154,0.01331,0.0012,0.025294,0.636364,0.041322,0,0.173913,0.073846,0.021475,0.025116,0.016667,no
0.022763,0.027933,0.032258,0.021127,0.017835,0.010236,0.035,0.135227,0.059558,0.002257,0.010648,0.001759,0.018067,0.045455,0.041322,0,0.282609,0.043077,0.017423,0.018506,0.027778,no
0.008634,0.005587,0,0.007042,0.003517,0.001535,0.115,0.042307,0.028574,0.000106,0.001775,0.000082,0.006323,0.022727,0.016529,0,0.130435,0.012308,0.003647,0.003305,0.005556,no
0.010989,0,0,0,0.013564,0.006648,0.085,0.055346,0.094565,0.0006,0.006211,0.000467,0.01084,0,0.008264,0,0.108696,0.033846,0.013371,0.01388,0,no
0.005495,0,0,0,0.002261,0.000937,0.25,0.019318,0.038187,0.00003,0.000887,0.000023,0.00271,0,0,0.090909,0.065217,0.015385,0.001621,0.003305,0,no
0.022763,0.005587,0,0.007042,0.015574,0.008652,0.05,0.094852,0.071773,0.001338,0.008873,0.001043,0.017164,0.022727,0.066116,0,0.217391,0.043077,0.014992,0.016523,0.005556,no
0.002355,0,0,0,0.000754,0.000237,0.335,0.014489,0.012842,0.000006,0,0.000004,0.001807,0,0,0,0.043478,0.003077,0.00081,0.000661,0,no
0.002355,0,0,0,0.001005,0.000343,0.335,0.014489,0.018648,0.000008,0,0.000006,0.001807,0,0,0,0.043478,0.006154,0.00081,0.001322,0,no
0.049451,0.027933,0,0.035211,0.04622,0.028917,0.025,0.186613,0.121934,0.008797,0.029281,0.006857,0.044264,0.159091,0.041322,0,0.282609,0.076923,0.046596,0.045605,0.027778,no
0.075353,0.039106,0.048387,0.049296,0.061291,0.040681,0.025,0.189317,0.169084,0.012555,0.040816,0.009787,0.065041,0.022727,0.165289,0,0.282609,0.107692,0.059157,0.064772,0.038889,no
0.00314,0,0,0,0.001005,0.000343,0.335,0.014489,0.018648,0.000008,0,0.000006,0.001807,0,0,0.090909,0.043478,0.006154,0.00081,0.001322,0,no
0.007064,0.005587,0,0.007042,0.005275,0.002477,0.085,0.057954,0.033634,0.000234,0.002662,0.000182,0.007227,0,0,0,0.152174,0.018462,0.004862,0.005948,0.005556,no
0.068289,0.039106,0.024194,0.035211,0.06104,0.041905,0.035,0.147493,0.223606,0.010074,0.041704,0.007853,0.060524,0.068182,0.090909,0,0.26087,0.132308,0.057536,0.066755,0.038889,no
0.042386,0.01676,0,0.014085,0.032655,0.02115,0.03,0.164204,0.101359,0.005662,0.021295,0.004413,0.03794,0,0.090909,0,0.347826,0.083077,0.030794,0.035691,0.016667,yes
0.11146,0.072626,0.040323,0.06338,0.091183,0.066842,0.02,0.241959,0.217438,0.026361,0.066548,0.020549,0.094851,0.318182,0.173554,0.090909,0.391304,0.169231,0.088331,0.095836,0.072222,yes
0.324961,0.324022,0.395161,0.352113,0.290882,0.248748,0.005,1,0.195731,0.40552,0.248447,0.316115,0.3243,0.795455,0.07438,0.909091,1,0.326154,0.279984,0.308658,0.291667,yes
0.002355,0,0,0,0.000754,0.000237,0.335,0.014489,0.012842,0.000006,0,0.000004,0.001807,0,0,0,0.043478,0.003077,0.00081,0.000661,0,no
0.00314,0,0,0,0.001005,0.000343,0.335,0.014489,0.018648,0.000008,0,0.000006,0.001807,0,0.008264,0,0.043478,0.006154,0.00081,0.001322,0,no
0.002355,0,0,0,0.000754,0.000237,0.335,0.014489,0.012842,0.000006,0,0.000004,0.001807,0,0,0,0.043478,0.003077,0.00081,0.000661,0,yes
0.003925,0,0,0,0.002512,0.000976,0.11,0.043466,0.01766,0.000069,0.000887,0.000054,0.003613,0,0,0,0.108696,0.006154,0.002836,0.001983,0,no
0.085557,0.061453,0.072581,0.077465,0.078372,0.053991,0.02,0.231817,0.183275,0.020404,0.054126,0.015905,0.079494,0.068182,0.123967,0,0.326087,0.126154,0.07658,0.081295,0.061111,yes
