@relation segment-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute region-centroid-col numeric
@attribute region-centroid-row numeric
@attribute region-pixel-count numeric
@attribute short-line-density-5 numeric
@attribute short-line-density-2 numeric
@attribute vedge-mean numeric
@attribute vegde-sd numeric
@attribute hedge-mean numeric
@attribute hedge-sd numeric
@attribute intensity-mean numeric
@attribute rawred-mean numeric
@attribute rawblue-mean numeric
@attribute rawgreen-mean numeric
@attribute exred-mean numeric
@attribute exblue-mean numeric
@attribute exgreen-mean numeric
@attribute value-mean numeric
@attribute saturation-mean numeric
@attribute hue-mean numeric
@attribute class {brickface,sky,foliage,cement,window,path,grass}

@data
0.106719,0.420833,0,0,0,0.024715,0.000422,0.012422,0.000118,0.041312,0.051864,0.047864,0.024162,0.893657,0.172941,0.451613,0.050074,0.544092,0.333392,brickface
0.72332,0.558333,0,0,0,0.032319,0.000495,0.039752,0.000674,0.023754,0.017018,0.038292,0.014809,0.779851,0.207058,0.512334,0.038292,0.656614,0.169167,window
0.865613,0.470833,0,0,0,0.007605,0.00003,0.009938,0.000053,0.006197,0,0.0162,0.001559,0.789179,0.181176,0.544592,0.0162,1,0.14814,foliage
0.256917,0.375,0,0.333333,0,0.024715,0.000332,0.049689,0.00047,0.132714,0.143436,0.156112,0.097428,0.865672,0.275294,0.314991,0.156112,0.410267,0.266356,brickface
0.72332,0.016667,0,0,0,0.015209,0.000254,0.017391,0.000085,0.981414,0.979739,0.994844,0.967262,0.509329,0.428235,0.43074,0.994844,0.105074,0.120153,sky
0.841897,0.7625,0,0,0,0.041825,0.001034,0.07205,0.001223,0.314228,0.293355,0.367452,0.277474,0.589552,0.461176,0.296014,0.367452,0.291972,0.167406,path
0.936759,0.2,0,0,0,0.028517,0.000463,0.023603,0.000491,0.848443,0.796595,0.921207,0.819951,0.205225,0.681176,0.332069,0.921207,0.214204,0.114151,sky
0.29249,0.158333,0,0,0,0.028517,0.000392,0.026087,0.000505,0.8882,0.853323,0.948452,0.856583,0.309702,0.630588,0.3074,0.948452,0.182398,0.125295,sky
0.387352,0.495833,0,0,0,0.019011,0.000459,0.012422,0.000393,0.009553,0.00081,0.022091,0.004677,0.770522,0.194117,0.542694,0.022091,0.977778,0.135168,foliage
0.245059,0.8,0,0,0,0.146388,0.003823,0.077019,0.002912,0.407696,0.382496,0.474963,0.360092,0.529851,0.550588,0.212525,0.474963,0.287107,0.169481,path
0.41502,0.4,0,0,0,0.038023,0.000726,0.014907,0.000304,0.157243,0.094814,0.238586,0.130943,0.352612,0.558823,0.379506,0.238586,0.638541,0.115763,foliage
0.438735,0.454167,0,0.333333,0,0.045627,0.001041,0.049689,0.001232,0.150272,0.128039,0.189985,0.129384,0.632463,0.357646,0.419355,0.189985,0.38675,0.145511,window
0.719368,0.416667,0,0,0,0.022814,0.000314,0.023603,0.000366,0.039763,0.050243,0.046392,0.022603,0.893657,0.172941,0.451613,0.048601,0.566138,0.332252,brickface
0.592885,0.55,0,0,0,0.013308,0.000063,0.01118,0.000024,0.039504,0.055105,0.04271,0.021044,0.929105,0.15647,0.442125,0.050074,0.60119,0.377269,brickface
0.841897,0.979167,0,0,0,0.096958,0.001934,0.067081,0.001435,0.122128,0.103728,0.102356,0.160561,0.667911,0.065882,0.853889,0.151694,0.391548,0.885904,grass
0.300395,0.725,0,0,0,0.10076,0.007727,0.13913,0.023168,0.226957,0.213128,0.262887,0.20187,0.666045,0.357646,0.3852,0.262887,0.27036,0.160981,path
0.450593,0.795833,0,0.333333,0,0.055133,0.000243,0.053416,0.001873,0.105603,0.085089,0.092783,0.138737,0.658583,0.095294,0.815939,0.131075,0.409932,0.914157,grass
0.079051,0.175,0,0,0,0.030418,0.000523,0.026087,0.000313,0.150272,0.15235,0.181885,0.114575,0.800373,0.318824,0.311195,0.181885,0.404138,0.232009,brickface
0.758893,0.595833,0,0,0,0.058935,0.002573,0.044721,0.001346,0.196231,0.157213,0.26215,0.163678,0.501866,0.494117,0.332069,0.26215,0.453533,0.14322,cement
0.833992,0.345833,0,0,0,0.058935,0.002394,0.027329,0.000695,0.10896,0.076986,0.164948,0.08028,0.578359,0.425882,0.364326,0.164948,0.57666,0.148525,window
0.853755,0.558333,0,0,0,0.019011,0.000164,0.016149,0.000045,0.036922,0.046191,0.043446,0.021044,0.886194,0.171764,0.4611,0.046392,0.564153,0.331597,brickface
0.090909,0.225,0,0,0,0.041825,0.001778,0.052174,0.001699,0.145107,0.146678,0.177467,0.109119,0.798508,0.321176,0.309297,0.177467,0.419418,0.231393,brickface
0.865613,0.116667,0,0.333333,0,0.022814,0.000736,0.029814,0.000962,0.787764,0.725284,0.868924,0.760712,0.151119,0.707058,0.34535,0.868924,0.241459,0.109226,sky
0.790514,0.095833,0,0,0,0.146388,0.003084,0.009938,0.000291,0.095791,0.071313,0.138439,0.074045,0.634328,0.358823,0.41556,0.138439,0.544858,0.147954,window
0.853755,0.4625,0,0,0,0.011407,0.000134,0.01118,0.000216,0.041828,0.052674,0.048601,0.024162,0.895522,0.174117,0.447818,0.05081,0.551808,0.33454,brickface
0.822134,0.229167,0,0,0,0.036122,0.000467,0.024845,0.000438,0.651435,0.576986,0.777611,0.588463,0.111941,0.890589,0.089184,0.777611,0.325711,0.13755,sky
0.770751,0.491667,0,0,0,0.028517,0.000437,0.014907,0.000128,0.044152,0.057537,0.048601,0.0265,0.912314,0.163529,0.447818,0.054492,0.540123,0.35446,brickface
0.505929,0.6875,0,0,0,0.04943,0.000661,0.06087,0.001111,0.158534,0.141815,0.131075,0.203429,0.667911,0.037647,0.899431,0.192194,0.335021,0.868117,grass
0.118577,0.2125,0,0,0,0.062738,0.00084,0.040994,0.000697,0.14769,0.149919,0.180412,0.110678,0.802239,0.323529,0.301708,0.180412,0.419469,0.234034,brickface
0.450593,0.716667,0,0,0,0.036122,0.000779,0.10559,0.000736,0.138395,0.106159,0.12592,0.182384,0.567164,0.104705,0.893737,0.172312,0.449942,0.931896,grass
0.695652,0.479167,0,0,0,0.015209,0.00012,0.013665,0.000302,0.037697,0.055916,0.037555,0.020265,0.947761,0.14,0.449715,0.05081,0.623016,0.408164,brickface
0.023715,0.029167,0,0,0,0.043726,0.000736,0.021118,0.00027,0.96644,0.972446,0.977911,0.946996,0.567164,0.415294,0.392789,0.977911,0.096352,0.139268,sky
0.185771,0.675,0,0,0,0.039924,0.001079,0.032298,0.001184,0.134005,0.119935,0.108983,0.173811,0.69403,0.043529,0.863378,0.164212,0.349656,0.863528,grass
0.217391,0.5375,0,0,0,0.032319,0.000467,0.006211,0.000045,0.03873,0.026742,0.062592,0.024941,0.738806,0.255294,0.476281,0.062592,0.639254,0.163164,window
0.403162,0.854167,0,0,0,0.030418,0.000657,0.048447,0.000826,0.101472,0.079417,0.090575,0.13406,0.649254,0.103529,0.812144,0.126657,0.431696,0.921948,grass
0.458498,0.525,0,0,0,0.007605,0.000075,0.014907,0.000128,0.021689,0.011345,0.041973,0.010132,0.755597,0.234117,0.493358,0.041973,0.772487,0.162694,window
0.023715,0.5125,0,0,0,0.001901,0.000019,0.001242,0.000013,0.000258,0,0.000736,0,0.83209,0.134117,0.57685,0.000736,0.111111,0.159448,foliage
0.268775,0.291667,0,0,0,0.062738,0.00223,0.040994,0.000729,0.138395,0.148298,0.163476,0.102104,0.858209,0.284705,0.3074,0.163476,0.41031,0.263873,brickface
0.237154,0.775,0,0,0,0.04943,0.001528,0.058385,0.001389,0.345728,0.322528,0.407953,0.301636,0.563433,0.511765,0.240986,0.407953,0.302925,0.171558,path
0.268775,0.533333,0,0,0,0.096958,0.001788,0.047205,0.001204,0.126001,0.116694,0.149485,0.109899,0.729478,0.274117,0.455408,0.158321,0.386612,0.225185,foliage
0.719368,0.591667,0,0,0,0.171103,0.012369,0.067081,0.004969,0.195198,0.155591,0.256996,0.167576,0.498135,0.474117,0.368122,0.256996,0.447745,0.134545,cement
0.086957,0.058333,0,0,0,0.038023,0.000757,0.013665,0.000467,0.491093,0.442464,0.589838,0.432579,0.341419,0.721177,0.129033,0.589838,0.318191,0.153401,cement
0.513834,0.845833,0,0,0,0.026616,0.000657,0.028571,0.000174,0.047509,0.036467,0.031664,0.074825,0.742538,0.067058,0.776091,0.070692,0.568162,0.856606,grass
0.343874,0.25,0,0.333333,0.5,0.04943,0.000792,0.100621,0.004096,0.155694,0.158833,0.189249,0.116913,0.80597,0.329412,0.288425,0.189249,0.416299,0.23626,brickface
0.403162,0.766667,0,0.333333,0,0.070342,0.001587,0.045963,0.002738,0.059386,0.046191,0.045655,0.086515,0.723881,0.08,0.774192,0.081738,0.501683,0.87821,grass
0.944664,0.754167,0,0,0,0.081749,0.000652,0.098137,0.001717,0.320425,0.295787,0.385125,0.275135,0.561568,0.517646,0.233397,0.385125,0.325608,0.172513,path
0.312253,0.8,0,0,0,0.047529,0.000749,0.043478,0.001101,0.086496,0.072934,0.059646,0.127825,0.712687,0.023529,0.876659,0.120766,0.514445,0.844589,grass
0.086957,0.3375,0,0,0.5,0.140684,0.004675,0.156522,0.004103,0.088304,0.06402,0.123711,0.074045,0.638059,0.322353,0.470588,0.123711,0.564898,0.128196,foliage
0.612648,0.0875,0,0,0,0.026616,0.000164,0.058385,0.000751,0.950169,0.946518,0.969806,0.931409,0.505597,0.450588,0.398481,0.969806,0.113055,0.128162,sky
0.051383,0.529167,0,0,0,0.01711,0.000123,0.01118,0.000056,0.034599,0.049433,0.036082,0.018706,0.925373,0.147058,0.4611,0.044919,0.603836,0.389696,brickface
0.189723,0.120833,0,0,0,0.034221,0.000425,0.018634,0.000521,0.872194,0.831443,0.938147,0.840217,0.274255,0.654117,0.305503,0.938147,0.194537,0.122636,sky
0.201581,0.229167,0,0.333333,0,0.039924,0.000258,0.040994,0.001531,0.796283,0.77958,0.853462,0.750582,0.464553,0.594118,0.208728,0.853462,0.174128,0.158678,sky
0.58498,0.633333,0,0,0,0.089354,0.012253,0.313044,0.035265,0.290474,0.258509,0.340206,0.268121,0.520522,0.438823,0.402277,0.340206,0.297547,0.110757,path
0.948617,0.516667,0,0,0,0.007605,0.00003,0.003727,0.000056,0.001033,0,0.002946,0,0.826493,0.141176,0.571157,0.002946,0.333333,0.159448,window
0.826087,0.429167,0,0,0,0.043726,0.001318,0.013665,0.000045,0.112833,0.083468,0.165685,0.084957,0.59515,0.411764,0.370019,0.165685,0.546207,0.151514,window
0.217391,0.770833,0,0,0,0.081749,0.001433,0.099379,0.003167,0.349085,0.323339,0.412371,0.306313,0.544777,0.517646,0.250475,0.412371,0.297963,0.166105,path
0.881423,0.745833,0,0,0,0.098859,0.002154,0.067081,0.001334,0.331011,0.309562,0.388807,0.289944,0.580224,0.487059,0.263758,0.388807,0.295621,0.170941,path
