@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute R numeric
@attribute Age numeric
@attribute S numeric
@attribute Ed numeric
@attribute Ex0 numeric
@attribute Ex1 numeric
@attribute LF numeric
@attribute M numeric
@attribute N numeric
@attribute NW numeric
@attribute U1 numeric
@attribute U2 numeric
@attribute W numeric
@attribute X numeric

@data
0.135675,0.241379,0,0.485714,0.049587,0.051724,0.73913,0.656934,0.024242,0.090261,0.402778,0.184211,0.341646,225
0.540279,0.37931,0,0.971429,0.528926,0.517241,0.689441,0.372263,0.090909,0.066508,0.291667,0,0.723192,174
0.379164,0.206897,0,0.828571,0.272727,0.275862,0.583851,0.759124,0.024242,0.08076,1,0.578947,0.628429,176
0.296184,1,1,0,0.107438,0.12931,0.981366,0.291971,0.127273,0.824228,0.083333,0.210526,0.234414,254
0.214416,0.810345,1,0.057143,0.107438,0.112069,0.254658,0.284672,0.260606,0.598575,0.027778,0.157895,0.269327,237
0.058752,0.655172,1,0.057143,0.016529,0.025862,0.198758,0.20438,0.115152,1,0.375,0.368421,0,276
0.311326,0.655172,1,0.085714,0.165289,0.181034,0.453416,0.153285,0.218182,0.674584,0.152778,0.210526,0.331671,239
0.247123,0.189655,0,0.828571,0.68595,0.75,0.347826,0,0.290909,0.052257,0.111111,0.368421,0.845387,135
0.563295,0.534483,0,0.371429,0.528926,0.491379,0.31677,0.218978,0.036364,0.052257,0.236111,0.473684,0.67581,153
0.219867,0.362069,0,0.885714,0.214876,0.232759,0.944099,0.693431,0.024242,0.030879,0.416667,0.105263,0.593516,174
0.307087,0.189655,0,0.971429,0.371901,0.431034,0.888199,0.839416,0,0.047506,0.597222,0.526316,0.74813,160
0.806784,0.086207,0,0.514286,0.628099,0.646552,0.621118,0.233577,0.593939,0.247031,0.097222,0.394737,0.9202,170
0.783162,0.413793,0,0.742857,0.479339,0.465517,0.639752,0.569343,0.060606,0.23753,0.361111,0.421053,0.670823,194
0.249546,0.103448,0,0.628571,0.371901,0.344828,0.658385,0.218978,0.569697,0.190024,0.486111,0.605263,0.820449,163
0.291339,0.741379,1,0.342857,0.247934,0.25,0.26087,0.452555,0.224242,0.489311,0.041667,0.184211,0.518703,224
0.121139,0.37931,0,0.628571,0.090909,0.112069,0.267081,0.248175,0.006061,0,0.513889,0.447368,0.501247,170
0.534827,0.103448,0,0.6,0.561983,0.551724,0.540373,0.372263,0.454545,0.218527,0.833333,1,0.842893,166
0.242277,0.12069,0,0.6,0.239669,0.224138,0.757764,0.364964,0.187879,0.023753,0.444444,0.342105,0.670823,195
0.100545,0.12069,0,0.485714,0.504132,0.482759,0.73913,0.40146,0.224242,0.052257,0.111111,0.131579,0.760599,171
0.365839,0.396552,1,0.028571,0.297521,0.310345,0.10559,0.160584,0.181818,0.75772,0.638889,0.710526,0.346633,247
0.734706,0.206897,1,0.628571,0.578512,0.586207,0.385093,0.255474,0.284848,0.420428,0.125,0.394737,0.458853,206
0.985463,0.293103,0,0.971429,0.859504,0.862069,0.602484,0.437956,0.933333,0.185273,0.444444,0.5,0.9601,167
0.109631,0.189655,0,0.828571,0.14876,0.137931,1,0.364964,0.066667,0.057007,0,0.026316,0.493766,196
0.119322,0.413793,0,0.657143,0.173554,0.189655,0.354037,0.313869,0.042424,0.009501,0.611111,0.394737,0.496259,166
0.018776,0.362069,0,0.171429,0.082645,0.112069,0.341615,0.810219,0.018182,0.042755,0.902778,0.526316,0.411471,200
0.205936,0.034483,0,0.657143,0.603306,0.637931,0.416149,0.218978,0.133333,0.099762,0.194444,0.236842,1,126
0.293156,0.517241,1,0.028571,0.132231,0.112069,0.217391,0.138686,0.2,0.387173,0.222222,0.394737,0.266833,251
