@relation vowel-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute 'Train or Test' {Train,Test}
@attribute 'Speaker Number' {Andrew,Bill,David,Mark,Jo,Kate,Penny,Rose,Mike,Nick,Rich,Tim,Sarah,Sue,Wendy}
@attribute Sex {Male,Female}
@attribute 'Feature 0' numeric
@attribute 'Feature 1' numeric
@attribute 'Feature 2' numeric
@attribute 'Feature 3' numeric
@attribute 'Feature 4' numeric
@attribute 'Feature 5' numeric
@attribute 'Feature 6' numeric
@attribute 'Feature 7' numeric
@attribute 'Feature 8' numeric
@attribute 'Feature 9' numeric
@attribute Class {hid,hId,hEd,hAd,hYd,had,hOd,hod,hUd,hud,hed}

@data
Test,Mike,Male,0.820609,0.460933,0.376468,0.207871,0.463365,0.352513,0.428912,0.531212,0.569131,0.481144,hAd
Test,Rich,Male,0.63911,0.49937,0.305768,0.401743,0.609399,0.294657,0.530272,0.637755,0.438056,0.297789,hAd
Train,David,Male,0.605855,0.46109,0.594946,0.906498,0.271602,0.291495,0.267007,0.790516,0.619097,0.776983,hOd
Test,Rich,Male,0.35644,0.416037,0.535477,0.471474,0.571753,0.372747,0.57585,0.691176,0.342916,0.367035,hed
Test,Rich,Male,0.438876,0.14603,0.433129,0.934496,0.522739,0.921593,0.623129,0.461885,0.316906,0.142718,hid
Train,Penny,Female,0.267213,0.555766,0.563298,0.181458,0.713239,0.48024,0.605442,0.594838,0.055784,0.607932,hUd
Train,Mark,Male,0.26815,0.3661,0.622256,0.493133,0.447196,0.685109,0.478912,0.642557,0.726215,0.64922,hud
Test,Mike,Male,0.682904,0.339792,0.476774,0.361331,0.573522,0.383813,0.318027,0.488595,0.513005,0.419051,hAd
Train,Mark,Male,0.461593,0.476213,0.87953,0.655045,0.237241,0.269997,0.17449,0.587335,0.896646,0.690182,hOd
Train,Andrew,Male,0.544262,0.536389,0.42292,0.552298,0.144012,0.522921,0.67517,0.273409,0.622861,0.415475,had
Test,Sarah,Female,0.644262,0.784499,0.30194,0.28262,0.414351,0.619981,0.586395,0.32473,0.186516,0.853056,hYd
Test,Sue,Female,0.122717,0.382168,0.912711,0.877971,0.588176,0.170724,0.287415,0.356543,0.50308,0.83355,hid
Test,Wendy,Female,0.38103,0.397921,0.618938,0.80692,0.73623,0.622826,0.555442,0.30042,0.164271,0.69961,hId
Test,Wendy,Female,0.400703,0.211405,0.770801,0.86767,0.629106,0.435662,0.188776,0.186675,0.207734,0.904096,hid
Train,Kate,Female,0.598361,0.399653,0.500255,0.494717,0.382769,0.475498,0.468367,0.645258,0.409651,0.352406,had
Train,Rose,Female,0.128806,0.867832,0.507912,0.102483,0.611925,0.408789,0.516327,0.491597,0.088296,0.56632,hUd
