@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Strollers numeric
@attribute Pushmale numeric
@attribute Pushfemale numeric
@attribute Adfemale numeric
@attribute Admale numeric
@attribute Sr.female numeric
@attribute Sr.male numeric
@attribute Boys numeric
@attribute Girls numeric
@attribute Strollmale numeric
@attribute Strollfemale numeric
@attribute Total numeric
@attribute Day {Sat.,Sun.}
@attribute Time numeric
@attribute Observer numeric
@attribute Weather {'?',clear,clear/breezy,clear/sunny,overcast,sunny,'sunny warm','warm sunnu'}
@attribute Cage numeric
@attribute Comments numeric

@data
0.5,0.428571,0.5,1,0.4,0.3,0.25,0.722222,0.375,0.625,0.3,0.652174,Sun.,0.210526,0,sunny,1,1
0.6875,0.714286,0.6,0.933333,0.4,0.5,0.375,0.722222,0.1875,0.75,0.5,0.695652,Sat.,0.526316,0.25,'sunny warm',0.5,6
0.5,0.428571,0.5,0.733333,0.4,0.2,0.125,0.333333,0.75,0.75,0.2,0.391304,Sun.,0.315789,0,sunny,0.5,0
0.5,0.571429,0.4,0.6,0.266667,0,0.125,0.388889,0.6875,0.75,0.3,0.391304,Sun.,0.105263,0.75,clear/sunny,0,0
0.4375,0.428571,0.4,0.6,0.4,0.2,0.25,0.722222,0.625,0.625,0.2,0.478261,Sat.,0.421053,0.75,clear/sunny,0,6
0.6875,0.857143,0.5,0.733333,0.466667,0.3,0.125,0.333333,0.4375,0.875,0.4,0.5,Sat.,0.368421,0.75,sunny,1,1
0.75,1,0.5,0.666667,0.8,0.4,0.125,0.666667,0.5625,0.875,0.5,0.804348,Sat.,?,?,?,1,6
0.6875,0.142857,1,1,0.266667,0.2,0.25,0.555556,0.25,0.375,0.8,0.521739,Sat.,0.236842,0.5,sunny,0,3
0.4375,0.285714,0.5,0.933333,0.533333,0.4,0.5,0.944444,1,0.25,0.5,1,Sat.,0.842105,0.75,sunny,0,0
0.375,0.571429,0.2,0.533333,0.466667,0.3,0.125,0.611111,0.625,0.375,0.3,0.521739,Sat.,0.342105,0.25,sunny,0,2
0.5625,0.428571,0.6,0.533333,0.533333,0.2,0.125,0.611111,0.25,0.5,0.5,0.434783,Sun.,0.605263,0,clear/breezy,0,1
0.75,0.285714,1,0.533333,0.6,0.1,0.125,0.111111,0.625,0.875,0.5,0.434783,Sat.,0.263158,0.5,sunny,1,3
0.375,0.428571,0.3,0.533333,1,0.1,0.125,0.722222,0.4375,0.375,0.4,0.608696,Sun.,0.605263,0.5,clear/breezy,0.5,1
0.3125,0.142857,0.4,0.866667,0.733333,0,0,0.222222,0.5,0,0.5,0.391304,Sun.,0.184211,0,sunny,0.5,0
0.5625,0.571429,0.5,0.266667,0.266667,1,1,0.5,0.25,0.5,0.5,0.478261,Sun.,0.394737,1,sunny,0.5,0
0.375,0.428571,0.3,0.6,0.733333,0.5,0.25,0.166667,0.5625,0.75,0,0.456522,Sat.,0.157895,0.75,sunny,0.5,5
0.125,0.142857,0.1,0.666667,0.066667,0.3,0.5,0.055556,0.125,0.25,0,0,Sat.,0.5,0.25,sunny,0,1
0.5625,0.428571,0.6,0.866667,0.533333,0,0.125,0.611111,0.375,0.5,0.6,0.543478,Sun.,0.421053,0,clear,0.5,0
0.375,0.142857,0.5,0.2,0.666667,0.4,0,0.555556,0.875,0.5,0.2,0.521739,Sat.,0.5,0,clear,0.5,0
0.5625,0.428571,0.6,0.8,0.2,0.3,0.375,0.944444,0.4375,0.375,0.6,0.673913,Sat.,0.157895,0,clear/sunny,1,0
0.25,0.428571,0.1,0.4,0.733333,0.3,0.125,0.944444,0.6875,0.5,0,0.521739,Sat.,0.315789,0.5,sunny,0.5,0
0.5625,0.571429,0.2,0.933333,0.333333,0.2,0.125,1,0.5625,0.75,0.3,0.73913,Sun.,0.394737,0,sunny,0,1
0.4375,0.142857,0.6,0.8,0.2,0.1,0.125,0.277778,0.875,0.5,0.3,0.434783,Sat.,0.368421,0,clear/sunny,0.5,1
0.375,0.428571,0.3,0.6,0.4,0.2,0.375,0.388889,1,0.25,0.4,0.565217,Sun.,0.131579,0,sunny,1,0
0.4375,0.571429,0.3,0.8,0.733333,0.1,0.125,0.333333,0.4375,0.625,0.2,0.478261,Sun.,0.157895,0,sunny,1,0
1,0.285714,0.4,0.533333,0.6,0.4,0,0.5,0.6875,0.5,0.2,0.391304,Sat.,0.342105,0.75,sunny,0,4
0.5,0.571429,0.4,0.266667,0.8,0.1,0.375,0.888889,0.625,0.625,0.3,0.673913,Sat.,0.263158,0,clear/sunny,0,1
0.25,0,0.4,0.466667,0.333333,0.4,0.375,0.666667,0.5,0.25,0.2,0.434783,Sat.,0.605263,0.75,clear/sunny,0.5,2
0.375,0,0.6,0.533333,0.533333,0.4,0.25,0.388889,0.75,0.625,0.1,0.413043,Sun.,0.5,0,clear/breezy,1,0
0.5,0.571429,0.4,0.533333,0.333333,0,0,0.611111,0.6875,0.25,0.6,0.434783,Sat.,0.289474,0.75,clear/sunny,0,4
0.5,0.428571,0.5,0.4,0.733333,0.1,0.25,0.5,0.5,0.5,0.4,0.478261,Sun.,0.342105,0,clear/sunny,1,1
0.8125,0.714286,0.8,0.466667,0.6,0.5,0.625,0.666667,0.0625,1,0.7,0.673913,Sun.,0.394737,0.5,sunny,1,2
0,0,0,0.733333,0.266667,0.2,0.125,0.388889,0.75,0,0,0.304348,Sat.,0.105263,0,clear/sunny,0,0
0.625,0.857143,0.4,0.266667,0.866667,0.3,0.25,0.277778,0.3125,0.5,0.6,0.326087,Sun.,0.315789,0,sunny,0,0
0.4375,0.571429,0.3,0.2,0.333333,0.3,0.375,0.5,0.4375,0.625,0.2,0.304348,Sat.,0.736842,0,clear/sunny,0.5,1
0.25,0.428571,0.1,0.466667,0.4,0.4,0.375,0.555556,0.5625,0.375,0.1,0.565217,Sat.,0.368421,0,clear/sunny,0,0
0.375,0.571429,0.2,0.266667,0,0.2,0.25,0.111111,0.5,0.375,0.3,0.217391,Sun.,0.473684,0,clear/sunny,0.5,0
0.1875,0.285714,0.1,0.266667,0.8,0.3,0,0.666667,0.5625,0.375,0,0.434783,Sat.,0.210526,0,clear/sunny,1,4
0.3125,0.428571,0.2,0.533333,0.466667,0.2,0.125,0.5,0.1875,0.375,0.3,0.282609,Sun.,0,1,sunny,1,0
0.5625,0.571429,0.5,0.933333,0.6,0.1,0.125,0.388889,0.0625,0.5,0.6,0.434783,Sun.,0.263158,0.75,sunny,0.5,1
0.5625,0.571429,0.5,0.2,0.533333,0.3,0.125,0.333333,0,0.25,0.7,0.152174,Sun.,0.078947,1,sunny,1,0
0.6875,0.714286,0.6,0.666667,0.333333,0.3,0.25,0.722222,0.5625,0.5,0.7,0.673913,Sun.,0.394737,0.5,sunny,0.5,1
0.25,0.428571,0.1,0.6,0.6,0.1,0.125,0.166667,0.625,0.25,0.2,0.304348,Sun.,0.210526,0.5,sunny,0,2
0.5,0.428571,0.5,0.733333,0.466667,0.5,0.25,0.166667,0.4375,0.75,0.2,0.195652,Sat.,0.421053,0.25,'sunny warm',1,3
0.25,0.285714,0.2,0.2,0.4,0.7,0.625,0.055556,0.5625,0.125,0.3,0.26087,Sun.,0.052632,0.75,sunny,1,3
0.5,0.714286,0.3,0.066667,0.8,0.2,0.125,0.277778,0.5,0.625,0.3,0.326087,Sun.,0.473684,0.5,sunny,0.5,3
0.75,1,0.5,0.066667,0.8,0.4,0.5,0.444444,0.4375,0.75,0.6,0.543478,Sun.,0.657895,1,sunny,0.5,0
0.5,0.428571,0.5,0.4,0.533333,0.4,0.125,0.388889,0.25,0.75,0.2,0.326087,Sat.,0.184211,0,overcast,1,1
0.625,0.428571,0.7,0.333333,0.4,0.3,0.375,0.277778,0.6875,0.5,0.6,0.478261,Sat.,0.131579,0.5,sunny,0,0
0.4375,0.285714,0.5,1,0.666667,0,0,0.666667,0.8125,0.625,0.3,0.76087,Sat.,0.157895,0.75,sunny,1,3
0.375,0.428571,0.3,0,0.533333,0.1,0.375,0.388889,0.5,0.375,0.3,0.217391,Sun.,0.315789,0.5,sunny,0,2
0.5,0.285714,0.6,0.666667,0.266667,0.1,0.125,0.555556,1,0.625,0.3,0.565217,Sun.,0.315789,0.5,clear,0,4
0.4375,0.142857,0.6,0.733333,0.6,0.6,0.25,0.388889,0.375,0.125,0.6,0.543478,Sun.,0.289474,0,sunny,0.5,0
0.4375,0.428571,0.4,0.533333,0.2,0.2,0.375,0.777778,0.8125,0.5,0.3,0.586957,Sun.,0.210526,0,sunny,0,0
0.25,0.142857,0.3,0.666667,0.4,0.1,0.25,0,0.25,0.5,0.1,0.108696,Sat.,0.105263,0,clear,1,1
0.6875,0.857143,0.3,0.8,0.8,0,0,0.666667,0.375,0.875,0.4,0.652174,Sat.,0.184211,0,clear/sunny,0,1
0.375,0.285714,0.4,0.8,0.066667,0.5,0.375,0.277778,0.5,0.375,1,0.369565,Sun.,0.315789,1,sunny,0,0
0.5625,0.428571,0.6,0.533333,0.6,0.1,0.125,1,0.625,0.5,0.5,0.73913,Sun.,0.578947,0.5,clear/breezy,1,3
0.5625,0.285714,0.7,0.466667,0.133333,0.3,0.125,0.722222,0.25,0.875,0.2,0.304348,Sat.,0.184211,0,overcast,0,2
0.25,0.142857,0.3,0.2,0.666667,0.5,0.125,0.944444,0.5,0.25,0.2,0.5,Sat.,0.342105,0.75,clear/sunny,1,5
0.5625,0.571429,0.5,0.666667,0.533333,0.3,0.125,0.5,0.5,0.625,0.4,0.543478,Sat.,0.473684,0.75,sunny,0.5,3
0.25,0.142857,0.3,0.533333,0.466667,0.8,0.75,0.388889,0.4375,0.375,0.1,0.521739,Sun.,0.184211,1,sunny,1,0
0.4375,0.428571,0.4,0.933333,0.6,0,0,0.555556,0.625,0.5,0.3,0.608696,Sat.,0.578947,0.5,sunny,0.5,1
