@relation JM1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute loc numeric
@attribute v(g) numeric
@attribute ev(g) numeric
@attribute iv(g) numeric
@attribute n numeric
@attribute v numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute e numeric
@attribute b numeric
@attribute t numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute uniq_Op numeric
@attribute uniq_Opnd numeric
@attribute total_Op numeric
@attribute total_Opnd numeric
@attribute branchCount numeric
@attribute defects {false,true}

@data
0.011334,0,0,0,0.020377,0.011473,0.038462,0.047824,0.081382,0.000597,0.011503,0.000597,0.010977,0.002907,0.011186,0,0.038929,0.025341,0.019742,0.021516,0,false
0.008718,0.010661,0,0,0.007582,0.003581,0.030769,0.068317,0.017779,0.000266,0.003711,0.000266,0.009561,0,0.004474,0,0.038929,0.006823,0.007196,0.008275,0.012121,false
0.005231,0.004264,0,0,0.00616,0.002987,0.076923,0.024271,0.041735,0.000079,0.002968,0.000079,0.004603,0,0.008949,0,0.029197,0.012671,0.005535,0.007282,0.004848,true
0.003197,0.002132,0,0,0.003791,0.001681,0.061538,0.028503,0.020025,0.000052,0.001855,0.000052,0.002479,0,0.006711,0,0.03163,0.005848,0.003875,0.003641,0.002424,false
0.002034,0.002132,0,0,0.002725,0.001163,0.107692,0.017527,0.0225,0.000022,0.001113,0.000022,0.001416,0,0.004474,0,0.026764,0.005848,0.002768,0.002648,0.002424,false
0.007556,0.002132,0,0,0.007227,0.003547,0.084615,0.020923,0.057513,0.000081,0.003711,0.000081,0.007082,0.002907,0.008949,0,0.024331,0.015595,0.006089,0.009268,0.002424,true
0.000872,0,0,0,0.000474,0.000099,0.515385,0.003587,0.009354,0,0,0,0.000708,0,0,0,0.007299,0.000975,0.000554,0.000331,0,false
0.005522,0.002132,0,0.002494,0.005568,0.002554,0.1,0.017934,0.048317,0.00005,0.002597,0.00005,0.00602,0,0.002237,0,0.021898,0.011696,0.004982,0.00662,0.002424,false
0.004069,0.002132,0,0.002494,0.004265,0.001925,0.130769,0.013702,0.047685,0.000029,0.001855,0.000029,0.003541,0,0.006711,0,0.021898,0.010721,0.004059,0.004634,0.002424,false
0.054054,0.034115,0.085366,0.014963,0.034119,0.018829,0.015385,0.119895,0.053284,0.002456,0.018924,0.002456,0.028683,0.069767,0.176734,0.009259,0.043796,0.020468,0.03155,0.038729,0.038788,true
0.005812,0.004264,0.012195,0.002494,0.007345,0.003799,0.053846,0.034768,0.037084,0.000144,0.003711,0.000144,0.004249,0.014535,0.004474,0,0.043796,0.012671,0.007565,0.006951,0.004848,false
0.006103,0.004264,0.012195,0,0.006516,0.003078,0.061538,0.03001,0.034803,0.0001,0.002968,0.0001,0.004603,0.005814,0.004474,0.027778,0.029197,0.010721,0.005904,0.007613,0.004848,false
0.000872,0,0,0,0.001066,0.000334,0.253846,0.007174,0.015796,0.000003,0.000371,0.000003,0.000708,0,0,0,0.014599,0.001949,0.001292,0.000662,0,false
0.006393,0.004264,0,0.004988,0.005568,0.00247,0.069231,0.025251,0.033188,0.000068,0.002597,0.000068,0.004249,0.014535,0.008949,0,0.024331,0.008772,0.005166,0.006289,0.004848,false
0.012787,0.017058,0.018293,0.01995,0.01777,0.010775,0.038462,0.049522,0.073836,0.00058,0.010761,0.00058,0.013456,0,0.004474,0.027778,0.053528,0.033138,0.015867,0.021185,0.01697,true
0.047951,0.072495,0.04878,0.05985,0.06658,0.046385,0.023077,0.07824,0.201113,0.003948,0.046382,0.003948,0.051346,0.011628,0.033557,0,0.053528,0.077973,0.059779,0.078782,0.082424,false
0.006393,0.006397,0,0.007481,0.007464,0.003368,0.069231,0.027499,0.04156,0.000101,0.00334,0.000101,0.005666,0.008721,0.002237,0.009259,0.024331,0.009747,0.00738,0.007613,0.004848,false
0.005231,0.004264,0.012195,0.002494,0.00616,0.003023,0.053846,0.034242,0.029959,0.000113,0.002968,0.000113,0.005312,0,0.004474,0,0.036496,0.010721,0.00572,0.006951,0.004848,false
0.014821,0.006397,0.012195,0.004988,0.007582,0.003922,0.061538,0.031396,0.042402,0.000134,0.004082,0.000134,0.007082,0.055233,0.020134,0.018519,0.036496,0.015595,0.006642,0.009268,0.007273,true
0.002034,0.004264,0.012195,0.002494,0.002251,0.000918,0.130769,0.014347,0.02171,0.000014,0.000742,0.000014,0.001771,0,0.002237,0,0.021898,0.005848,0.00203,0.002648,0.004848,false
0.001162,0,0,0,0.000948,0.000256,0.515385,0.003587,0.024202,0.000001,0.000371,0.000001,0.001062,0,0,0,0.007299,0.002924,0.000923,0.000993,0,false
0.003487,0.002132,0,0.002494,0.004976,0.002382,0.123077,0.015375,0.052582,0.00004,0.002226,0.00004,0.003895,0,0,0,0.024331,0.013645,0.004428,0.005958,0.002424,false
0.00465,0.006397,0.012195,0,0.004739,0.002238,0.053846,0.03362,0.022588,0.000082,0.002226,0.000082,0.004603,0,0.004474,0,0.036496,0.007797,0.004613,0.004965,0.007273,false
0.010753,0.006397,0,0.004988,0.014809,0.008172,0.053846,0.035485,0.078135,0.000315,0.008163,0.000315,0.009915,0.008721,0.011186,0,0.034063,0.024366,0.013284,0.017544,0.007273,false
0.020052,0,0,0,0.053311,0.035388,0.046154,0.040579,0.295851,0.001562,0.03525,0.001562,0.018414,0,0.035794,0,0.029197,0.068226,0.046494,0.065541,0,true
0.000872,0,0,0,0.001066,0.000334,0.307692,0.005978,0.018955,0.000002,0.000371,0.000002,0.000708,0,0,0,0.012165,0.002924,0.001107,0.000993,0,false
0.007847,0.008529,0.012195,0.007481,0.008885,0.004869,0.084615,0.022621,0.073046,0.00012,0.004824,0.00012,0.00779,0,0.008949,0,0.036496,0.022417,0.008487,0.009599,0.009697,false
0.011625,0.006397,0.012195,0.004988,0.006871,0.003332,0.076923,0.024414,0.046281,0.000089,0.00334,0.000089,0.007082,0.026163,0.017897,0.018519,0.026764,0.013645,0.005904,0.008606,0.007273,true
0.007265,0.023454,0.067073,0.027431,0.016823,0.009081,0.030769,0.055476,0.05553,0.000548,0.008905,0.000548,0.008144,0,0.002237,0,0.038929,0.019493,0.015498,0.019199,0.026667,false
0.010171,0.004264,0.012195,0.002494,0.009714,0.005072,0.046154,0.038259,0.044982,0.000211,0.005195,0.000211,0.008144,0,0.024609,0,0.038929,0.015595,0.009225,0.010593,0.004848,false
0.003778,0.002132,0,0,0.002488,0.000961,0.161538,0.011167,0.029222,0.000012,0.001113,0.000012,0.003895,0,0.002237,0,0.017032,0.005848,0.002399,0.002648,0.002424,false
0.004359,0.002132,0,0.002494,0.004502,0.002031,0.084615,0.021521,0.03203,0.000048,0.001855,0.000048,0.003895,0,0.004474,0,0.029197,0.007797,0.004797,0.003972,0.002424,false
0.004359,0.004264,0.012195,0.002494,0.007108,0.003642,0.069231,0.027499,0.04493,0.000109,0.003711,0.000109,0.003895,0,0.006711,0,0.036496,0.01462,0.006827,0.007613,0.004848,false
0.015984,0.008529,0,0.007481,0.018126,0.010394,0.038462,0.048613,0.072519,0.00055,0.01039,0.00055,0.01381,0.023256,0.013423,0,0.043796,0.026316,0.016974,0.020192,0.009697,false
0.008718,0.010661,0.018293,0.009975,0.012084,0.006669,0.030769,0.054113,0.041806,0.000393,0.006679,0.000393,0.008499,0,0.011186,0,0.048662,0.018519,0.010886,0.014234,0.012121,false
0.016274,0.004264,0,0.004988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004848,false
0.007265,0.004264,0,0,0.007937,0.004067,0.076923,0.024701,0.055846,0.000109,0.004082,0.000109,0.005312,0.011628,0.011186,0,0.029197,0.017544,0.006642,0.010262,0.004848,false
0.018309,0.012793,0,0.002494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014545,true
0.002616,0.002132,0,0.002494,0.002251,0.000895,0.092308,0.019369,0.015673,0.000019,0.000742,0.000019,0.002479,0,0.002237,0,0.021898,0.004873,0.001845,0.002979,0.002424,false
0.003487,0.002132,0,0.002494,0.004383,0.002041,0.107692,0.016738,0.041367,0.000037,0.001855,0.000037,0.002833,0,0.004474,0,0.026764,0.010721,0.004244,0.004634,0.002424,false
0.004069,0,0,0,0.007464,0.003705,0.061538,0.030894,0.040682,0.000125,0.003711,0.000125,0.003895,0,0.004474,0,0.034063,0.012671,0.007196,0.007944,0,false
0.026736,0.029851,0.036585,0.027431,0.03945,0.025496,0.023077,0.090913,0.095142,0.002522,0.025603,0.002522,0.025496,0,0.035794,0.027778,0.060827,0.046784,0.034502,0.048328,0.033939,true
0.032549,0.031983,0.04878,0.022444,0.041464,0.025778,0.015385,0.098709,0.088596,0.002768,0.025603,0.002768,0.033994,0.017442,0.020134,0,0.055961,0.038012,0.038745,0.046342,0.036364,true
0.007265,0.010661,0,0.012469,0.012439,0.00631,0.046154,0.037255,0.057426,0.000256,0.006308,0.000256,0.008144,0,0.002237,0,0.026764,0.017544,0.009963,0.016882,0.012121,false
0.000872,0.004264,0.012195,0,0.002488,0.001039,0.1,0.018412,0.019148,0.000021,0.001113,0.000021,0.000708,0,0,0,0.026764,0.004873,0.002583,0.002317,0.004848,true
0.004359,0,0,0,0.004502,0.002183,0.169231,0.010689,0.069272,0.000025,0.002226,0.000025,0.004249,0.002907,0.004474,0.009259,0.019465,0.016569,0.003506,0.006289,0,true
0.015693,0.006397,0,0.002494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007273,false
0.002034,0.002132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002424,false
0.005522,0.004264,0.012195,0.002494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004848,false
0.002325,0,0,0,0.002014,0.000754,0.269231,0.006839,0.037436,0.000006,0.000742,0.000006,0.001771,0,0.004474,0,0.012165,0.006823,0.001661,0.002648,0,false
0.011334,0.01919,0.04878,0.01995,0.01469,0.008424,0.030769,0.0544,0.052529,0.000498,0.008534,0.000498,0.01204,0,0.004474,0,0.051095,0.023392,0.013284,0.017213,0.021818,false
0.032258,0.081023,0.231707,0.074813,0.062315,0.036721,0.007692,0.159756,0.077995,0.006381,0.036735,0.006381,0.036119,0,0.017897,0,0.046229,0.030214,0.056827,0.072162,0.092121,false
0.00959,0.002132,0,0.002494,0.009359,0.004841,0.1,0.01858,0.088367,0.000098,0.004824,0.000098,0.006374,0.020349,0.01566,0,0.021898,0.021442,0.007565,0.012579,0.002424,false
0.000872,0,0,0,0.000592,0.000144,0.515385,0.003587,0.013584,0.000001,0,0.000001,0.000708,0,0,0,0.007299,0.001949,0.000554,0.000662,0,false
0.003778,0.002132,0,0.002494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002424,false
0.015112,0.012793,0.02439,0.012469,0.015164,0.008644,0.038462,0.044405,0.066025,0.000418,0.008534,0.000418,0.015227,0,0.017897,0,0.041363,0.026316,0.012731,0.01953,0.014545,false
0.00465,0.004264,0,0.002494,0.00699,0.003649,0.069231,0.02604,0.047545,0.000103,0.003711,0.000103,0.004603,0,0.004474,0,0.034063,0.017544,0.00572,0.009268,0.004848,false
0.00959,0.004264,0,0.004988,0.011255,0.005524,0.061538,0.030631,0.061164,0.000184,0.005566,0.000184,0.005666,0,0.035794,0,0.024331,0.015595,0.009963,0.013572,0.004848,false
0.155769,0.036247,0,0.037406,0.255657,0.205367,0.015385,0.149426,0.466285,0.033383,0.205195,0.033383,0.13279,0.127907,0.255034,0.018519,0.058394,0.178363,0.222325,0.315458,0.041212,true
0.006975,0.002132,0,0,0.003673,0.001657,0.084615,0.022214,0.025326,0.00004,0.001484,0.00004,0.003541,0.023256,0.008949,0,0.03163,0.006823,0.003875,0.00331,0.002424,false
0.010753,0.006397,0,0,0.024879,0.013824,0.030769,0.057939,0.080944,0.000871,0.013729,0.000871,0.010269,0,0.01566,0,0.034063,0.025341,0.02214,0.029791,0.007273,true
0.010462,0.002132,0,0,0.01623,0.008828,0.053846,0.034935,0.085735,0.000335,0.008905,0.000335,0.010269,0,0.013423,0,0.034063,0.022417,0.016421,0.015889,0.002424,false
0.007265,0.070362,0.20122,0,0.03945,0.018092,0.007692,0.248685,0.024676,0.004894,0.018182,0.004894,0.007082,0.005814,0.004474,0,0.034063,0.006823,0.042251,0.034426,0.08,true
0.001744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0.000872,0,0,0,0.000474,0.000099,0.515385,0.003587,0.009354,0,0,0,0.000708,0,0,0,0.007299,0.000975,0.000554,0.000331,0,false
0.000872,0,0,0,0.000592,0.000144,0.515385,0.003587,0.013584,0.000001,0,0.000001,0.000708,0,0,0,0.007299,0.001949,0.000554,0.000662,0,false
0.013368,0.027719,0.030488,0.012469,0.027011,0.015489,0.015385,0.122549,0.042876,0.002065,0.015584,0.002065,0.014518,0.005814,0.004474,0,0.060827,0.019493,0.026937,0.027143,0.031515,false
0.003197,0.006397,0.018293,0.004988,0.00545,0.002792,0.092308,0.019871,0.04765,0.00006,0.002968,0.00006,0.002833,0,0.004474,0,0.034063,0.015595,0.004982,0.006289,0.007273,true
0.018599,0,0,0,0.022272,0.013383,0.084615,0.021282,0.213346,0.00031,0.013358,0.00031,0.014873,0.023256,0.029083,0,0.021898,0.04386,0.018266,0.02946,0,false
0.006975,0.002132,0,0.002494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002424,false
0.000872,0,0,0,0.000474,0.000099,0.515385,0.003587,0.009354,0,0,0,0.000708,0,0,0,0.007299,0.000975,0.000554,0.000331,0,false
0.011334,0.017058,0,0.017456,0.013387,0.006925,0.061538,0.029029,0.080908,0.000219,0.00705,0.000219,0.009915,0,0.004474,0.074074,0.024331,0.020468,0.011439,0.016882,0.019394,false
0.002325,0.002132,0,0,0.006397,0.003063,0.069231,0.026303,0.039506,0.000088,0.002968,0.000088,0.002125,0,0.002237,0,0.029197,0.011696,0.005904,0.007282,0.002424,false
0.004069,0.002132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002424,false
0.0093,0.002132,0,0.002494,0.008885,0.004552,0.107692,0.017432,0.088648,0.000086,0.004453,0.000086,0.006374,0.011628,0.020134,0,0.021898,0.020468,0.007565,0.011255,0.002424,false
0.00465,0.010661,0.012195,0.002494,0.007345,0.003369,0.038462,0.050502,0.022623,0.000185,0.00334,0.000185,0.004603,0,0.002237,0,0.03163,0.007797,0.006642,0.008606,0.012121,false
0.002906,0.002132,0,0,0.00154,0.00051,0.307692,0.005978,0.028923,0.000003,0.000371,0.000003,0.003187,0,0,0,0.012165,0.003899,0.001661,0.001324,0.002424,false
0.002325,0.002132,0,0,0.002606,0.001089,0.138462,0.013152,0.028081,0.000016,0.001113,0.000016,0.002125,0,0.002237,0,0.026764,0.004873,0.003137,0.001655,0.002424,false
0.003778,0.002132,0,0.002494,0.004383,0.002041,0.107692,0.016738,0.041367,0.000037,0.001855,0.000037,0.002833,0,0.006711,0,0.026764,0.010721,0.004244,0.004634,0.002424,false
0.004359,0,0,0,0.009359,0.004358,0.053846,0.035868,0.041226,0.00017,0.004453,0.00017,0.004249,0,0.004474,0,0.026764,0.010721,0.009041,0.00993,0,false
0.00494,0,0,0,0.003909,0.001554,0.1,0.01913,0.027572,0.000032,0.001484,0.000032,0.002833,0,0.008949,0,0.019465,0.005848,0.003875,0.003972,0,false
0.004359,0.002132,0,0.002494,0.00545,0.002537,0.1,0.018938,0.045474,0.000052,0.002597,0.000052,0.004603,0,0.002237,0,0.024331,0.011696,0.004982,0.006289,0.002424,false
0.01424,0.008529,0.012195,0.009975,0.016349,0.009022,0.038462,0.044835,0.068272,0.00044,0.008905,0.00044,0.012394,0.014535,0.017897,0,0.036496,0.023392,0.014391,0.019861,0.009697,false
0.003778,0,0,0,0.013861,0.006357,0.069231,0.026781,0.080522,0.000185,0.006308,0.000185,0.003541,0,0.004474,0,0.014599,0.01462,0.011255,0.018537,0,false
0.008428,0.006397,0,0.002494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007273,false
0.030514,0.046908,0,0.009975,0.029499,0.017383,0.015385,0.097131,0.060708,0.001837,0.01744,0.001837,0.01983,0.090116,0.03132,0.027778,0.06326,0.023392,0.032103,0.024826,0.050909,false
0.001744,0,0,0,0.000355,0.000059,0,0,0,0,0,0,0.000708,0.002907,0,0,0.007299,0,0.000554,0,0,false
0.005231,0,0,0,0.002725,0.001138,0.169231,0.01076,0.035873,0.000013,0.001113,0.000013,0.001771,0.023256,0.008949,0,0.019465,0.007797,0.002583,0.002979,0,false
0.01424,0.002132,0,0.002494,0.012321,0.006751,0.061538,0.028599,0.080084,0.00021,0.006679,0.00021,0.009561,0.031977,0.022371,0,0.03163,0.024366,0.010701,0.015227,0.002424,true
0.011043,0.025586,0.073171,0.022444,0.014098,0.007987,0.046154,0.039096,0.069325,0.00034,0.008163,0.00034,0.010977,0.002907,0.008949,0.009259,0.041363,0.025341,0.012731,0.016551,0.029091,false
