@relation page-blocks-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute height numeric
@attribute lenght numeric
@attribute area numeric
@attribute eccen numeric
@attribute p_black numeric
@attribute p_and numeric
@attribute mean_tr numeric
@attribute blackpix numeric
@attribute blackand numeric
@attribute wb_trans numeric
@attribute class {1,2,3,4,5}

@data
0.008717,0.023551,0.000729,0.003246,0.425105,1,0.000194,0.001333,0.002276,0.007786,1
0.009963,0.092391,0.003202,0.010747,0.267932,0.69936,0.000133,0.00412,0.007133,0.026472,1
0.011208,0.134058,0.00516,0.013954,0.396624,0.902985,0.000258,0.009512,0.014634,0.0436,1
0.008717,0.182971,0.005619,0.02373,0.168776,0.876333,0.00005,0.005029,0.015479,0.042666,1
0.009963,0.115942,0.004014,0.013436,0.433544,0.894456,0.000335,0.007998,0.011273,0.031454,1
0,0.190217,0.000688,0.197382,0.850211,1,0.00286,0.002545,0.002146,0.001557,2
0.008717,0.052536,0.001618,0.00697,0.349156,0.981876,0.000178,0.002575,0.004965,0.014949,1
0.008717,0.072464,0.002229,0.009531,0.254219,0.863539,0.000087,0.002696,0.006049,0.020554,1
0.014944,0.40942,0.020446,0.032505,0.183544,0.826226,0.000426,0.020024,0.053397,0.066646,1
0.008717,0.01087,0.00034,0.001616,0.359705,0.942431,0.000202,0.000454,0.000997,0.003114,1
0.008717,0.333333,0.01023,0.043051,0.193038,0.636461,0.000166,0.01033,0.020986,0.059172,1
0,0.023551,0.000049,0.026058,0.849156,1,0.00222,0.000151,0.000152,0,2
0.028643,0.282609,0.026121,0.01217,0.899789,0.955224,0.0035,0.10312,0.07809,0.057614,1
0.011208,0.030797,0.001202,0.003339,0.267932,0.591684,0.000303,0.001454,0.002255,0.00654,1
0.011208,0.021739,0.000854,0.002408,0.245781,0.877399,0.000123,0.000909,0.002341,0.006851,1
0.009963,0.177536,0.006139,0.020471,0.431435,0.899787,0.000333,0.012239,0.017344,0.04796,1
0.004981,0.03442,0.000646,0.007436,0.440928,0.712154,0.000273,0.001212,0.001431,0.005917,1
0.012453,0.043478,0.001861,0.00422,0.236287,0.604478,0.000182,0.00209,0.003599,0.012146,1
0,0.061594,0.000194,0.065165,0.397679,1,0.000014,0.000242,0.000607,0.004049,1
0.008717,0.028986,0.000896,0.003944,0.317511,0.787846,0.000202,0.001242,0.002211,0.007163,1
0.009963,0.028986,0.001014,0.003505,0.60654,0.916844,0.00109,0.002696,0.002905,0.00436,1
0.006227,0.005435,0.000118,0.001229,0.648734,1,0.001413,0.000273,0.000369,0.000311,1
0.007472,0.259058,0.006952,0.038295,0.042194,0.343284,0.000048,0.002605,0.008238,0.023046,1
0.004981,0.023551,0.000438,0.005201,0.292194,0.466951,0.000315,0.000485,0.000607,0.002491,1
0.008717,0.012681,0.000396,0.001849,0.191983,0.283582,0.000807,0.000242,0.000304,0.000623,1
0.009963,0.173913,0.006014,0.020058,0.291139,0.915778,0.000155,0.008452,0.017279,0.05014,1
0.008717,0.619565,0.019009,0.07983,0.081224,0.578891,0.00004,0.010512,0.035858,0.091249,1
0.006227,0.050725,0.00116,0.008987,0.254219,0.914712,0.000101,0.001333,0.003317,0.010277,1
0.006227,0.054348,0.001243,0.009609,0.155063,0.536247,0.000172,0.000909,0.002125,0.005917,1
0.003736,0.166667,0.002535,0.043284,0.274262,0.747335,0.000133,0.003302,0.006005,0.021489,1
0.007472,0.134058,0.003598,0.019939,0.222574,0.690832,0.000105,0.003968,0.007935,0.028029,1
0.006227,0.014493,0.000326,0.00278,0.257384,0.782516,0.000046,0.000273,0.00078,0.003737,1
0.001245,0.11413,0.00084,0.059578,0.505274,0.558635,0.00323,0.001848,0.001474,0.000934,2
0.011208,0.461957,0.017731,0.04766,0.336498,0.764392,0.000394,0.028597,0.043099,0.099969,1
0.009963,0.15942,0.005514,0.018402,0.261603,0.529851,0.000238,0.007058,0.009561,0.033946,1
0.008717,0.13587,0.004174,0.017678,0.35443,0.896588,0.000224,0.006937,0.01175,0.034569,1
0.009963,0.023551,0.000826,0.002885,0.296414,0.890192,0.000297,0.00106,0.002298,0.004983,1
0.007472,0.047101,0.001264,0.00717,0.118143,0.357143,0.000319,0.000727,0.001474,0.003426,1
0.004981,0.021739,0.000403,0.004829,0.204641,0.819829,0.000067,0.000273,0.001019,0.003426,1
0.007472,0.115942,0.003111,0.01728,0.171941,0.784648,0.000077,0.002757,0.007718,0.0218,1
0.004981,0.056159,0.001063,0.011905,0.387131,0.979744,0.000063,0.001818,0.003252,0.015571,1
0.009963,0.123188,0.004264,0.014265,0.306962,0.867804,0.000151,0.006241,0.011642,0.037683,1
0.009963,0.139493,0.004827,0.016127,0.292194,0.889126,0.000222,0.006786,0.013485,0.033946,1
0.008717,0.108696,0.003341,0.014186,0.163502,0.789979,0.000063,0.002848,0.008347,0.023669,1
0.012453,0.42029,0.017752,0.039433,0.203586,0.65565,0.000161,0.018843,0.037441,0.108377,1
0.004981,0.076087,0.001445,0.016002,0.224684,0.771855,0.000067,0.001515,0.003512,0.01308,1
0.007472,0.065217,0.00175,0.009831,0.494726,0.950959,0.000432,0.003878,0.005203,0.01308,1
0.014944,0.065217,0.003292,0.005287,0.28481,0.991471,0.000509,0.004483,0.010189,0.013391,1
0.009963,0.056159,0.001952,0.006609,0.380802,0.992537,0.000145,0.003393,0.006049,0.021177,1
0.006227,0.039855,0.00091,0.007125,0.342827,0.852878,0.000275,0.001363,0.002428,0.00654,1
0.007472,0.054348,0.001458,0.008235,0.241561,0.660981,0.000113,0.001636,0.003057,0.011834,1
0.012453,0.094203,0.004,0.008959,0.207806,0.716418,0.000188,0.004181,0.009127,0.023046,1
0.013699,0.211957,0.009786,0.018298,0.225738,0.716418,0.0002,0.011209,0.022373,0.058549,1
0.007472,0.221014,0.005931,0.032708,0.091772,0.652452,0.000052,0.003423,0.012422,0.029274,1
0.008717,0.047101,0.001452,0.006272,0.194093,0.664179,0.000063,0.001333,0.003057,0.011834,1
0.009963,0.288043,0.009952,0.033094,0.171941,0.78678,0.000117,0.009179,0.024823,0.060729,1
0.009963,0.163043,0.005639,0.018816,0.162447,0.71322,0.000075,0.004908,0.012834,0.037994,1
0.008717,0.025362,0.000785,0.003479,0.208861,0.795309,0.00023,0.000697,0.001951,0.004049,1
0.009963,0.050725,0.001764,0.005987,0.272152,0.665245,0.000228,0.002242,0.003729,0.011523,1
0.230386,0.847826,0.605802,0.004683,0.343882,0.497868,0.004298,1,1,0.460916,3
0.001245,0.971014,0.00741,0.499993,0.600211,0.730277,0.003165,0.019994,0.017235,0.012146,2
0.013699,0.001812,0.000118,0.000298,0.60443,0.644989,0.002826,0.000242,0.000195,0,4
0.009963,0.059783,0.002077,0.007022,0.300633,0.804904,0.000164,0.002908,0.005268,0.01744,1
0,0.072464,0.000236,0.076338,0.922996,1,0.002356,0.000939,0.000737,0.000623,2
