@relation letter-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute x-box numeric
@attribute y-box numeric
@attribute width numeric
@attribute high numeric
@attribute onpix numeric
@attribute x-bar numeric
@attribute y-bar numeric
@attribute x2bar numeric
@attribute y2bar numeric
@attribute xybar numeric
@attribute x2ybr numeric
@attribute xy2br numeric
@attribute x-ege numeric
@attribute xegvy numeric
@attribute y-ege numeric
@attribute yegvx numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
0.2,0.133333,0.266667,0.2,0.2,0.466667,0.466667,0.333333,0.333333,0.4,0.333333,0.4,0.2,0.466667,0.266667,0.533333,R
0.2,0.4,0.333333,0.266667,0.133333,0.466667,0.466667,0.2,0.333333,1,0.4,0.6,0.066667,0.4,0.066667,0.466667,J
0.333333,0.666667,0.466667,0.533333,0.466667,0.466667,0.533333,0.466667,0.6,0.466667,0.4,0.733333,0.2,0.533333,0.4,0.533333,E
0.333333,0.666667,0.333333,0.533333,0.266667,0.4,0.733333,0.266667,0.4,0.733333,0.6,0.333333,0.266667,0.733333,0.266667,0.266667,T
0.2,0.4,0.333333,0.266667,0.2,0.266667,0.6,0.2,0.2,0.666667,0.666667,0.6,0.333333,0.533333,0,0.533333,N
0.533333,0.533333,0.733333,0.466667,0.733333,0.4,0.533333,0.4,0.4,0.4,0.4,0.466667,0.666667,0.6,0.6,0.6,W
0.133333,0.2,0.2,0.133333,0.066667,0.466667,0.466667,0.333333,0.4,0.666667,0.4,0.666667,0.133333,0.6,0.2,0.6,G
0.4,0.666667,0.6,0.533333,0.4,0.733333,0.533333,0.2,0.333333,0.666667,0.066667,0.266667,0.466667,0.733333,0.133333,0.533333,N
0.133333,0.4,0.2,0.266667,0.133333,0.533333,0.533333,0.4,0.333333,0.4,0.466667,0.6,0.133333,0.466667,0.333333,0.733333,G
0.266667,0.266667,0.4,0.4,0.4,0.666667,0.6,0.333333,0.2,0.466667,0.466667,0.466667,0.333333,0.666667,0.4,0.333333,Y
0.333333,0.333333,0.4,0.466667,0.2,0.333333,0.466667,0.666667,0.666667,0.4,0.4,0.4,0.2,0.533333,0.266667,0.533333,D
0.266667,0.666667,0.333333,0.533333,0.466667,0.466667,0.533333,0.6,0.4,0.466667,0.4,0.466667,0.133333,0.466667,0.533333,0.666667,B
0.2,0.466667,0.266667,0.333333,0.2,0.4,0.333333,0.333333,0.4,0.4,0.4,0.6,0.133333,0.6,0.2,0.466667,G
0.066667,0,0.066667,0,0,0.466667,0.466667,0.2,0.333333,0.333333,0.4,0.533333,0,0.533333,0.466667,0.533333,S
0.2,0.6,0.266667,0.466667,0.2,0.466667,0.466667,0.266667,0.266667,0.466667,0.4,0.533333,0.133333,0.533333,0.266667,0.533333,X
0.066667,0.133333,0.133333,0.133333,0.066667,0.533333,0.533333,0.266667,0.133333,0.533333,0.466667,0.6,0.133333,0.6,0.2,0.6,Q
0.133333,0.266667,0.266667,0.4,0.066667,0.466667,0.666667,0.066667,0.2,0.466667,0.8,0.533333,0.066667,0.733333,0,0.533333,Y
0.4,0.733333,0.4,0.533333,0.133333,0.2,0.8,0.333333,0.4,0.866667,0.8,0.4,0.133333,0.733333,0.133333,0.4,Y
0.133333,0.266667,0.133333,0.2,0.133333,0.4,0.666667,0.266667,0.333333,0.666667,0.6,0.333333,0.133333,0.6,0.2,0.4,F
0.2,0.466667,0.266667,0.333333,0.133333,0.2,0.6,0.4,0.466667,0.733333,0.733333,0.733333,0.066667,0.533333,0.133333,0.4,C
0.133333,0.533333,0.2,0.4,0.133333,0.666667,0.466667,0,0.466667,0.733333,0.2,0.4,0,0.466667,0.066667,0.466667,J
0.2,0.2,0.266667,0.133333,0.066667,0.2,0.8,0.266667,0.2,0.733333,0.733333,0.466667,0.133333,0.733333,0.066667,0.533333,V
0.333333,0.6,0.466667,0.466667,0.466667,0.333333,0.6,0.4,0.266667,0.533333,0.466667,0.6,0.333333,0.6,0.466667,0.666667,P
0.266667,0.733333,0.4,0.533333,0.133333,0.533333,0.333333,0.2,0.066667,0.466667,0,0.533333,0.2,0.466667,0.133333,0.533333,A
0.333333,0.6,0.466667,0.4,0.266667,0.6,0.466667,0.2,0.333333,0.666667,0.266667,0.4,0.333333,0.533333,0.066667,0.466667,N
0.133333,0.466667,0.266667,0.266667,0.066667,0.533333,0.333333,0.2,0.066667,0.466667,0,0.533333,0.133333,0.466667,0.133333,0.533333,A
0.4,0.6,0.533333,0.466667,0.333333,0.4,0.466667,0.266667,0.466667,0.666667,0.666667,0.6,0.133333,0.6,0.333333,0.333333,S
0.133333,0.066667,0.2,0.066667,0.066667,0.466667,0.333333,0.733333,0.333333,0.466667,0.933333,0.533333,0.2,0.666667,0,0.533333,U
0.4,0.8,0.4,0.4,0.266667,0.4,0.533333,0.333333,0.466667,0.6,0.4,0.4,0.333333,0.6,0.466667,0.333333,D
0.133333,0,0.2,0.066667,0,0.466667,0.6,0.266667,0.133333,0.466667,0.866667,0.533333,0.133333,0.666667,0,0.533333,V
0.466667,0.666667,0.6,0.533333,0.466667,0.266667,0.6,0.266667,0.533333,0.8,0.666667,0.6,0.2,0.533333,0.333333,0.266667,E
0.266667,0.6,0.466667,0.466667,0.333333,0.666667,0.2,0.066667,0.133333,0.533333,0.2,0.6,0.266667,0.333333,0.2,0.466667,A
0.266667,0.533333,0.333333,0.4,0.133333,0.333333,0.466667,0.466667,0.666667,0.466667,0.333333,0.8,0.066667,0.6,0.266667,0.6,C
0.066667,0,0.133333,0,0,0.466667,0.933333,0.066667,0.266667,0.466667,0.666667,0.533333,0,0.533333,0,0.533333,T
0.4,0.6,0.4,0.466667,0.4,0.2,0.8,0.133333,0.133333,0.666667,0.6,0.533333,0.4,0.733333,0.133333,0.466667,W
0.333333,0.666667,0.333333,0.533333,0.266667,0.533333,0.4,0.533333,0.333333,0.666667,0.266667,0.533333,0.2,0.533333,0.2,0.533333,O
0.266667,0.466667,0.333333,0.333333,0.333333,0.4,0.466667,0.333333,0.466667,0.466667,0.4,0.666667,0.4,0.533333,0.2,0.6,H
0.2,0.533333,0.2,0.4,0.066667,0,0.066667,0.333333,0.4,0,0,0.466667,0,0.533333,0,0.533333,L
0.133333,0.266667,0.266667,0.2,0.133333,0.6,0.466667,0.2,0.333333,0.666667,0.266667,0.4,0.133333,0.466667,0.2,0.6,R
0.266667,0.733333,0.333333,0.533333,0.2,0.466667,0.466667,1,0.133333,0.266667,0.4,0.533333,0.4,0.533333,0,0.533333,N
0.4,0.733333,0.466667,0.533333,0.266667,0.333333,0.466667,0.666667,0.666667,0.466667,0.4,0.333333,0.2,0.533333,0.266667,0.533333,D
0.2,0.266667,0.266667,0.466667,0.133333,0.2,0.466667,0.466667,0.2,0.466667,0.466667,0.733333,0.2,0.533333,0.2,0.666667,K
0.2,0.466667,0.266667,0.4,0.133333,0.533333,0.466667,0.533333,0.4,0.4,0.333333,0.6,0.2,0.533333,0.266667,0.533333,Q
0.333333,0.733333,0.533333,0.533333,0.466667,0.466667,0.466667,0.2,0.533333,0.333333,0.466667,0.666667,0.2,0.533333,0.4,0.533333,X
0.266667,0.466667,0.266667,0.333333,0.266667,0.466667,0.533333,0.466667,0.266667,0.6,0.466667,0.533333,0.2,0.533333,0.2,0.533333,O
0.266667,0.133333,0.333333,0.2,0.133333,0.466667,0.533333,0.4,0.533333,0.466667,0.666667,0.6,0.2,0.6,0.066667,0.533333,U
0.266667,0.466667,0.333333,0.333333,0.133333,0.466667,0.4,0.466667,0.6,0.4,0.333333,0.666667,0.066667,0.533333,0.4,0.733333,G
0.266667,0.466667,0.4,0.333333,0.2,0.333333,0.333333,0.333333,0.466667,0.4,0.333333,0.6,0.133333,0.666667,0.266667,0.466667,G
0.066667,0.533333,0,0.4,0.066667,0.466667,0.466667,0.333333,0.2,0.466667,0.4,0.533333,0,0.533333,0,0.533333,I
0.266667,0.733333,0.333333,0.533333,0.133333,0.333333,0.466667,0.466667,0.666667,0.466667,0.466667,0.866667,0.066667,0.533333,0.266667,0.6,C
0.066667,0.2,0.2,0.133333,0.133333,0.533333,0.466667,0.2,0.333333,0.666667,0.333333,0.466667,0.133333,0.533333,0.266667,0.6,B
0.266667,0.4,0.4,0.266667,0.2,0.533333,0.533333,0.266667,0.066667,0.466667,0.6,0.533333,0.466667,0.666667,0,0.533333,W
0.2,0.666667,0.333333,0.466667,0.4,0.6,0.4,0.2,0.266667,0.533333,0.333333,0.333333,0.4,0.466667,0.333333,0.333333,I
0.133333,0.466667,0.2,0.333333,0.2,0.533333,0.466667,0.333333,0.466667,0.333333,0.4,0.4,0,0.533333,0.533333,0.533333,S
0.2,0.4,0.333333,0.266667,0.133333,0.466667,0.8,0.2,0.266667,0.533333,0.8,0.533333,0.2,0.666667,0.066667,0.533333,V
0.533333,0.8,0.333333,0.4,0.2,0.533333,0.466667,0.4,0.333333,0.6,0.266667,0.466667,0.333333,0.6,0.333333,0.533333,O
0.266667,0.666667,0.266667,0.466667,0.2,0.333333,0.733333,0.6,0.266667,0.466667,0.2,0.6,0.2,0.466667,0.4,0.733333,R
0.2,0.333333,0.333333,0.466667,0.066667,0.6,0.666667,0.133333,0.133333,0.333333,0.8,0.533333,0.066667,0.733333,0,0.533333,Y
0.133333,0.4,0.2,0.266667,0.133333,0.2,0.533333,0.333333,0.533333,0.466667,0.4,0.866667,0,0.533333,0.4,0.666667,E
0.2,0.466667,0.266667,0.333333,0.2,0.333333,0.6,0.4,0.266667,0.533333,0.466667,0.6,0.333333,0.533333,0.066667,0.466667,N
0.2,0.2,0.266667,0.133333,0.066667,0.266667,0.533333,0.266667,0.4,0.733333,0.733333,0.6,0.2,0.6,0,0.466667,U
0.266667,0.466667,0.333333,0.333333,0.2,0.6,0.533333,0.2,0.333333,0.8,0.266667,0.266667,0.133333,0.6,0.2,0.6,P
0.066667,0,0.066667,0.066667,0.066667,0.4,0.6,0.466667,0.2,0.466667,0.333333,0.533333,0.133333,0.466667,0.266667,0.666667,R
0.266667,0.666667,0.466667,0.533333,0.4,0.466667,0.666667,0.133333,0.2,0.4,0.6,0.533333,0.533333,0.733333,0.066667,0.533333,W
0.2,0.6,0.266667,0.4,0.133333,0.333333,0.6,0.666667,0.333333,0.533333,0.4,0.333333,0.133333,0.6,0.266667,0.533333,P
0.133333,0.4,0.2,0.266667,0.266667,0.4,0.4,0.466667,0.333333,0.4,0.4,0.466667,0.133333,0.6,0.466667,0.666667,B
0.266667,0.466667,0.266667,0.333333,0.2,0.466667,0.4,0.8,0.266667,0.466667,0.8,0.533333,0.2,0.6,0,0.533333,U
0.066667,0.133333,0.133333,0.2,0.066667,0.533333,0.466667,0.333333,0.133333,0.533333,0.466667,0.6,0.133333,0.6,0.2,0.6,Q
0.133333,0.333333,0.266667,0.266667,0.2,0.6,0.466667,0.333333,0.4,0.666667,0.266667,0.4,0.133333,0.533333,0.2,0.533333,D
0.266667,0.466667,0.333333,0.333333,0.333333,0.533333,0.533333,0.133333,0.466667,0.466667,0.4,0.533333,0,0.6,0.6,0.6,Z
0.333333,0.4,0.466667,0.4,0.4,0.666667,0.4,0.2,0.266667,0.666667,0.2,0.533333,0.333333,0.4,0.4,0.8,K
0.333333,0.4,0.4,0.533333,0.4,0.533333,0.333333,0.4,0.2,0.6,0.333333,0.666667,0.333333,0.466667,0.466667,0.4,Q
0.066667,0,0.066667,0,0,0.133333,0.066667,0.4,0.266667,0,0.2,0.266667,0,0.533333,0,0.533333,L
0.066667,0.266667,0.2,0.2,0.066667,0.6,0.4,0.133333,0.4,0.933333,0.266667,0.533333,0,0.466667,0,0.533333,J
0.333333,0.6,0.4,0.466667,0.266667,0.2,0.533333,0.4,0.466667,0.8,0.666667,0.866667,0.066667,0.6,0.2,0.466667,C
0.333333,0.466667,0.4,0.333333,0.4,0.4,0.533333,0.266667,0.4,0.466667,0.4,0.666667,0.333333,0.533333,0.333333,0.466667,T
0.333333,0.333333,0.466667,0.533333,0.266667,0.533333,0.6,0.466667,0.4,0.4,0.533333,0.6,0.2,0.466667,0.4,0.666667,Q
0.266667,0.6,0.4,0.466667,0.266667,0.2,0.8,0.333333,0.266667,0.8,0.6,0.333333,0.133333,0.666667,0.133333,0.333333,F
0.333333,0.733333,0.4,0.533333,0.266667,0.6,0.466667,0.866667,0.133333,0.4,0.6,0.533333,0.533333,0.4,0,0.533333,M
0.133333,0.466667,0.2,0.333333,0.066667,0.6,0.4,0.2,0.466667,0.8,0.266667,0.6,0,0.466667,0.133333,0.4,J
