@relation autos-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute normalized-losses numeric
@attribute make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute fuel-type {diesel,gas}
@attribute aspiration {std,turbo}
@attribute num-of-doors {four,two}
@attribute body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute drive-wheels {4wd,fwd,rwd}
@attribute engine-location {front,rear}
@attribute wheel-base numeric
@attribute length numeric
@attribute width numeric
@attribute height numeric
@attribute curb-weight numeric
@attribute engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute engine-size numeric
@attribute fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute bore numeric
@attribute stroke numeric
@attribute compression-ratio numeric
@attribute horsepower numeric
@attribute peak-rpm numeric
@attribute city-mpg numeric
@attribute highway-mpg numeric
@attribute price numeric
@attribute symboling {-3,-2,-1,0,1,2,3}

@data
0.298429,nissan,gas,std,four,sedan,fwd,front,0.230321,0.361194,0.291667,0.558333,0.187355,ohc,four,0.135849,2bbl,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,0.059108,1
0.539267,toyota,gas,std,two,sedan,rwd,front,0.230321,0.41194,0.308333,0.4,0.301396,dohc,four,0.139623,mpfi,0.5,0.480952,0.15,0.266667,1,0.361111,0.342105,0.103768,1
?,volkswagen,gas,std,four,wagon,fwd,front,0.402332,0.626866,0.55,0.608333,0.41699,ohc,four,0.181132,mpfi,0.464286,0.633333,0.125,0.166667,0.55102,0.333333,0.394737,0.178045,0
0.329843,nissan,gas,std,two,sedan,fwd,front,0.230321,0.361194,0.291667,0.558333,0.155547,ohc,four,0.135849,2bbl,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,0.009458,1
0.136126,toyota,gas,std,four,sedan,fwd,front,0.265306,0.376119,0.341667,0.433333,0.235066,ohc,four,0.139623,2bbl,0.464286,0.457143,0.125,0.091667,0.265306,0.694444,0.815789,0.065041,0
?,isuzu,gas,std,two,sedan,fwd,front,0.230321,0.220896,0.275,0.35,0.149728,ohc,four,0.109434,2bbl,0.35,0.495238,0.1625,0.091667,0.510204,0.694444,0.710526,?,1
0.136126,toyota,diesel,std,four,sedan,fwd,front,0.265306,0.376119,0.341667,0.433333,0.305275,ohc,four,0.184906,idi,0.521429,0.609524,0.96875,0.033333,0.142857,0.583333,0.526316,0.069013,0
0.518325,audi,gas,std,four,sedan,4wd,front,0.373178,0.529851,0.508333,0.541667,0.518231,ohc,five,0.283019,mpfi,0.464286,0.633333,0.0625,0.279167,0.55102,0.138889,0.157895,0.306142,2
0.282723,plymouth,gas,turbo,two,hatchback,fwd,front,0.206997,0.241791,0.291667,0.25,0.248254,ohc,four,0.139623,spdi,0.35,0.628571,0.0375,0.225,0.55102,0.305556,0.368421,0.070478,1
?,alfa-romero,gas,std,two,convertible,rwd,front,0.058309,0.413433,0.316667,0.083333,0.411171,dohc,four,0.260377,mpfi,0.664286,0.290476,0.125,0.2625,0.346939,0.222222,0.289474,0.282558,3
0.136126,toyota,gas,std,four,wagon,4wd,front,0.265306,0.426866,0.275,0.941667,0.62917,ohc,four,0.116981,2bbl,0.364286,0.457143,0.125,0.058333,0.265306,0.388889,0.421053,0.090859,0
?,porsche,gas,std,two,hardtop,rwd,rear,0.084548,0.414925,0.391667,0.316667,0.491854,ohcf,six,0.501887,mpfi,0.857143,0.395238,0.15625,0.6625,0.714286,0.111111,0.236842,0.71769,3
0.21466,honda,gas,std,two,hatchback,fwd,front,0.28863,0.39403,0.408333,0.458333,0.310706,ohc,four,0.184906,1bbl,0.435714,0.719048,0.125,0.158333,0.673469,0.388889,0.447368,0.098729,0
?,mercedes-benz,gas,std,four,sedan,rwd,front,0.845481,0.91791,0.95,0.725,0.873545,ohcv,eight,0.65283,mpfi,0.657143,0.490476,0.08125,0.445833,0.244898,0.083333,0.052632,0.721563,-1
0.198953,volvo,gas,turbo,four,sedan,rwd,front,0.516035,0.71194,0.575,0.7,0.603957,ohc,four,0.260377,mpfi,0.771429,0.514286,0.03125,0.475,0.387755,0.111111,0.157895,0.330222,-2
0.136126,toyota,gas,std,four,sedan,fwd,front,0.265306,0.376119,0.341667,0.416667,0.252909,ohc,four,0.139623,2bbl,0.464286,0.457143,0.125,0.091667,0.265306,0.416667,0.473684,0.102775,0
0.157068,volvo,gas,turbo,four,sedan,rwd,front,0.655977,0.71194,0.708333,0.641667,0.605508,ohc,four,0.301887,mpfi,0.885714,0.514286,0.10625,0.466667,0.469388,0.166667,0.236842,0.345738,-1
0.361257,toyota,gas,std,two,hardtop,rwd,front,0.344023,0.523881,0.441667,0.35,0.461986,ohc,four,0.320755,mpfi,0.771429,0.680952,0.14375,0.283333,0.265306,0.305556,0.368421,0.150961,2
0.157068,volvo,diesel,turbo,four,sedan,rwd,front,0.655977,0.71194,0.716667,0.641667,0.670675,ohc,six,0.316981,idi,0.335714,0.633333,1,0.241667,0.265306,0.361111,0.289474,0.430763,-1
0.502618,mitsubishi,gas,std,two,hatchback,fwd,front,0.206997,0.241791,0.341667,0.25,0.200155,ohc,four,0.116981,2bbl,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,0.038504,2
0.172775,chevrolet,gas,std,two,hatchback,fwd,front,0.230321,0.220896,0.275,0.35,0.149728,ohc,four,0.109434,2bbl,0.35,0.495238,0.1625,0.091667,0.510204,0.694444,0.710526,0.029219,1
0.146597,mercedes-benz,diesel,turbo,four,sedan,rwd,front,0.682216,0.743284,0.833333,0.725,0.786268,ohc,five,0.460377,idi,0.742857,0.747619,0.90625,0.3125,0.081633,0.25,0.236842,0.507274,-1
0.136126,toyota,gas,std,four,hatchback,fwd,front,0.265306,0.376119,0.341667,0.416667,0.245927,ohc,four,0.139623,2bbl,0.464286,0.457143,0.125,0.091667,0.265306,0.416667,0.473684,0.080433,0
0.361257,toyota,gas,std,two,hatchback,rwd,front,0.344023,0.523881,0.441667,0.35,0.475562,ohc,four,0.320755,mpfi,0.771429,0.680952,0.14375,0.283333,0.265306,0.305556,0.368421,0.159649,2
0.502618,peugot,gas,std,four,sedan,rwd,front,0.620991,0.680597,0.675,0.741667,0.594259,l,four,0.222642,mpfi,0.657143,0.533333,0.0875,0.204167,0.346939,0.166667,0.210526,0.168363,0
?,isuzu,gas,std,four,sedan,fwd,front,0.230321,0.220896,0.275,0.35,0.163305,ohc,four,0.109434,2bbl,0.35,0.495238,0.1625,0.091667,0.510204,0.694444,0.710526,?,0
?,peugot,gas,std,four,wagon,rwd,front,0.804665,0.862687,0.675,0.908333,0.675718,l,four,0.222642,mpfi,0.657143,0.533333,0.0875,0.204167,0.346939,0.166667,0.210526,0.181769,0
0.204188,saab,gas,std,four,sedan,fwd,front,0.364431,0.679104,0.516667,0.691667,0.49263,ohc,four,0.226415,mpfi,0.714286,0.47619,0.14375,0.258333,0.44898,0.222222,0.315789,0.257981,2
0.445026,mazda,gas,std,two,hatchback,rwd,front,0.253644,0.416418,0.45,0.15,0.392552,rotor,two,0.071698,mpfi,?,?,0.15,0.3625,0.755102,0.083333,0.184211,0.261333,3
